city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id,x,y
Malishevë,Malisheve,42.4822,20.7458,Kosovo,XK,XKS,Malishevë,admin,,1901597212,2309411.8920990936,5233486.592978863
Prizren,Prizren,42.2139,20.7397,Kosovo,XK,XKS,Prizren,admin,,1901360309,2308732.843205255,5193074.674701315
Zubin Potok,Zubin Potok,42.9144,20.6897,Kosovo,XK,XKS,Zubin Potok,admin,,1901608808,2303166.868665592,5298951.716847673
Kamenicë,Kamenice,42.5781,21.5803,Kosovo,XK,XKS,Kamenicë,admin,,1901851592,2402308.007166081,5247973.263824431
Viti,Viti,42.3214,21.3583,Kosovo,XK,XKS,Viti,admin,,1901328795,2377595.0802099737,5209245.853793271
Shtërpcë,Shterpce,42.2394,21.0272,Kosovo,XK,XKS,Shtërpcë,admin,,1901828239,2340737.1968083205,5196908.13512485
Shtime,Shtime,42.4331,21.0397,Kosovo,XK,XKS,Shtime,admin,,1901598505,2342128.690443238,5226078.133267328
Vushtrri,Vushtrri,42.8231,20.9675,Kosovo,XK,XKS,Vushtrri,admin,,1901107642,2334091.4232079643,5285084.507966246
Dragash,Dragash,42.0265,20.6533,Kosovo,XK,XKS,Dragash,admin,,1901112530,2299114.839200718,5164949.842462533
Podujevë,Podujeve,42.9111,21.1899,Kosovo,XK,XKS,Podujevë,admin,,1901550082,2358848.8779603867,5298450.134879806
Fushë Kosovë,Fushe Kosove,42.6639,21.0961,Kosovo,XK,XKS,Fushë Kosovë,admin,,1901134407,2348407.1097239796,5260953.121603756
Kaçanik,Kacanik,42.2319,21.2594,Kosovo,XK,XKS,Kaçanik,admin,,1901200321,2366585.5825705193,5195780.486011069
Klinë,Kline,42.6217,20.5778,Kosovo,XK,XKS,Klinë,admin,,1901230162,2290710.2176458244,5254566.853731505
Leposaviq,Leposaviq,43.1039,20.8028,Kosovo,XK,XKS,Leposaviq,admin,,1901974597,2315757.103074312,5327799.881600588
Pejë,Peje,42.66,20.2922,Kosovo,XK,XKS,Pejë,admin,,1901339694,2258917.3710752665,5260362.739774411
Rahovec,Rahovec,42.3994,20.6547,Kosovo,XK,XKS,Rahovec,admin,,1901336358,2299270.6864878275,5220996.662900834
Gjilan,Gjilan,42.4689,21.4633,Kosovo,XK,XKS,Gjilan,admin,,1901235642,2389283.6267432696,5231479.24705048
Lipjan,Lipjan,42.5217,21.1258,Kosovo,XK,XKS,Lipjan,admin,,1901682048,2351713.2986005377,5239450.776383177
Obiliq,Obiliq,42.6869,21.0703,Kosovo,XK,XKS,Obiliq,admin,,1901102771,2345535.0668615126,5264435.614120921
Gjakovë,Gjakove,42.3803,20.4308,Kosovo,XK,XKS,Gjakovë,admin,,1901089874,2274346.252499215,5218117.872084679
Pristina,Pristina,42.6666,21.1724,Kosovo,XK,XKS,Prishtinë,primary,,1901760068,2356900.786871506,5261361.869181341
Deçan,Decan,42.5378,20.2911,Kosovo,XK,XKS,Deçan,admin,,1901189818,2258794.919635394,5241882.828896372
Istog,Istog,42.7808,20.4875,Kosovo,XK,XKS,Istog,admin,,1901248770,2280658.0676271934,5278666.66484987
Hani i Elezit,Hani i Elezit,42.15,21.2967,Kosovo,XK,XKS,Hani i Elezit,admin,,1901964789,2370737.7995771095,5183475.266894332
Junik,Junik,42.4758,20.2772,Kosovo,XK,XKS,Junik,admin,,1901930204,2257247.5787133677,5232520.598829811
Kllokot,Kllokot,42.3714,21.3744,Kosovo,XK,XKS,Kllokot,admin,,1901445768,2379387.3240117454,5216776.745094499
Mamushë,Mamushe,42.3308,20.7269,Kosovo,XK,XKS,Mamushë,admin,,1901042958,2307307.953723101,5210661.204293859
Partesh,Partesh,42.4019,21.4336,Kosovo,XK,XKS,Partesh,admin,,1901909986,2385977.4378667083,5221373.532827419
Ranillug,Ranillug,42.4922,21.5989,Kosovo,XK,XKS,Ranillug,admin,,1901029901,2404378.549694837,5234996.156677677
Ferizaj,Ferizaj,42.3706,21.1553,Kosovo,XK,XKS,Ferizaj,admin,,1901875540,2354997.22357894,5216656.203663022
Zveçan,Zvecan,42.9075,20.8403,Kosovo,XK,XKS,Zveçan,admin,,1901208362,2319931.583979058,5297902.985179169
Suharekë,Suhareke,42.3586,20.825,Kosovo,XK,XKS,Suharekë,admin,,1901918563,2318228.3957699225,5214848.26638785
Gllogovc,Gllogovc,42.6283,20.8939,Kosovo,XK,XKS,Gllogovc,admin,,1901031751,2325898.3086855784,5255565.368230847
Mitrovicë,Mitrovice,42.8833,20.8667,Kosovo,XK,XKS,,admin,,1901138430,2322870.4185360023,5294225.752381418
Skenderaj,Skenderaj,42.7467,20.7886,Kosovo,XK,XKS,Skenderaj ,admin,,1901259570,2314176.366305046,5273496.134013038
Novobërdë,Novoberde,42.6178,21.4197,Kosovo,XK,XKS,Novobërdë,admin,,1901684676,2384430.096944682,5253976.872188694
Graçanicë,Gracanice,42.6011,21.1958,Kosovo,XK,XKS,Graçanicë,admin,,1901753443,2359505.6629560664,5251450.9587409245
Longyearbyen,Longyearbyen,78.2167,15.6333,Svalbard,XR,XSV,,primary,,1930654114,1740290.9954184825,14485754.124262765
Al Quds,Al Quds,31.7764,35.2269,West Bank,XW,XWB,,primary,,1934000006,3921440.570225569,3733995.3076444506
Sanaa,Sanaa,15.3547,44.2066,Yemen,YE,YEM,Amānat al ‘Āşimah,primary,2008000.0,1887750814,4921056.201701926,1730112.2468879165
Marib,Marib,15.421,45.334,Yemen,YE,YEM,Ma’rib,admin,16794.0,1887153216,5046557.795622266,1737767.14470791
Al Jabīn,Al Jabin,14.704,43.599,Yemen,YE,YEM,Raymah,admin,,1887910100,4853418.479095934,1655110.6376579597
Hajjah,Hajjah,15.6917,43.6021,Yemen,YE,YEM,Ḩajjah,admin,208287.0,1887522445,4853763.569517393,1769047.242033417
Ibb,Ibb,13.9759,44.1709,Yemen,YE,YEM,Ibb,admin,234837.0,1887321491,4917082.095880607,1571451.7630890377
Al Hudaydah,Al Hudaydah,14.7979,42.953,Yemen,YE,YEM,Al Ḩudaydah,admin,780000.0,1887984890,4781506.08804348,1665919.7902831833
Lahij,Lahij,13.0582,44.8838,Yemen,YE,YEM,Laḩij,admin,66288.0,1887871834,4996441.760867132,1466382.26607474
Al Maḩwīt,Al Mahwit,15.4701,43.5448,Yemen,YE,YEM,Al Maḩwīt,admin,,1887764813,4847384.96269494,1743437.730884552
Taizz,Taizz,13.6045,44.0394,Yemen,YE,YEM,Ta‘izz,admin,751000.0,1887324526,4902443.582841292,1528880.5094857933
Sadah,Sadah,16.9398,43.8498,Yemen,YE,YEM,Şa‘dah,admin,105542.0,1887513055,4881337.407386887,1913818.530764104
Dhamar,Dhamar,14.5575,44.3875,Yemen,YE,YEM,Dhamār,admin,191259.0,1887135215,4941193.89758643,1638255.7875989294
‘Amrān,`Amran,15.6594,43.9439,Yemen,YE,YEM,‘Amrān,admin,,1887433410,4891812.5714705335,1765312.7250311724
Aḑ Ḑāli‘,Ad Dali`,13.6957,44.7314,Yemen,YE,YEM,Aḑ Ḑāli‘,admin,,1887607369,4979476.670470238,1539327.9356025173
Saywun,Saywun,15.943,48.7873,Yemen,YE,YEM,Ḩaḑramawt,minor,68747.0,1887142998,5430977.393178676,1798122.7870979093
Al Bayda,Al Bayda,13.979,45.574,Yemen,YE,YEM,Al Bayḑā’,admin,37821.0,1887788283,5073274.47341265,1571807.3831118993
Zinjibār,Zinjibar,13.1287,45.3807,Yemen,YE,YEM,Abyan,admin,,1887645956,5051756.41584231,1474439.7707668508
Rida,Rida,14.4295,44.8341,Yemen,YE,YEM,Al Bayḑā’,minor,45233.0,1887090855,4990909.182174705,1623538.5279181183
'Ataq,'Ataq,14.55,46.8,Yemen,YE,YEM,Shabwah,admin,37315.0,1887172893,5209752.169125202,1637393.2134211257
Al Ghaydah,Al Ghaydah,16.2394,52.1638,Yemen,YE,YEM,Al Mahrah,admin,27404.0,1887000479,5806847.653842161,1832463.3299622985
Sayhut,Sayhut,15.2105,51.2454,Yemen,YE,YEM,Al Mahrah,minor,189.0,1887613470,5704611.833497621,1713471.5136653914
Al Mukalla,Al Mukalla,14.5412,49.1259,Yemen,YE,YEM,Ḩaḑramawt,admin,258132.0,1887202594,5468670.172761277,1636381.1637495623
Al Ḩazm,Al Hazm,16.1641,44.7769,Yemen,YE,YEM,Al Jawf,admin,,1887549671,4984541.707301331,1823734.2995901792
Zabīd,Zabid,14.1951,43.3155,Yemen,YE,YEM,Al Ḩudaydah,minor,152504.0,1887877995,4821859.403456041,1596609.4112181761
Aden,Aden,12.7797,45.0095,Yemen,YE,YEM,‘Adan,admin,1000000.0,1887867886,5010434.620859847,1434574.6167727052
Hadiboh,Hadiboh,12.6519,54.0239,Yemen,YE,YEM,Arkhabīl Suquţrá,admin,11396.0,1887452377,6013913.038666732,1419990.2855661116
Ash Shihr,Ash Shihr,14.7593,49.6092,Yemen,YE,YEM,Ḩaḑramawt,minor,54274.0,1887657562,5522470.882661669,1661475.8465445233
Dzaoudzi,Dzaoudzi,-12.7871,45.275,Mayotte,YT,MYT,,admin,32057.0,1175099654,5039989.945665462,-1435419.3181958152
Lebowakgomo,Lebowakgomo,-24.1996,29.5,South Africa,ZA,ZAF,Limpopo,,33308.0,1710999076,3283924.97840157,-2777749.169279534
Potchefstroom,Potchefstroom,-26.6996,27.1,South Africa,ZA,ZAF,North West,,123669.0,1710838885,3016758.200497713,-3085990.608991811
Graaff Reinet,Graaff Reinet,-32.3,24.54,South Africa,ZA,ZAF,Eastern Cape,,62896.0,1710616617,2731780.304066933,-3802755.0318591157
Rustenburg,Rustenburg,-25.65,27.24,South Africa,ZA,ZAF,North West,,165976.0,1710326039,3032342.9292087704,-2955796.1251362916
Brandfort,Brandfort,-28.6996,26.47,South Africa,ZA,ZAF,Free State,,12091.0,1710953731,2946626.921297952,-3337467.122729583
Vryheid,Vryheid,-27.76,30.79,South Africa,ZA,ZAF,KwaZulu-Natal,,150012.0,1710716158,3427527.1215248923,-3218748.838509297
Vereeniging,Vereeniging,-26.6496,27.96,South Africa,ZA,ZAF,Gauteng,,1074000.0,1710271883,3112492.962579928,-3079761.6937924586
Brits,Brits,-25.6296,27.78,South Africa,ZA,ZAF,North West,,122497.0,1710468143,3092455.45423714,-2953277.171604193
Bethlehem,Bethlehem,-28.2196,28.3,South Africa,ZA,ZAF,Free State,,83654.0,1710750307,3150341.5894496413,-3276688.643114096
Ubomba,Ubomba,-27.5661,32.0833,South Africa,ZA,ZAF,KwaZulu-Natal,,564.0,1710203500,3571496.618967835,-3194378.2496978734
Polokwane,Polokwane,-23.89,29.45,South Africa,ZA,ZAF,Limpopo,admin,220045.0,1710908010,3278359.0038619065,-2740009.847744321
Springbok,Springbok,-29.6667,17.8833,South Africa,ZA,ZAF,Northern Cape,,10438.0,1710894218,1990759.8497033494,-3460778.7794656544
Thohoyandou,Thohoyandou,-22.95,30.48,South Africa,ZA,ZAF,Limpopo,,269707.0,1710219075,3393018.079378977,-2625973.1022546836
Pietermaritzburg,Pietermaritzburg,-29.61,30.39,South Africa,ZA,ZAF,KwaZulu-Natal,admin,750845.0,1710690280,3382999.325207583,-3453516.8419480016
Poffader,Poffader,-29.1329,19.3834,South Africa,ZA,ZAF,Northern Cape,,4220.0,1710817164,2157750.2178423386,-3392572.125801312
Carnarvon,Carnarvon,-30.9496,22.1333,South Africa,ZA,ZAF,Northern Cape,,5785.0,1710331786,2463867.685574761,-3626205.47229907
Kroonstad,Kroonstad,-27.66,27.21,South Africa,ZA,ZAF,Free State,,103992.0,1710508288,3029003.344484975,-3206174.802225173
Alexander Bay,Alexander Bay,-28.6083,16.5033,South Africa,ZA,ZAF,Northern Cape,,1500.0,1710616152,1837138.952408633,-3325885.2396844644
Bloemhof,Bloemhof,-27.6496,25.59,South Africa,ZA,ZAF,North West,,17122.0,1710321800,2848665.769399872,-3204867.763490384
Hermanus,Hermanus,-34.4096,19.2299,South Africa,ZA,ZAF,Western Cape,,25153.0,1710409701,2140662.6760055725,-4083934.8003394413
Bethal,Bethal,-26.4696,29.45,South Africa,ZA,ZAF,Mpumalanga,,101919.0,1710328253,3278359.0038619065,-3057360.130150539
Upington,Upington,-28.46,21.23,South Africa,ZA,ZAF,Northern Cape,,71373.0,1710210449,2363312.789541198,-3307094.031878753
Tzaneen,Tzaneen,-23.8195,30.17,South Africa,ZA,ZAF,Limpopo,,67245.0,1710120942,3358509.0372330644,-2731428.7729279283
Vanhynsdorp,Vanhynsdorp,-31.6166,18.7333,South Africa,ZA,ZAF,Western Cape,,3331.0,1710187274,2085381.4168776318,-3713087.971670175
Kimberley,Kimberley,-28.7468,24.77,South Africa,ZA,ZAF,Northern Cape,admin,165264.0,1710282622,2757383.786949385,-3343458.6506029153
Durban,Durban,-29.865,30.98,South Africa,ZA,ZAF,KwaZulu-Natal,,2729000.0,1710149138,3448677.8247756157,-3486208.6285953205
Klerksdorp,Klerksdorp,-26.88,26.62,South Africa,ZA,ZAF,North West,,178921.0,1710416691,2963324.844916942,-3108487.3177980916
Welkom,Welkom,-27.97,26.73,South Africa,ZA,ZAF,Free State,,431944.0,1710480365,2975569.9889042014,-3245192.0022432115
De Aar,De Aar,-30.65,24.0,South Africa,ZA,ZAF,Northern Cape,,32318.0,1710551900,2671667.7790385666,-3587377.9145021224
Prieska,Prieska,-29.6595,22.73,South Africa,ZA,ZAF,Northern Cape,,11236.0,1710649877,2530292.0257311095,-3459856.401947255
Saldanha,Saldanha,-33.01,17.93,South Africa,ZA,ZAF,Western Cape,,68284.0,1710078862,1995958.4699233957,-3896631.3713742513
Middelburg,Middelburg,-31.5,25.01,South Africa,ZA,ZAF,Eastern Cape,,18164.0,1710010705,2784100.4647397716,-3697855.3303377046
Port St. Johns,Port St. Johns,-31.6279,29.5283,South Africa,ZA,ZAF,Eastern Cape,,5939.0,1710506018,3287075.319991019,-3714565.218529242
Volksrust,Volksrust,-27.3596,29.89,South Africa,ZA,ZAF,Mpumalanga,,43378.0,1710664906,3327339.5798109467,-3168471.302879966
Ulundi,Ulundi,-28.3296,31.41,South Africa,ZA,ZAF,KwaZulu-Natal,,20753.0,1710823263,3496545.2058167234,-3290592.7212751172
Beaufort West,Beaufort West,-32.3496,22.57,South Africa,ZA,ZAF,Western Cape,,44737.0,1710940488,2512480.9072041837,-3809289.0531618227
Komatipoort,Komatipoort,-25.4096,31.94,South Africa,ZA,ZAF,Mpumalanga,,20508.0,1710137353,3555544.5359371575,-2926139.228662189
