city_ascii,GEOprob,BIOprob,x,y,bio_x,bio_y
<<<<<<< HEAD
Vaduz,0.24244661477241228,0.21808980978570985,1059394.1980323463,5963924.685910614,-4.779072721457489,-0.18004190272718157
Klaipeda,0.20765471124871057,0.17096519472578134,2351056.513604858,7502955.365876916,-2.06995108092112,0.3929170304577734
Vilnius,0.2702530813352748,0.21512927636171383,2818231.0206169887,7300661.381083198,-2.0488710944458113,0.33061155751344407
Siauliai,0.18734836223935405,0.1503430161424005,2596527.122753106,7546202.349830315,-1.8699610981068933,0.4132882995502771
Kaunas,0.2572372802929846,0.20562569764653055,2658309.440143372,7352245.7089611525,-2.0784024195420763,0.34566631204075593
Panevezys,0.2002523711259347,0.1585194487289478,2712855.990632078,7506830.163816889,-1.8508156692372673,0.40168057484572905
Diekirch,0.43776858661592544,0.44262712361926193,686473.9038748804,6426089.932192703,-4.41604391764217,-0.023518899051366393
Grevenmacher,0.42755726115761566,0.43107530290104507,705019.7310410405,6394482.317900557,-4.444991934511318,-0.03436563060134645
Luxembourg,0.4233173221925956,0.4244981331212457,682388.478562767,6379298.722272802,-4.4775745517443575,-0.04022016515005378
Daugavpils,0.18740810640339894,0.14378713752004904,2951079.7009296827,7534564.044063807,-1.6747146924883793,0.41639441086272866
Ventspils,0.0857635498549199,0.07058878807332486,2400115.013197456,7840231.952266772,-1.6148187130628795,0.5137021487003826
Riga,0.11462144911293017,0.08864277899063638,2682799.728117893,7749905.9659611825,-1.561535346823737,0.4873949789359444
Liepaga,0.14737029248080233,0.12379031268921285,2338822.501566677,7660619.4466461865,-1.878018091988869,0.44866145805178714
Jelgava,0.13512042583706188,0.10690383304747064,2639696.8212827384,7689462.376160315,-1.6634173521090254,0.4650484051720083
Monaco,0.13415289685735945,0.12138202641004293,824532.3363566984,5425232.718554642,-5.598677468529698,-0.37615330801426183
Podgorica,0.0474625054368087,0.05869131314939262,2144714.705470446,5231041.611723426,-5.062250581860313,-0.4181638845446283
Skopje,0.043109857030113864,0.05843413585036683,2385966.305917628,5160979.444049783,-5.007902599678368,-0.4381203843479504
