city_ascii,GEOprob,BIOprob,x,y,bio_x,bio_y
Vaduz,0.02583456043002085,0.46608395297916916,1059394.1980323463,5963924.685910614,0.7327522841267307,0.4594737554607331
Klaipeda,0.6177772397773272,0.3164624324886857,2351056.513604858,7502955.365876916,2.81999541502433,2.647281297069222
Vilnius,0.5553919419061301,0.13105237676701129,2818231.0206169887,7300661.381083198,2.190176066244108,1.8514242958040779
Siauliai,0.6447046181261543,0.2946210602519402,2596527.122753106,7546202.349830315,2.761912403740167,2.5418385474026053
Kaunas,0.5706010434636972,0.12520958324643733,2658309.440143372,7352245.7089611525,2.3735438113820546,2.086918389337386
Panevezys,0.6304977240334929,0.23374738712800855,2712855.990632078,7506830.163816889,2.6251546293615178,2.3666702779070814
Diekirch,0.1201301351059229,0.23281813794871828,686473.9038748804,6426089.932192703,1.7841269251878575,1.7235805830264646
Grevenmacher,0.11276090396074644,0.26529880829459757,705019.7310410405,6394482.317900557,1.7161063524134548,1.6426806437205403
Luxembourg,0.11387540116978374,0.2710633158223581,682388.478562767,6379298.722272802,1.7010325585825168,1.6289870892555758
Daugavpils,0.6342193266699467,0.18649825949034585,2951079.7009296827,7534564.044063807,2.542811011554658,2.234568235897223
Ventspils,0.7505324734153297,0.3533909550118677,2400115.013197456,7840231.952266772,3.4080054870715895,3.3134735055832643
Riga,0.7158106947016833,0.34728705096308926,2682799.728117893,7749905.9659611825,3.085439622889913,2.898995238845094
Liepaga,0.6822069611848414,0.34932144064022197,2338822.501566677,7660619.4466461865,3.1144937147514913,2.9867641352142034
Jelgava,0.6968248673272089,0.34172449364034224,2639696.8212827384,7689462.376160315,2.9992100076698023,2.8069865308251334
Monaco,0.07999956172704559,0.017031351608737276,824532.3363566984,5425232.718554642,-0.11906446907554447,-0.4796647124763851
Podgorica,0.06566444948925776,0.11737614783166253,2144714.705470446,5231041.611723426,-1.2101404677626402,-1.9392726521469204
Skopje,0.09995912719808203,0.035426880528666,2385966.305917628,5160979.444049783,-1.472610642246364,-2.278310112469862
Bitola,0.1146707221319576,0.1711371290802248,2375502.2737830617,5018110.616673192,-1.727446634829799,-2.5687389595088526
Tetovo,0.09353574495538172,0.030625230385514804,2334380.853884027,5162357.659070327,-1.4413075088884426,-2.2342629221431505
Maastricht,0.15673441279672426,0.10905094798416974,631960.7492334138,6595332.201458038,2.1233454281770197,2.121015246739205
Amsterdam,0.22414166765399618,0.31196815687850005,547313.4084342078,6863659.039714891,2.6601688013561393,2.7497106898984995
The Hague,0.22040735710587842,0.2993722389020295,475334.22568727686,6814603.426035637,2.610832548111274,2.7045605937055885
Haarlem,0.2284101425600298,0.31951329028338277,515409.2423728557,6869201.07560679,2.6880855591766384,2.7867600308875833
Groningen,0.2574491506780471,0.34146168039416275,732482.2494197398,7023870.467125853,2.849149657598744,2.936994182040067
Middelburg,0.20962927445641846,0.2415448452849756,401863.36176371813,6710576.735641695,2.46202960237736,2.545640794552897
Arnhem,0.1984781112104675,0.23780004225715348,659345.3439685586,6797955.991249009,2.47776624986243,2.522906077452374
Assen,0.24516856280209748,0.33272073867193663,729142.6646959418,6982997.920389787,2.7764381352130343,2.854183108399873
's-Hertogenbosch,0.1919889215474652,0.20940828841721237,591852.3367005981,6743063.357513758,2.4152762678326845,2.461969175252513
Zwolle,0.2224207906450873,0.30443150842910516,678714.9353665886,6895431.61657986,2.644808730862227,2.711298314424093
Utrecht,0.2113227883149719,0.27999752579671977,569955.792861562,6818281.337889219,2.564737414352205,2.6367445719421454
Leeuwarden,0.26169790197234033,0.346332660014364,643805.143053819,7029450.123692404,2.9088185255957377,3.019426743446285
Rotterdam,0.21156995489484562,0.2746409496298086,498711.3187538657,6785673.333785048,2.545001129086204,2.625404781782983
Eindhoven,0.17988799907678601,0.16158186099715924,612257.1993630035,6697711.123236825,2.321140049818778,2.350841849204196
Oslo,0.7495627999108645,0.3732157919214626,1196684.5260276902,8381215.3676753575,5.066675883372914,5.405154710828802
Baerum,0.7637041469624465,0.3832208650529897,1263164.5259294342,8380504.745981934,5.028278576772665,5.3506178662110795
Stavanger,0.5908428337357755,0.3762745664566459,632294.7077057943,8173905.558045134,5.003393375526626,5.421991784039156
