city_ascii,GEOprob,BIOprob,x,y,bio_x,bio_y
Vaduz,0.05122180105888316,0.05749232352962446,1059394.1980323463,5963924.685910614,-5.496578230964452,0.7882429448320405
Klaipeda,0.6389565656610038,0.38806233507560767,2351056.513604858,7502955.365876916,-5.77173998834821,-1.0938155341530322
Vilnius,0.5819743178631557,0.22839854906534293,2818231.0206169887,7300661.381083198,-6.421392988394646,-0.8305970316096687
Siauliai,0.6844666819519822,0.3780550085760399,2596527.122753106,7546202.349830315,-6.004694689094185,-1.1415010965675574
Kaunas,0.5916043394370208,0.263877338666886,2658309.440143372,7352245.7089611525,-6.211810282489825,-0.8987311385016135
Panevezys,0.6718289318607573,0.3406195179819735,2712855.990632078,7506830.163816889,-6.158488031300925,-1.0896396750056159
Diekirch,0.18160318597677141,0.16810406585163798,686473.9038748804,6426089.932192703,-4.760037780810994,0.2041524774334027
Grevenmacher,0.17144032139660065,0.15621137512218905,705019.7310410405,6394482.317900557,-4.802917853791593,0.2439255937992435
Luxembourg,0.1759112763856775,0.15711983505457702,682388.478562767,6379298.722272802,-4.78955646090246,0.26224755375034814
Daugavpils,0.6904741712569854,0.3313047165810061,2951079.7009296827,7534564.044063807,-6.394884832348022,-1.1182109617095932
Ventspils,0.8212597770668252,0.5996299000732049,2400115.013197456,7840231.952266772,-5.58008061548931,-1.5120841739118163
Riga,0.7847306337386588,0.48992624416802966,2682799.728117893,7749905.9659611825,-5.9499275172446815,-1.3927128949578709
Liepaga,0.7249377133206635,0.4918043154952939,2338822.501566677,7660619.4466461865,-5.644281435392566,-1.2902146752236021
Jelgava,0.7565716308610339,0.4591204376854793,2639696.8212827384,7689462.376160315,-5.947331490145922,-1.3186077093307151
Monaco,0.1413777437192153,0.15157027087052466,824532.3363566984,5425232.718554642,-5.634179337031181,1.452402828815047
Podgorica,0.1289050892896848,0.1629090807471564,2144714.705470446,5231041.611723426,-7.19640951122672,1.7267510499292529
Skopje,0.1747208538357595,0.18705386727347448,2385966.305917628,5160979.444049783,-7.506955913851311,1.8198890489457389
Bitola,0.19967610021749585,0.21366558450459763,2375502.2737830617,5018110.616673192,-7.599250392687834,1.997322243492789
Tetovo,0.16694677116148324,0.18429965283542432,2334380.853884027,5162357.659070327,-7.450413794444014,1.8168923616540065
Maastricht,0.2277740529018348,0.2331118376177997,631960.7492334138,6595332.201458038,-4.57866374507776,-0.007698210062812905
Amsterdam,0.31324149071772805,0.36476224497513987,547313.4084342078,6863659.039714891,-4.293020204009876,-0.3435347068834034
The Hague,0.3201933844959014,0.3574907903936769,475334.22568727686,6814603.426035637,-4.251077709258169,-0.2843112654042983
Haarlem,0.32283072536683577,0.37410557572652453,515409.2423728557,6869201.07560679,-4.2546510922924305,-0.35122083278505123
Groningen,0.31954216468034563,0.4063249568146325,732482.2494197398,7023870.467125853,-4.376262774849513,-0.5381942374500444
