city_ascii,GEOprob,BIOprob,x,y,bio_x,bio_y
Vaduz,0.32066172304071916,0.4245142380223733,1059394.1980323463,5963924.685910614,1.6098519169080632,-1.0887423836433632
Klaipeda,0.32066172304071916,0.17317342462752675,2351056.513604858,7502955.365876916,0.017647653482962156,0.27781166352550457
Vilnius,0.32066172304071916,0.25123925974376404,2818231.0206169887,7300661.381083198,0.8823437641005683,-0.08254590913344906
Siauliai,0.32066172304071916,0.1832749870272147,2596527.122753106,7546202.349830315,0.1881431297367051,0.25685912997103166
Kaunas,0.32066172304071916,0.21345958999280612,2658309.440143372,7352245.7089611525,0.6198732218205141,0.02091922329432272
Panevezys,0.32066172304071916,0.19494461755413964,2712855.990632078,7506830.163816889,0.38257724879484734,0.17951510203427734
Diekirch,0.32066172304071916,0.1462467383272346,686473.9038748804,6426089.932192703,0.348868889906214,-0.46249529045583415
Grevenmacher,0.32066172304071916,0.15532037946592922,705019.7310410405,6394482.317900557,0.4279479299346214,-0.5033501062740049
Luxembourg,0.32066172304071916,0.15568073194621648,682388.478562767,6379298.722272802,0.4334814437187049,-0.5140263685941306
Daugavpils,0.32066172304071916,0.21579510084821193,2951079.7009296827,7534564.044063807,0.5750618879733231,0.14314997700463916
Ventspils,0.32066172304071916,0.20355206574385815,2400115.013197456,7840231.952266772,-0.5720710818128012,0.6436894075792585
Riga,0.32066172304071916,0.18716061541842727,2682799.728117893,7749905.9659611825,-0.10974251840176841,0.4617645571271245
Liepaga,0.32066172304071916,0.18146385704020426,2338822.501566677,7660619.4466461865,-0.294209767177243,0.45882427413109284
Jelgava,0.32066172304071916,0.18396631463459445,2639696.8212827384,7689462.376160315,-0.03936402213517631,0.4059310362679023
Monaco,0.32066172304071916,0.639362481852504,824532.3363566984,5425232.718554642,2.390697722249765,-1.6287071855689748
Podgorica,0.32066172304071916,0.6843459972264938,2144714.705470446,5231041.611723426,4.11774165327976,-2.2219795744434876
Skopje,0.32066172304071916,0.6328738789026935,2385966.305917628,5160979.444049783,4.498972748849026,-2.3693293276938387
Bitola,0.32066172304071916,0.5931295240363037,2375502.2737830617,5018110.616673192,4.759390833939079,-2.52724088183742
Tetovo,0.32066172304071916,0.6404691076801468,2334380.853884027,5162357.659070327,4.443276289699264,-2.3531400900865007
Maastricht,0.32066172304071916,0.12185040470002531,631960.7492334138,6595332.201458038,-0.02846998269153822,-0.2564481758253052
Amsterdam,0.32066172304071916,0.13866739753277796,547313.4084342078,6863659.039714891,-0.6248929510684675,0.06972589195726098
The Hague,0.32066172304071916,0.13487547575238218,475334.22568727686,6814603.426035637,-0.6058435715761448,0.03490964596307933
Haarlem,0.32066172304071916,0.1412113803733263,515409.2423728557,6869201.07560679,-0.6682412804320048,0.0850193701517945
Groningen,0.32066172304071916,0.15490165394420036,732482.2494197398,7023870.467125853,-0.7384619628063387,0.19759434211345273
Middelburg,0.32066172304071916,0.12445878369210289,401863.36176371813,6710576.735641695,-0.48398617547194966,-0.061384773386809144
Arnhem,0.32066172304071916,0.12707006574115362,659345.3439685586,6797955.991249009,-0.38490056615809465,-0.03604935844903778
Assen,0.32066172304071916,0.1479998955401877,729142.6646959418,6982997.920389787,-0.6643164188301682,0.152516478910794
