city_ascii,GEOprob,BIOprob,x,y,bio_x,bio_y
Vaduz,0.22544166199562826,0.2254416619956253,1059394.1980323463,5963924.685910614,0.8460299080022686,-0.6845709480000199
Klaipeda,0.22544166199562826,0.2254416619956283,2351056.513604858,7502955.365876916,5.19590316422704,-1.2590768556605803
Vilnius,0.22544166199562826,0.2254416619956283,2818231.0206169887,7300661.381083198,3.3161283573469085,-1.3579025981499908
Siauliai,0.22544166199562826,0.2254416619956283,2596527.122753106,7546202.349830315,4.888584400384847,-1.3324736316219237
Kaunas,0.22544166199562826,0.22544171198127325,2658309.440143372,7352245.7089611525,3.8792366269540572,-1.3215367676236287
Panevezys,0.22544166199562826,0.22544169339858314,2712855.990632078,7506830.163816889,4.470559445888902,-1.358661082919382
Diekirch,0.22544166199562826,0.2254416626207748,686473.9038748804,6426089.932192703,3.7146255885074773,-0.6488543993960421
Grevenmacher,0.22544166199562826,0.22544166199562887,705019.7310410405,6394482.317900557,3.532730722326157,-0.6493925128137181
Luxembourg,0.22544166199562826,0.2254416619956284,682388.478562767,6379298.722272802,3.5101219773799883,-0.641018147224127
Daugavpils,0.22544166199562826,0.22544170757148768,2951079.7009296827,7534564.044063807,4.107540176266603,-1.4278470259052651
Ventspils,0.22544166199562826,0.2254416619956283,2400115.013197456,7840231.952266772,6.629718750376885,-1.3209290044478006
Riga,0.22544166199562826,0.2254416619956283,2682799.728117893,7749905.9659611825,5.638241244423742,-1.3853339330717818
Liepaga,0.22544166199562826,0.2254416619956283,2338822.501566677,7660619.4466461865,5.93837509172058,-1.2783648620342623
Jelgava,0.22544166199562826,0.2254416619956283,2639696.8212827384,7689462.376160315,5.451745647024303,-1.3648580948083762
Monaco,0.22544166199562826,0.2086996899720831,824532.3363566984,5425232.718554642,-1.1226399501838316,-0.542944530377486
Podgorica,0.22544166199562826,0.2254416619956283,2144714.705470446,5231041.611723426,-4.7172425361925185,-0.8764098795318336
Skopje,0.22544166199562826,0.08377422353243748,2385966.305917628,5160979.444049783,-5.531437605922324,-0.9323835480719946
Bitola,0.22544166199562826,0.22544166199561316,2375502.2737830617,5018110.616673192,-6.159981690721878,-0.9090070982650225
Tetovo,0.22544166199562826,0.1326575264426464,2334380.853884027,5162357.659070327,-5.419233597270118,-0.9184620036381355
Maastricht,0.22544166199562826,0.22544174827576374,631960.7492334138,6595332.201458038,4.5965989526853726,-0.658232543294083
Amsterdam,0.22544166199562826,0.2254416296195874,547313.4084342078,6863659.039714891,5.991274848593456,-0.6735887136257888
The Hague,0.22544166199562826,0.22544166158377948,475334.22568727686,6814603.426035637,5.915891785796699,-0.6468441933100688
Haarlem,0.22544166199562826,0.22543621860617472,515409.2423728557,6869201.07560679,6.082007125847156,-0.6656519406890409
Groningen,0.22544166199562826,0.22371437119386933,732482.2494197398,7023870.467125853,6.339960111941306,-0.7472734636306366
