city_ascii,GEOprob,BIOprob,x,y,bio_x,bio_y
Vaduz,0.2779382663613815,0.13950617942205834,1059394.1980323463,5963924.685910614,-0.8453347740484851,-0.1309605763699988
Klaipeda,0.2642385256561217,0.3114896732025262,2351056.513604858,7502955.365876916,0.6605877156884761,0.16222502098710723
Vilnius,0.28773217765302883,0.43550133068360214,2818231.0206169887,7300661.381083198,0.7782970209022206,0.5527280509152566
Siauliai,0.26767392241310733,0.3737959495867641,2596527.122753106,7546202.349830315,0.8065638453608388,0.31135972304042414
Kaunas,0.2732428703392286,0.39184656621527136,2658309.440143372,7352245.7089611525,0.7280656955168991,0.4256732402559589
Panevezys,0.26987679217288235,0.4055278537911222,2712855.990632078,7506830.163816889,0.8420624363806439,0.4044739939550426
Diekirch,0.5369813282071529,0.16939516907685206,686473.9038748804,6426089.932192703,-0.7701378672496211,-0.5553797317510336
Grevenmacher,0.5364323071350691,0.16787539466332105,705019.7310410405,6394482.317900557,-0.7787288890422688,-0.5310405626791475
Luxembourg,0.5638746623940296,0.1691258697468535,682388.478562767,6379298.722272802,-0.7984860454322806,-0.5405934886327919
Daugavpils,0.2740462683746874,0.4694812676661007,2951079.7009296827,7534564.044063807,0.9757199707950219,0.5545418857770128
Ventspils,0.2662989846312299,0.31687327402720766,2400115.013197456,7840231.952266772,0.8746428904993966,0.06885313646234881
Riga,0.2671018627006847,0.39205816764805934,2682799.728117893,7749905.9659611825,0.9639161181840539,0.29311988673430345
Liepaga,0.26536718532499254,0.3062825717678605,2338822.501566677,7660619.4466461865,0.7432229251561502,0.09488935207664029
Jelgava,0.26716820351206494,0.38235428665624566,2639696.8212827384,7689462.376160315,0.9085517802079979,0.28674182414023286
Rezekne,0.27028540891932723,0.4897604032465327,3040870.002203536,7658602.2929882975,1.0899977047056275,0.5685313820982216
Monaco,0.14884601392705116,0.12784510873306326,824532.3363566984,5425232.718554642,-1.2647787926290475,-0.08724856569265604
Balti,0.5048667892702291,0.4412441880307021,3106403.786433538,6066870.822390789,0.22700478863732254,1.2092806201386566
Cahul,0.30858408589320685,0.4123650305516958,3138586.251221872,5765602.394446149,0.07346703154808676,1.3438784424011634
Chisinau,0.4412355711224546,0.4539259495698228,3212424.4694650513,5942890.237883396,0.2097964014997995,1.3271640996663376
Tiraspol,0.44020800379893676,0.47274257460606534,3299509.707112627,5918129.129727772,0.2390227317091842,1.3951039420039835
Dubasari,0.4887449002179356,0.4677130923507729,3246165.407124492,5985124.924754398,0.2502774005993036,1.3340611100283728
Podgorica,0.17446562363897772,0.14146566170154495,2144714.705470446,5231041.611723426,-0.7197908812260243,0.8747873963272561
Skopje,0.11094973539078735,0.1706352291717532,2385966.305917628,5160979.444049783,-0.6396504924784105,1.0635503716836154
Bitola,0.14035189191046774,0.15456358509823342,2375502.2737830617,5018110.616673192,-0.7252105922503285,1.1100515634551316
Tetovo,0.12403180333665793,0.1623871896189862,2334380.853884027,5162357.659070327,-0.6644390437545651,1.0282868057370158
Maastricht,0.45291856532469854,0.173832664061656,631960.7492334138,6595332.201458038,-0.7019410805630013,-0.6555335283491766
Amsterdam,0.2724036296910909,0.1776904916403039,547313.4084342078,6863659.039714891,-0.5929351666814178,-0.8131236574287244
The Hague,0.28368375695186215,0.18332884466016106,475334.22568727686,6814603.426035637,-0.6562029558688849,-0.8432206345535351
Haarlem,0.26318723014536666,0.17979355285528856,515409.2423728557,6869201.07560679,-0.6056279144199737,-0.8366909479669347
