city_ascii,GEOprob,BIOprob,x,y,bio_x,bio_y
Vaduz,0.08587500788060583,0.10598650975905911,1059394.1980323463,5963924.685910614,-0.3989363111766826,0.02757453144585309
Klaipeda,0.1319514087029918,0.12810465826625902,2351056.513604858,7502955.365876916,-1.4607810848001508,0.865545360164182
Vilnius,0.15288995343513592,0.10129997402009833,2818231.0206169887,7300661.381083198,-1.0587555402611226,0.5549784899146735
Siauliai,0.13144264820438892,0.13877660918551085,2596527.122753106,7546202.349830315,-1.4044295409708178,0.8232741894299398
Kaunas,0.14160976741376205,0.6438104565134172,2658309.440143372,7352245.7089611525,-1.1780795936130186,0.6470080366336379
Panevezys,0.13188956183876216,0.20535809578469796,2712855.990632078,7506830.163816889,-1.3157165419521037,0.754835662302737
Diekirch,0.06374989449410264,0.021780021197637958,686473.9038748804,6426089.932192703,-1.0312894486423838,0.5186056198025515
Grevenmacher,0.060778697571518076,0.03992261605996676,705019.7310410405,6394482.317900557,-0.9909097725185125,0.48721333927716426
Luxembourg,0.05789750486692247,0.04614154216716744,682388.478562767,6379298.722272802,-0.9845082992260759,0.482057545133034
Daugavpils,0.1315457550523755,0.386672035017128,2951079.7009296827,7534564.044063807,-1.246283176715231,0.7023014763805273
Ventspils,0.13014113742204259,0.12553281772462052,2400115.013197456,7840231.952266772,-1.789904827072382,1.1228177065396148
Riga,0.13079403902686093,0.11109746126299559,2682799.728117893,7749905.9659611825,-1.5798696391645946,0.9608348666359632
Liepaga,0.13101256754903928,0.10724110551664331,2338822.501566677,7660619.4466461865,-1.6291244327877799,0.996876020027929
Jelgava,0.1309577367548839,0.1190940326950613,2639696.8212827384,7689462.376160315,-1.535024865473697,0.925525120746256
Rezekne,0.13101636181598164,0.17768328705061157,3040870.002203536,7658602.2929882975,-1.337759507606214,0.7743409183995409
Monaco,0.0443345837417828,0.036976735388159765,824532.3363566984,5425232.718554642,0.06224624584584859,-0.334090270794956
Balti,0.03764480923478472,0.12636846906899396,3106403.786433538,6066870.822390789,0.3378974940636157,-0.5332929057682074
Cahul,0.12309169648593042,0.12633739206228717,3138586.251221872,5765602.394446149,0.6632003619616329,-0.7870134650574334
Chisinau,0.09345338025541924,0.12678214447445862,3212424.4694650513,5942890.237883396,0.5099971672711767,-0.6668990049175516
Tiraspol,0.10113998183925156,0.12675049415201625,3299509.707112627,5918129.129727772,0.5715268638495061,-0.7143218627411034
Dubasari,0.0772878985528555,0.1267807653293778,3246165.407124492,5985124.924754398,0.4801549143127053,-0.643366472796032
Podgorica,0.01343487772206388,0.11540551156199236,2144714.705470446,5231041.611723426,0.8073573407868047,-0.9065102955778723
Skopje,0.02305837029849593,0.028927483893175794,2385966.305917628,5160979.444049783,0.9793317110534643,-1.039071370630881
Bitola,0.03476029225268923,0.1179412957511517,2375502.2737830617,5018110.616673192,1.1229980750980575,-1.1512970578874935
Tetovo,0.022930938249441563,0.010372008538461739,2334380.853884027,5162357.659070327,0.956648646747774,-1.0217252789417235
Maastricht,0.02805307726991853,0.4649737197507057,631960.7492334138,6595332.201458038,-1.2290459756739525,0.6726013849249446
Amsterdam,0.6094692831202881,0.11820878948708453,547313.4084342078,6863659.039714891,-1.5418471401761513,0.916195071788807
The Hague,0.44887494157124846,0.1212399934194251,475334.22568727686,6814603.426035637,-1.5206959376531746,0.899179327878679
Haarlem,0.6239619336068539,0.11498306513457604,515409.2423728557,6869201.07560679,-1.5607333408751183,0.9307150167794331
Groningen,0.490063599616313,0.10765462829572799,732482.2494197398,7023870.467125853,-1.6314899400897982,0.9874712437927462
Middelburg,0.105121222796287,0.13085232185246612,401863.36176371813,6710576.735641695,-1.4432224540064889,0.8381854424266457
Arnhem,0.38769338771497297,0.13358835222412907,659345.3439685586,6797955.991249009,-1.4276321813745367,0.827818476263201
