city_ascii,GEOprob,BIOprob,x,y,bio_x,bio_y
Vaduz,0.05549476654844665,0.08461583995273834,1059394.1980323463,5963924.685910614,-0.21987510630918505,-0.5038939390608648
Klaipeda,0.08286682980234873,0.235088687075635,2351056.513604858,7502955.365876916,-0.7670705878688229,0.4881081050026408
Vilnius,0.08720053693213722,0.3325430337746464,2818231.0206169887,7300661.381083198,-0.43426687385666574,0.5667440816498082
Siauliai,0.02361930916504507,0.2509348231845893,2596527.122753106,7546202.349830315,-0.6967745720236436,0.5846277290091404
Kaunas,0.02688621212785104,0.3079029984977173,2658309.440143372,7352245.7089611525,-0.5358387045088269,0.5333050598456874
Panevezys,0.039025235872827475,0.26725680892751014,2712855.990632078,7506830.163816889,-0.6215969353335464,0.6082690810557798
Diekirch,0.3221885113546504,0.01817646084044097,686473.9038748804,6426089.932192703,-0.6957996456755517,-0.45566934842115403
Grevenmacher,0.31336504556424266,0.022580703425143213,705019.7310410405,6394482.317900557,-0.6661009599417951,-0.4612509257507349
Luxembourg,0.32396032570313243,0.02727299939554831,682388.478562767,6379298.722272802,-0.6647524043638522,-0.47428266047877976
Daugavpils,0.1871844772481108,0.25477803706351576,2951079.7009296827,7534564.044063807,-0.5434209290240504,0.696683971134036
Ventspils,0.06735044434738889,0.1649416315268261,2400115.013197456,7840231.952266772,-0.9828309481567516,0.6287105062805547
Riga,0.03123766546440947,0.19697971457483526,2682799.728117893,7749905.9659611825,-0.8038870999966998,0.6881351479997666
Liepaga,0.0864880528024274,0.2002871686966082,2338822.501566677,7660619.4466461865,-0.8823338702905628,0.5422937737632876
Jelgava,0.024761170243129203,0.2125545014008705,2639696.8212827384,7689462.376160315,-0.7792734184582923,0.6516779190542961
Rezekne,0.2697125200664511,0.2118499199342029,3040870.002203536,7658602.2929882975,-0.5933836874441085,0.7719379320153963
Monaco,0.23203045215281767,0.3100118363887771,824532.3363566984,5425232.718554642,0.06063254909091009,-0.7798217782767032
Balti,0.3311738784272202,0.3083238577348181,3106403.786433538,6066870.822390789,0.5465355184223886,0.20586868269172376
Cahul,0.360179467854357,0.2016657809548232,3138586.251221872,5765602.394446149,0.7703899092055395,0.10521901062414196
Chisinau,0.4200222429155167,0.2956784900035256,3212424.4694650513,5942890.237883396,0.6766568202700767,0.1948946982652271
Tiraspol,0.4714478312710551,0.3145967371973083,3299509.707112627,5918129.129727772,0.7296397112959743,0.21433282342926852
Dubasari,0.44287424727962993,0.32434923075983396,3246165.407124492,5985124.924754398,0.6609419931848071,0.2215579638629004
Podgorica,0.10752288529653364,0.06428684210011938,2144714.705470446,5231041.611723426,0.7371389006235769,-0.41826571379298416
Skopje,0.07192072326830973,0.042468961478099344,2385966.305917628,5160979.444049783,0.8849426285627038,-0.3649578193967127
Bitola,0.07526963754551141,0.0632169549882633,2375502.2737830617,5018110.616673192,0.9805632681106649,-0.4211306831774828
Tetovo,0.08776257264856437,0.04812201812303263,2334380.853884027,5162357.659070327,0.8628508578531706,-0.38137770161986717
Maastricht,0.3403592783466044,-0.0028703395347215734,631960.7492334138,6595332.201458038,-0.836475803588479,-0.41108429812967007
Amsterdam,0.3435968565934354,-0.017727230408986924,547313.4084342078,6863659.039714891,-1.0587827336916305,-0.33981199465701906
The Hague,0.3227497160299625,-0.015871958835006476,475334.22568727686,6814603.426035637,-1.0539594638376797,-0.3815416798377216
Haarlem,0.33688322629234263,-0.017782414900943438,515409.2423728557,6869201.07560679,-1.0757252925558052,-0.3482360876015336
Groningen,0.2980930319555223,-0.016800633282671205,732482.2494197398,7023870.467125853,-1.0949764907640946,-0.21990490397248097
Middelburg,0.28280104761343156,-0.0070760737939486364,401863.36176371813,6710576.735641695,-1.0113065446496692,-0.444053030112459
Arnhem,0.3327360597408508,-0.0163482887936159,659345.3439685586,6797955.991249009,-0.9669521539232009,-0.32730058643282334
Assen,0.3000822685869221,-0.017356265710890367,729142.6646959418,6982997.920389787,-1.0677626221404926,-0.23608862741344705
's-Hertogenbosch,0.345762806137459,-0.013683841473671536,591852.3367005981,6743063.357513758,-0.9562097115683144,-0.36971274764167195
Zwolle,0.3254985641300032,-0.017898629099375812,678714.9353665886,6895431.61657986,-1.0271824070853666,-0.28496175943628055
Utrecht,0.3457675491612584,-0.0166589031534408,569955.792861562,6818281.337889219,-1.01777695546888,-0.3491323378783844
Leeuwarden,0.33744535181449153,-0.017164755262100102,643805.143053819,7029450.123692404,-1.1351980135872668,-0.24694611121126098
Rotterdam,0.33173465748924114,-0.014791572485036686,498711.3187538657,6785673.333785048,-1.024154381057063,-0.38454940905676516
Eindhoven,0.34388244743021734,-0.011235812889070933,612257.1993630035,6697711.123236825,-0.9161381707090022,-0.379757970370032
Vossavangen,0.3070059268749056,0.009850704037784371,717008.840199474,8541356.190229671,-2.162473182037482,0.3351852658659187
Oslo,0.011144036103091967,0.011144036103092034,1196684.5260276902,8381215.3676753575,-1.8540265149888948,0.4334842274198887
Lillehammer,0.015766858359517577,0.010758925632217484,1168854.653329373,8656495.30109446,-2.0579247658221385,0.5259688260196378
Baerum,0.00710127120145981,0.01365639236083775,1263164.5259294342,8380504.745981934,-1.8263011813606762,0.45503844460417087
Stavanger,0.3402836345569524,0.016415606907338592,632294.7077057943,8173905.558045134,-1.9402160606612875,0.1717433510079851
Leikanger,0.27870402095147057,0.008725494709671301,762538.5119339245,8668033.60122272,-2.2324094274177075,0.3968885778317355
Kristiansand,0.17721503019356122,0.013265029840762574,890555.9263461898,8002396.723285847,-1.7145052412414565,0.1931849929057785
Bergen,0.3457177560090578,0.015419220661519042,592720.6287287859,8487308.98087694,-2.1755837095812924,0.27444687853233374
Skien,0.050730418585692515,0.01218249569316018,1068667.111615425,8223740.701207093,-1.7963388673745935,0.33334259906467745
Arendal,0.10895158099786126,0.01398986452035066,975826.656293836,8065597.929270066,-1.7237764935732431,0.2444982595434797
Hamar,0.007916658779419695,0.01146512765348787,1232195.4435907442,8584609.14059896,-1.9817129837196759,0.520218962826339
Tonsberg,0.01765502442394616,0.01421110477782854,1160060.4135567036,8237667.527729335,-1.768645509524497,0.3684758381196911
Drammen,0.02441053425939957,0.010197604851007314,1134423.5348270126,8345878.403312952,-1.8548162211464487,0.40000786385454523
Haugesund,0.34592837926589215,0.0177207816071379,587488.6126615001,8269951.931427885,-2.025731475707096,0.19249424261814063
Alesund,0.3101955354133614,0.02109720171060599,711108.9071874304,8989639.802622322,-2.478368880797588,0.4987295056259424
Sandnes,0.340033490528793,0.016395494281518454,633407.9026137269,8147046.657701346,-1.920978025781801,0.16219391097753144
Gjovik,0.011910930460214254,0.009856147363447414,1191118.551488027,8580044.128124397,-1.9953447070617725,0.5050537463588047
Moss,0.012421626056022036,0.013873985940092032,1187689.9111715932,8275444.877846608,-1.7837464556034939,0.3914881400513477
Lodz,0.10945381344438508,0.15914027972336567,2165319.9432162815,6759544.366055233,-0.3232850307153856,0.15273112618962736
Lublin,0.03473764962190645,0.2714828604187535,2512781.4698293274,6665706.678845235,-0.11535466818921858,0.2321170584770127
Wroclaw,0.032655049990878836,0.05944564607739712,1895770.9282094496,6640845.487108363,-0.3506803212727152,0.020457286443464895
Bialystok,0.02456659567123316,0.34104093722714635,2579272.60168015,7010866.449434419,-0.32948770947018824,0.38135028923462455
Poznan,0.028135278918661667,0.08965743632962037,1881288.2624572443,6873834.51902556,-0.5195384081365,0.1017106402285406
Zielona Gora,0.001927244278760914,0.04242583942249401,1725452.1072957406,6791162.102031016,-0.5255528600931174,0.02005248861929454
Bydgoszcz,0.07138893458126792,0.14680639914060398,2004864.029186857,7005299.788313133,-0.5608571808812886,0.19079350037308052
Szczecin,0.006074724328907679,0.049800245508942735,1617472.2012262663,7061142.311739657,-0.7585723584238644,0.08427814490708174
Gdansk,0.0937364762341048,0.19120462821415615,2074995.3083866208,7238632.960098687,-0.6953003439970442,0.2999413894773877
Olsztyn,0.1011996593991824,0.2512732120055741,2279823.1714462424,7132369.312295495,-0.5370995386349873,0.3279327233789071
Katowice,0.1033684486110062,0.09004356121530102,2117296.714888062,6491495.262170752,-0.15551058304992527,0.03802325248261251
Rzeszow,0.051812259006217755,0.19068289659852994,2449028.797452019,6458494.162864023,0.0034351441827351614,0.13470465377685548
Krakow,0.1092744873075089,0.11283527878311048,2221937.036233741,6456673.275328225,-0.08830215656431672,0.0595084806378412
Opole,0.06825358196188934,0.07175713877979971,1996103.185261427,6565761.886425996,-0.2570819070243231,0.025666489306519047
Kielce,0.09681236501096965,0.17256232491433285,2299860.6797890305,6601929.60198324,-0.15796271827556252,0.13870068492770793
Gdynia,0.09031625224218517,0.18845409879809183,2062750.1643993584,7269336.430500093,-0.7217861840556954,0.3072568850063728
Grudziadz,0.09689139820248964,0.18276464598236417,2087240.45237388,7072358.036243138,-0.5740110449980693,0.24258074822106046
Inowroclaw,0.08059405481506836,0.1462078438873912,2031580.706977244,6942388.698952246,-0.5059217992039557,0.17633789211117934
Gliwice,0.09462343569027588,0.08201104821929205,2078334.8931104185,6503693.141553285,-0.17999811617533812,0.02974002307554935
Bytom,0.10095890995065891,0.08962007442419533,2105051.5709008025,6507111.76723892,-0.1714462928115088,0.03976951231006787
Warsaw,0.08680931444780626,0.2403784714103938,2337709.306658744,6845455.502518217,-0.3127556305868784,0.2410170414418089
Elblag,0.10904881359824453,0.21601153430962655,2159898.6840146496,7206222.456153219,-0.6378619555674949,0.3158397848201919
Elk,0.04072520343745618,0.3123382816514171,2487990.6192296655,7138723.764149788,-0.4562833893834224,0.3985920925714215
Koszalin,0.009149776052522148,0.10927035511644252,1801516.7153547846,7208125.260900677,-0.7859760962628015,0.19893307902046375
Setubal,0.0035341810231371085,0.014208723525373168,-990743.4680601356,4654569.97589773,-0.14394014946269973,-1.6600194175700254
Evora,0.005275206135183232,0.00927187567700385,-880091.8942116209,4658839.8949732,-0.10160616861085092,-1.6221310226379089
Santarem,0.002618713609859326,0.005289852009196915,-966475.8190672,4754814.562731371,-0.2041005920084431,-1.61505106947279
Porto,0.0024955110346498487,0.0024955110346498487,-959574.010638018,5034491.86907103,-0.396848717500506,-1.50954542566299
Vila Real,0.006967465140319939,0.0108319386993586,-861278.9002675572,5055803.792245206,-0.3714928738877039,-1.4694210904190088
Aveiro,0.0025495370694640033,4.92661226467175e-05,-963024.9148526104,4959532.588588966,-0.3458440063986923,-1.5383485326527522
Guarda,0.013392921564114634,0.007110289721048135,-808402.1421407529,4944873.198639252,-0.2722635810526177,-1.4930178512053713
Viseu,0.0052394817078243935,0.0033461974009915798,-880537.172174793,4961880.127634763,-0.313700869962112,-1.5104122074151545
Braganca,0.022098005671920103,0.03376289681718178,-751963.1603085644,5132262.02403087,-0.38018641835097844,-1.4053233188205927
Viana Do Castelo,0.0032277560667962153,0.0059792158986490835,-984520.7085247894,5115579.752987804,-0.46376997349743165,-1.487799146440961
Braga,0.0025059136995680548,0.007708456607049215,-937454.8278173959,5094551.935549667,-0.42978857000675097,-1.4801159357075842
Beja,0.005672039094191263,0.015502330631337992,-875305.15610751,4581403.7321533635,-0.045495489157209246,-1.6491451296324384
Castelo Branco,0.010061083886315176,0.0026111586107085702,-833560.3470600322,4838515.205288517,-0.2081928556649415,-1.5405351666919591
Portalegre,0.01097315099460662,0.003582843657133218,-826324.5801584698,4763297.125604976,-0.1526301988533012,-1.5659267953108333
Coimbra,0.0025133942864119046,0.00022066115325702256,-936942.7581597446,4895106.738753861,-0.2901092538809946,-1.5535715317835699
Leiria,0.003042805795798983,0.0018159437749979677,-980168.1164347724,4828086.642903768,-0.2609468549015279,-1.5924966112091794
