city_ascii,GEOprob,BIOprob,x,y,bio_x,bio_y
Vaduz,0.19714493331710406,0.11078932573034761,1059394.1980323463,5963924.685910614,-0.13914092880425155,-0.08536183581100165
Klaipeda,0.10611487330737243,0.11110427824118246,2351056.513604858,7502955.365876916,-0.12034184901182021,-0.16314640689615956
Vilnius,0.10303905630534801,0.11111427884054971,2818231.0206169887,7300661.381083198,0.45652439671011136,-0.048583576055562294
Siauliai,0.10647093348947527,0.11110477016227388,2596527.122753106,7546202.349830315,0.07043992994338177,-0.1310675059894999
Kaunas,0.10396415263294616,0.11110477126262162,2658309.440143372,7352245.7089611525,0.27232180677159423,-0.08447907978914226
Panevezys,0.10641847033692933,0.1111047810726395,2712855.990632078,7506830.163816889,0.20582004539498744,-0.10460901241703435
Diekirch,0.40683777612196476,0.11110919719145461,686473.9038748804,6426089.932192703,-0.8254779859700507,-0.2333462748396632
Grevenmacher,0.451651640035029,0.11110515938009549,705019.7310410405,6394482.317900557,-0.784868073483695,-0.22436540707074182
Luxembourg,0.4785861882013443,0.11110539955526891,682388.478562767,6379298.722272802,-0.7940472118589543,-0.22521776919239012
Daugavpils,0.10663561646940067,0.11110571417600566,2951079.7009296827,7534564.044063807,0.40166293245035734,-0.07080042665600106
Ventspils,0.09958703662373834,0.11099055880854551,2400115.013197456,7840231.952266772,-0.32906219818761695,-0.21852530416017812
Riga,0.10456818075473057,0.11110477918474906,2682799.728117893,7749905.9659611825,-0.004100859875287188,-0.15523586985172566
Liepaga,0.10588652873813559,0.11087006068277698,2338822.501566677,7660619.4466461865,-0.24989666759720786,-0.19479461796102704
Jelgava,0.10572155666114139,0.11110477810018332,2639696.8212827384,7689462.376160315,0.0020966319468458394,-0.15093183569699742
Rezekne,0.10638020505235886,0.11110502837249105,3040870.002203536,7658602.2929882975,0.3901613093067837,-0.07941379183912056
Monaco,0.02038320437507972,0.11102951947047775,824532.3363566984,5425232.718554642,0.051873866710066885,-0.022548824984550575
Balti,0.08038485940237476,0.11110436174804965,3106403.786433538,6066870.822390789,1.645376822604665,0.2306003039261617
Cahul,0.09917193044551038,0.10953263909514746,3138586.251221872,5765602.394446149,1.9009422826189661,0.2925168929047576
Chisinau,0.09190223395935465,0.11038306798319895,3212424.4694650513,5942890.237883396,1.8349337609261283,0.27127838936851023
Tiraspol,0.09529668118364676,0.11061398935860695,3299509.707112627,5918129.129727772,1.9327405865213634,0.2901993281853801
Dubasari,0.08986335916685173,0.11055243389579797,3246165.407124492,5985124.924754398,1.833898545214299,0.2688644400429794
Podgorica,0.03266610547200757,0.11110479717265566,2144714.705470446,5231041.611723426,1.3985015828182248,0.2302206882819059
Skopje,0.04453310720069718,0.1105694628704625,2385966.305917628,5160979.444049783,1.6705567765179197,0.2829129885685474
Bitola,0.07543679533552211,0.09660511725639379,2375502.2737830617,5018110.616673192,1.7683534599990192,0.3080612405913311
Tetovo,0.044150712597724205,0.11105599934814545,2334380.853884027,5162357.659070327,1.6226023289663627,0.2742037040785792
Maastricht,0.16523682669304823,0.148900225065369,631960.7492334138,6595332.201458038,-1.0021843435134015,-0.2740971251385157
Amsterdam,0.028983696949715483,0.11110265893231716,547313.4084342078,6863659.039714891,-1.2807252228504993,-0.3384142089228027
The Hague,0.03451746845449717,0.11110349940443676,475334.22568727686,6814603.426035637,-1.3093459025566672,-0.3409815425535331
Haarlem,0.030195340935127636,0.11110302364548828,515409.2423728557,6869201.07560679,-1.3139062858124735,-0.3446824117096855
Groningen,0.04777632034493044,0.11109924610710926,732482.2494197398,7023870.467125853,-1.2326469466755903,-0.33820505038800774
Middelburg,0.06989901849411917,0.11110399402012901,401863.36176371813,6710576.735641695,-1.2980324775854069,-0.33345750495612136
Arnhem,0.03229874215748638,0.11268918890766914,659345.3439685586,6797955.991249009,-1.1294752485892756,-0.30770883323750897
Assen,0.038027231358949844,0.11110903143009787,729142.6646959418,6982997.920389787,-1.2049835296817673,-0.3310672029887739
's-Hertogenbosch,0.05069134340782853,0.11193279463095851,591852.3367005981,6743063.357513758,-1.1496311496481706,-0.30844380897594814
Zwolle,0.025263440027600694,0.11115329211158592,678714.9353665886,6895431.61657986,-1.1850753875425033,-0.32286339698110866
Utrecht,0.031219343641185948,0.11111334533336373,569955.792861562,6818281.337889219,-1.2260460796053216,-0.3261732221645811
Leeuwarden,0.05217218885860301,0.1110999404170017,643805.143053819,7029450.123692404,-1.3174937328954188,-0.3537802338846491
Rotterdam,0.03909924158181962,0.11110413975821135,498711.3187538657,6785673.333785048,-1.2663529310753,-0.3317127015257556
Eindhoven,0.07393744090759916,0.12638408475377655,612257.1993630035,6697711.123236825,-1.0970062596600858,-0.2965741364095035
Vossavangen,0.08504482327824336,0.11110479762176391,717008.840199474,8541356.190229671,-2.3865615782755576,-0.6260590498599478
Oslo,0.048800518073081396,0.04880051807308141,1196684.5260276902,8381215.3676753575,-1.829987798918883,-0.5173740994054067
Lillehammer,0.0929041969079606,0.11110469634931515,1168854.653329373,8656495.30109446,-2.0620734459562167,-0.5736913104426978
Baerum,0.046484930418179644,0.10812463791837236,1263164.5259294342,8380504.745981934,-1.7689875651481861,-0.5063504785257745
Stavanger,0.07737219902247607,0.11110479317125399,632294.7077057943,8173905.558045134,-2.187606715638779,-0.5708475020750577
Leikanger,0.09702250962621052,0.11110479762178399,762538.5119339245,8668033.60122272,-2.440302548487744,-0.6424189137870039
Kristiansand,0.09022926849733241,0.10713987212666182,890555.9263461898,8002396.723285847,-1.823880105870539,-0.4962947637760694
Bergen,0.08203407277087181,0.11110479762178384,592720.6287287859,8487308.98087694,-2.4590102244804184,-0.6362565374637988
Skien,0.05272343173063098,0.09058554782142444,1068667.111615425,8223740.701207093,-1.8281400449805654,-0.5087359201031406
Arendal,0.07984461461260099,0.10976930799566866,975826.656293836,8065597.929270066,-1.7937954734878314,-0.4942098274229113
Hamar,0.08282489531705199,0.1110631663189834,1232195.4435907442,8584609.14059896,-1.9504658224502442,-0.5497994173801738
Tonsberg,0.04714772027044791,0.11050093765495168,1160060.4135567036,8237667.527729335,-1.7554748172767276,-0.4963834300700397
Drammen,0.04770877975705953,0.09358207225411275,1134423.5348270126,8345878.403312952,-1.860073955724408,-0.5209289031300467
Haugesund,0.07206501714523379,0.11110479761310028,587488.6126615001,8269951.931427885,-2.300503874801038,-0.5962458785020915
Alesund,0.10664487210887502,0.11110479762178463,711108.9071874304,8989639.802622322,-2.7286505920760886,-0.7113122839894038
Sandnes,0.08015826077438147,0.11110478242500933,633407.9026137269,8147046.657701346,-2.166419480948253,-0.5656151112489963
Gjovik,0.08255643928489927,0.11109687386192431,1191118.551488027,8580044.128124397,-1.9843980936504924,-0.5556698551686242
Moss,0.04361073654978071,0.11019864178087253,1187689.9111715932,8275444.877846608,-1.7587205800816603,-0.4989604137437046
Lodz,0.05509822102016692,0.1111035197063112,2165319.9432162815,6759544.366055233,0.2691267453173638,-0.05379474553515984
Lublin,0.08388672994836929,0.11111040683791408,2512781.4698293274,6665706.678845235,0.6556431899347359,0.02076597440090866
Wroclaw,0.08104112327278659,0.11109724513827768,1895770.9282094496,6640845.487108363,0.1131193768175045,-0.07563135371656438
Bialystok,0.07148119293982803,0.11116658800186155,2579272.60168015,7010866.449434419,0.45685722234057247,-0.03323950917172691
Poznan,0.02450893685991786,0.11110001530814079,1881288.2624572443,6873834.51902556,-0.07506010864707857,-0.12181059342533851
Zielona Gora,0.03130639701780054,0.1111040814666464,1725452.1072957406,6791162.102031016,-0.15470150981349828,-0.13179376910446983
Bydgoszcz,0.04370998792807439,0.11110290368263886,2004864.029186857,7005299.788313133,-0.061411093404192485,-0.12628603851127151
Szczecin,0.04673502826887777,0.0911110997646084,1617472.2012262663,7061142.311739657,-0.4557062845432558,-0.20024380111059015
Gdansk,0.09123439378709503,0.111103592715794,2074995.3083866208,7238632.960098687,-0.17288900257594886,-0.15866947497857986
Olsztyn,0.07877265164617771,0.11110444657455779,2279823.1714462424,7132369.312295495,0.09322951383908684,-0.10513706167515402
Katowice,0.1131687808859152,0.11320850947193804,2117296.714888062,6491495.262170752,0.42678933978247,-0.01126248840768762
Rzeszow,0.10185579140907394,0.11110480900364172,2449028.797452019,6458494.162864023,0.7533025081713021,0.04928304863679178
Krakow,0.11128764576516831,0.11141050855799074,2221937.036233741,6456673.275328225,0.5481203858453778,0.0124257849769277
Opole,0.10235803069923664,0.1111015497255683,1996103.185261427,6565761.886425996,0.26077407067914304,-0.0450787466777095
Kielce,0.09054936838878407,0.1117524432471055,2299860.6797890305,6601929.60198324,0.5098878197519214,-0.00212088925909093
Gdynia,0.09472847406331807,0.11109683889099846,2062750.1643993584,7269336.430500093,-0.2070890322974046,-0.16644823727679536
Grudziadz,0.06121265784063066,0.11110372755027471,2087240.45237388,7072358.036243138,-0.03685612924520498,-0.12540042030437548
