city_ascii,GEOprob,BIOprob,x,y,bio_x,bio_y
Vaduz,0.017391415794143838,0.015280895214886287,1059394.1980323463,5963924.685910614,-0.5839070713593212,-0.08463735657938187
Klaipeda,0.0477053100135852,0.09408086462912593,2351056.513604858,7502955.365876916,-0.5382384061444156,-0.16345313318242694
Vilnius,0.005950320642020339,0.0870225391125985,2818231.0206169887,7300661.381083198,-0.40073494771421125,0.0756994244347422
Siauliai,0.025841990204760173,0.09611224701319206,2596527.122753106,7546202.349830315,-0.4898278594141364,-0.09053263372516307
Kaunas,0.018871720565278,0.0343720117445593,2658309.440143372,7352245.7089611525,-0.4449887204349977,6.329464081611391e-05
Panevezys,0.014896662726640995,0.053065053837376606,2712855.990632078,7506830.163816889,-0.4573423581857714,-0.03486186612040898
Diekirch,0.014378372581144596,0.059756653617087215,686473.9038748804,6426089.932192703,-0.7416022534743794,-0.3815842535084948
Grevenmacher,0.014988519394815485,0.061260326273086134,705019.7310410405,6394482.317900557,-0.7323851456091727,-0.3637753800401504
Luxembourg,0.014025631812003492,0.059701416205540876,682388.478562767,6379298.722272802,-0.7350634997682037,-0.36654960418475513
Daugavpils,0.0012840492209660408,0.07728572870992145,2951079.7009296827,7534564.044063807,-0.40809152849993524,0.04092665483376812
Ventspils,0.04627049330158892,0.020713119440064678,2400115.013197456,7840231.952266772,-0.5809523063634332,-0.26478068860352355
Riga,0.01887846792976488,0.1033278953669059,2682799.728117893,7749905.9659611825,-0.5028639016972429,-0.13138498439611412
Liepaga,0.04964568536111688,0.05181151469619016,2338822.501566677,7660619.4466461865,-0.5661287021181414,-0.22345187864373361
Jelgava,0.02253284962952151,0.10335286455680727,2639696.8212827384,7689462.376160315,-0.5029394324875418,-0.12555049018796782
Rezekne,0.0014077785404325942,0.07793947130121064,3040870.002203536,7658602.2929882975,-0.4076352052089228,0.02943390291867698
Monaco,0.014151089804052632,0.0789670537041073,824532.3363566984,5425232.718554642,-0.5509462760083974,0.0209842499045072
Balti,-0.00235764433251971,0.021815004106773513,3106403.786433538,6066870.822390789,-0.13912509154481464,0.6143387208774793
Cahul,-0.0015235463503382976,0.08713330950293034,3138586.251221872,5765602.394446149,-0.08384775648358597,0.7321486990990411
Chisinau,0.004995500774214408,0.06962282326894446,3212424.4694650513,5942890.237883396,-0.09547421657344898,0.6961461397350619
Tiraspol,0.015051455632874211,0.0995940170001708,3299509.707112627,5918129.129727772,-0.07190655118843967,0.736159666729864
Dubasari,0.008640263366486151,0.0711182484880121,3246165.407124492,5985124.924754398,-0.09460518022125794,0.6933706801939734
Podgorica,0.03923547238116103,0.11386938857946663,2144714.705470446,5231041.611723426,-0.2225510966630789,0.5636782279329109
Skopje,0.02947958736252679,0.05275835472800678,2385966.305917628,5160979.444049783,-0.15702795921278742,0.6750446626525595
Bitola,0.029257372515610017,0.018921346923617268,2375502.2737830617,5018110.616673192,-0.13661013293424604,0.7216723776727089
Tetovo,0.032784886541505506,0.07407952651404816,2334380.853884027,5162357.659070327,-0.16886991558156192,0.6560291846863003
Maastricht,0.012685467794193214,0.03483574938031225,631960.7492334138,6595332.201458038,-0.7808638109949249,-0.46085294882557726
Amsterdam,0.010119264731115948,0.2306459681409846,547313.4084342078,6863659.039714891,-0.8427101582590271,-0.5858905278700166
The Hague,0.007264990085115823,0.32512004938416034,475334.22568727686,6814603.426035637,-0.8511069500437959,-0.5944446111549615
Haarlem,0.008914760582606082,0.32118424137928847,515409.2423728557,6869201.07560679,-0.8507816771921314,-0.5993049971401332
Groningen,0.018693785113520545,0.08873397386907016,732482.2494197398,7023870.467125853,-0.8265314983027501,-0.5758808602905376
Middelburg,0.004513850937702274,0.3247521829594602,401863.36176371813,6710576.735641695,-0.8510766247482209,-0.5841475350829719
Arnhem,0.014680779659817568,-0.002051603725181333,659345.3439685586,6797955.991249009,-0.8069952348951076,-0.5224769535314464
Assen,0.018388484989648506,0.050387025064937134,729142.6646959418,6982997.920389787,-0.8207682275791128,-0.5626656755018424
's-Hertogenbosch,0.011469915456289597,0.012441587290706227,591852.3367005981,6743063.357513758,-0.8134507808828733,-0.5273610337294623
Zwolle,0.015925117719956236,0.03538159632609302,678714.9353665886,6895431.61657986,-0.818170289879141,-0.5498967211470478
Utrecht,0.010852330620417317,0.1178931596706267,569955.792861562,6818281.337889219,-0.8303749388664816,-0.5617538005898224
Leeuwarden,0.01486391343861237,0.28158212088784845,643805.143053819,7029450.123692404,-0.8474000090162536,-0.6097013501240163
Rotterdam,0.008033436717795729,0.21550221880610787,498711.3187538657,6785673.333785048,-0.8412281898294193,-0.5758446516722886
Eindhoven,0.012184342793703758,0.00028082899999778624,612257.1993630035,6697711.123236825,-0.8016237370557047,-0.5040370026072174
Vossavangen,0.02461788061647449,0.11668294500025807,717008.840199474,8541356.190229671,-1.0719271056499056,-1.1166193896551362
Oslo,0.03149704607937521,0.03149704607937433,1196684.5260276902,8381215.3676753575,-0.9383269514117578,-0.8878428284564501
Lillehammer,0.03342737278110552,0.08130527853019637,1168854.653329373,8656495.30109446,-0.9884806971641449,-0.9949238489830372
Baerum,0.03113751305037018,0.23976386548285183,1263164.5259294342,8380504.745981934,-0.9232356641641535,-0.8637126958672994
Stavanger,0.01871863517340677,0.11348695221836763,632294.7077057943,8173905.558045134,-1.0324362670508256,-1.017457626618203
Leikanger,0.02728893202835669,0.11680208583996668,762538.5119339245,8668033.60122272,-1.0818634630488997,-1.1449412601051714
Kristiansand,0.028029645385842145,0.018763872809235364,890555.9263461898,8002396.723285847,-0.9469087638113578,-0.8642035779014368
Bergen,0.017833804405458863,0.11685712643658111,592720.6287287859,8487308.98087694,-1.0913134352284737,-1.1422023804003811
Skien,0.0308321296988972,0.0217600762670879,1068667.111615425,8223740.701207093,-0.9420656233269438,-0.8782889810687582
Arendal,0.029545491427081603,0.03563799410240715,975826.656293836,8065597.929270066,-0.9377723889417928,-0.8558639995523323
Hamar,0.032688886928665846,0.03284713469774092,1232195.4435907442,8584609.14059896,-0.9627502540534618,-0.9468194249504602
Tonsberg,0.03071157528556576,0.23165755243794076,1160060.4135567036,8237667.527729335,-0.9236947702114471,-0.8503723026693497
Drammen,0.031499939369138245,0.018878293970927083,1134423.5348270126,8345878.403312952,-0.9467211793923396,-0.8977443880576121
Haugesund,0.016769814456946107,0.1162803716814705,587488.6126615001,8269951.931427885,-1.0578423182104186,-1.0674251393125482
Alesund,0.026295257277065397,0.11690590181077905,711108.9071874304,8989639.802622322,-1.1447193348019293,-1.2768374220377114
Sandnes,0.018672522195314147,0.11238542904734913,633407.9026137269,8147046.657701346,-1.0279037614128193,-1.0075852843227526
Gjovik,0.03284925162790007,0.0497571491452851,1191118.551488027,8580044.128124397,-0.9712771849733326,-0.9599642118216094
Moss,0.03083689452175878,0.23522714059963976,1187689.9111715932,8275444.877846608,-0.923492082079411,-0.8537709872113979
Lodz,0.05031146724022351,0.06015439936283803,2165319.9432162815,6759544.366055233,-0.46157442843518126,0.03201365255770572
Lublin,0.02857549744449345,0.11052682143163463,2512781.4698293274,6665706.678845235,-0.3683319333331029,0.18991557965044992
Wroclaw,0.0399523114025733,0.10349530107679837,1895770.9282094496,6640845.487108363,-0.5033817252703408,-0.022945715088984242
Bialystok,0.024325960971413235,0.07687656296517785,2579272.60168015,7010866.449434419,-0.408374940771406,0.09206959050731855
Poznan,0.04070577123820487,0.08836184736934877,1881288.2624572443,6873834.51902556,-0.5437865446241797,-0.11031746156187872
Zielona Gora,0.029818069888413047,0.05265499093742688,1725452.1072957406,6791162.102031016,-0.565717377220976,-0.13713700680568675
Bydgoszcz,0.04975503190133837,0.09526197085229374,2004864.029186857,7005299.788313133,-0.5369023013385268,-0.11229385676684212
Szczecin,0.026730131804734093,0.08218258291518031,1617472.2012262663,7061142.311739657,-0.6330841440267241,-0.27113871144998525
Gdansk,0.05375189306353015,0.06694762844532147,2074995.3083866208,7238632.960098687,-0.5582983837515582,-0.16939377442257308
Olsztyn,0.04939053520289369,0.09980511280648159,2279823.1714462424,7132369.312295495,-0.4952105013014785,-0.05834330375629504
Katowice,0.04853315552099736,0.04238898671516256,2117296.714888062,6491495.262170752,-0.429663154601327,0.10929821744308876
Rzeszow,0.03299920422525685,0.11473487375961912,2449028.797452019,6458494.162864023,-0.3496627599078551,0.2400945596362427
Krakow,0.04686429902406896,0.087260779755562,2221937.036233741,6456673.275328225,-0.4005364617609123,0.15916573197450168
Opole,0.045918627489668344,0.07170262870073338,1996103.185261427,6565761.886425996,-0.4688073526694667,0.03957364660894136
Kielce,0.044602887542161705,0.0800422247650892,2299860.6797890305,6601929.60198324,-0.40613617926319645,0.13592739217212335
Gdynia,0.053749750034077386,0.05217479477693732,2062750.1643993584,7269336.430500093,-0.5659518082623927,-0.18462058252551916
Grudziadz,0.05266768572411474,0.10076157564196221,2087240.45237388,7072358.036243138,-0.52903288532257,-0.10635419433308257
Inowroclaw,0.05036533312672476,0.10402829176026139,2031580.706977244,6942388.698952246,-0.5208540613946057,-0.08051004796114736
Gliwice,0.04821367869610252,0.030649041476064797,2078334.8931104185,6503693.141553285,-0.44038580858074283,0.09100129413083557
Bytom,0.04857782298158646,0.03501564925444611,2105051.5709008025,6507111.76723892,-0.4349114960236853,0.09939221704020307
Warsaw,0.04405501768904614,0.033298143972665076,2337709.306658744,6845455.502518217,-0.43643044241546347,0.0636368666972209
Elblag,0.05370295586330898,0.09757278689415176,2159898.6840146496,7206222.456153219,-0.5340028681949944,-0.12746621205618736
Elk,0.03386937994860382,0.040150808508706955,2487990.6192296655,7138723.764149788,-0.4493231807859104,0.014189061222526167
Koszalin,0.037631304405205,0.05051750609851691,1801516.7153547846,7208125.260900677,-0.6150499828758041,-0.2568675360798256
Setubal,0.8368551056082563,0.17542924348826333,-990743.4680601356,4654569.97589773,-0.8370746261505333,-0.35926591540240116
Evora,0.7228963360012667,0.009902489140294962,-880091.8942116209,4658839.8949732,-0.8128254146730458,-0.3210259377703508
Santarem,0.8127048178905277,0.28371530125616395,-966475.8190672,4754814.562731371,-0.8475875573450178,-0.3859028540158942
Porto,0.8054467864113863,0.8054467864113847,-959574.010638018,5034491.86907103,-0.8906172297166277,-0.4820591552593938
Vila Real,0.7021896090776698,0.6114971881993373,-861278.9002675572,5055803.792245206,-0.8718686854520763,-0.45426790284318974
Aveiro,0.8090118391830667,0.7156438655133351,-963024.9148526104,4959532.588588966,-0.879445115118342,-0.45686238986967265
Guarda,0.6445745936339579,0.22611684803886997,-808402.1421407529,4944873.198639252,-0.8422715440932552,-0.39615211600333566
Viseu,0.7230339764220656,0.4579951740305769,-880537.172174793,4961880.127634763,-0.8612347846123724,-0.428060840057674
Braganca,0.5820564319777506,0.432954821322977,-751963.1603085644,5132262.02403087,-0.8594283121524072,-0.4419668262508667
Viana Do Castelo,0.8302445330127112,0.5114459778004504,-984520.7085247894,5115579.752987804,-0.9091643386865242,-0.519617705731493
Braga,0.7827935633039677,0.7597398972210353,-937454.8278173959,5094551.935549667,-0.8952082115820754,-0.4952957113965595
Beja,0.7178445104180857,0.002804784871346666,-875305.15610751,4581403.7321533635,-0.7994025005574849,-0.2919966874736515
Castelo Branco,0.6722908652893103,0.12277588070856923,-833560.3470600322,4838515.205288517,-0.8309846894743966,-0.36767901311863893
Portalegre,0.6644581246274436,0.03104109665354554,-826324.5801584698,4763297.125604976,-0.8173636018849038,-0.33855233971613297
Coimbra,0.7824917717112634,0.4871600475505538,-936942.7581597446,4895106.738753861,-0.8632983583584013,-0.42477228068904704
Leiria,0.8262675909979992,0.4737327811362117,-980168.1164347724,4828086.642903768,-0.8623530862495407,-0.41666239625991164
Covilha,0.6736725252692078,0.2257356668244846,-834896.1809495508,4907196.471655306,-0.842234453135589,-0.39238106375297965
Drobeta-Turnu Severin,0.020887395723598573,0.10005228779880775,2523156.446371261,5565946.89011197,-0.19067663527016784,0.5815009281262138
Braila,-0.003335455268594299,0.09788943150729691,3113494.8379970687,5667608.648196123,-0.07387923704373375,0.757695925846865
Oradea,0.030474650100176442,0.11677791982612917,2440123.2381885583,5950239.167201476,-0.2706459052363991,0.41614493810589614
Timisoara,0.03491555936550014,0.11652837069161365,2362578.080901964,5741780.642586727,-0.25488555904891586,0.4618091158711368
Resita,0.02896992781363661,0.11451937239169262,2436394.035246984,5668399.873191275,-0.22655678951823796,0.514203315101224
Calarasi,-0.006711221887357084,0.1058717209737497,3041905.2734679137,5497423.285195743,-0.06287839258463532,0.7920013251273941
Arad,0.03462483139755855,0.11669005674158604,2373331.5437125918,5807633.816672968,-0.2629607539925115,0.4424469217121918
Alexandria,-0.002729886527123808,0.04849602057483475,2814902.5678422716,5450227.1626262935,-0.10649855355168988,0.7271072338087199
Slobozia,-0.00634932889106795,0.10072911356476139,3048150.296901416,5554078.914841605,-0.07050311977337029,0.7742634579161556
Baia Mare,0.014527659564934943,0.11616868673920232,2624813.405363678,6050393.559140931,-0.2450011204649459,0.44716333034473976
Tulcea,0.003493206406519534,0.11116456858670129,3205633.9805266606,5652951.951943522,-0.05078371349146424,0.7959612260468785
