city_ascii,GEOprob,BIOprob,x,y,bio_x,bio_y
Vaduz,0.06862077414439714,0.027796177586985747,1059394.1980323463,5963924.685910614,-0.21987510630918505,-0.5038939390608648
Klaipeda,0.12511640251260792,0.03377524976834908,2351056.513604858,7502955.365876916,-0.7670705878688229,0.4881081050026408
Vilnius,0.1282702030984907,0.0055512975627960625,2818231.0206169887,7300661.381083198,-0.43426687385666574,0.5667440816498082
Siauliai,0.0785065476335431,0.018364721561857027,2596527.122753106,7546202.349830315,-0.6967745720236436,0.5846277290091404
Kaunas,0.07698806342641802,0.019765594267362963,2658309.440143372,7352245.7089611525,-0.5358387045088269,0.5333050598456874
Panevezys,0.0917107127451154,0.02099147251689938,2712855.990632078,7506830.163816889,-0.6215969353335464,0.6082690810557798
Diekirch,0.16518241294742086,0.018212440459457194,686473.9038748804,6426089.932192703,-0.6957996456755517,-0.45566934842115403
Grevenmacher,0.1630094821663242,0.018673226060979202,705019.7310410405,6394482.317900557,-0.6661009599417951,-0.4612509257507349
Luxembourg,0.16656723082059952,0.018745142683761654,682388.478562767,6379298.722272802,-0.6647524043638522,-0.47428266047877976
Daugavpils,0.21129916768737217,0.02030626484766015,2951079.7009296827,7534564.044063807,-0.5434209290240504,0.696683971134036
Ventspils,0.12307333815030724,0.048293011665942825,2400115.013197456,7840231.952266772,-0.9828309481567516,0.6287105062805547
Riga,0.09106719679877577,0.04106341203912976,2682799.728117893,7749905.9659611825,-0.8038870999966998,0.6881351479997666
Liepaga,0.13476194569346694,0.05044269241380532,2338822.501566677,7660619.4466461865,-0.8823338702905628,0.5422937737632876
Jelgava,0.08411163400672778,0.036350151634252766,2639696.8212827384,7689462.376160315,-0.7792734184582923,0.6516779190542961
Rezekne,0.2741965377935559,0.021695432791148488,3040870.002203536,7658602.2929882975,-0.5933836874441085,0.7719379320153963
Monaco,0.15330007093227455,0.22652466237678154,824532.3363566984,5425232.718554642,0.06063254909091009,-0.7798217782767032
Balti,0.3194492664883458,0.24047597223173242,3106403.786433538,6066870.822390789,0.5465355184223886,0.20586868269172376
Cahul,0.3377055727861042,0.07785258293523274,3138586.251221872,5765602.394446149,0.7703899092055395,0.10521901062414196
Chisinau,0.38943260096012494,0.13429153181461193,3212424.4694650513,5942890.237883396,0.6766568202700767,0.1948946982652271
Tiraspol,0.43074421069983504,0.10100122962965458,3299509.707112627,5918129.129727772,0.7296397112959743,0.21433282342926852
Dubasari,0.4086177302334326,0.14503717138993574,3246165.407124492,5985124.924754398,0.6609419931848071,0.2215579638629004
Podgorica,0.08070570845260445,0.0965982841219661,2144714.705470446,5231041.611723426,0.7371389006235769,-0.41826571379298416
Skopje,0.036904453458740286,0.025023112147883057,2385966.305917628,5160979.444049783,0.8849426285627038,-0.3649578193967127
Bitola,0.03596985774910249,0.03712212962503387,2375502.2737830617,5018110.616673192,0.9805632681106649,-0.4211306831774828
Tetovo,0.047327362265903276,0.03297694748650667,2334380.853884027,5162357.659070327,0.8628508578531706,-0.38137770161986717
Maastricht,0.16741242386020666,0.04609007067157844,631960.7492334138,6595332.201458038,-0.836475803588479,-0.41108429812967007
Amsterdam,0.16223514408618817,0.0379665641478572,547313.4084342078,6863659.039714891,-1.0587827336916305,-0.33981199465701906
The Hague,0.1542094362093702,0.038752143661440114,475334.22568727686,6814603.426035637,-1.0539594638376797,-0.3815416798377216
Haarlem,0.1591846520456744,0.03516426934077294,515409.2423728557,6869201.07560679,-1.0757252925558052,-0.3482360876015336
Groningen,0.14559314253367006,0.032013507460316754,732482.2494197398,7023870.467125853,-1.0949764907640946,-0.21990490397248097
Middelburg,0.1396042220802688,0.04506513896875658,401863.36176371813,6710576.735641695,-1.0113065446496692,-0.444053030112459
Arnhem,0.16149962567921922,0.04964481590429149,659345.3439685586,6797955.991249009,-0.9669521539232009,-0.32730058643282334
Assen,0.14710853932254125,0.036486038656000745,729142.6646959418,6982997.920389787,-1.0677626221404926,-0.23608862741344705
's-Hertogenbosch,0.1659000908461608,0.0503588948168846,591852.3367005981,6743063.357513758,-0.9562097115683144,-0.36971274764167195
Zwolle,0.15734440971192798,0.04288370376765857,678714.9353665886,6895431.61657986,-1.0271824070853666,-0.28496175943628055
Utrecht,0.16418402506675855,0.04420521762586503,569955.792861562,6818281.337889219,-1.01777695546888,-0.3491323378783844
Leeuwarden,0.1585414973114394,0.026530404619384676,643805.143053819,7029450.123692404,-1.1351980135872668,-0.24694611121126098
Rotterdam,0.1583306664401497,0.043317863455587635,498711.3187538657,6785673.333785048,-1.024154381057063,-0.38454940905676516
Eindhoven,0.16643574816268378,0.05148305560304853,612257.1993630035,6697711.123236825,-0.9161381707090022,-0.379757970370032
Vossavangen,0.11976416460429708,0.08281155669525114,717008.840199474,8541356.190229671,-2.162473182037482,0.3351852658659187
Oslo,0.003821658801400333,0.003821658801400308,1196684.5260276902,8381215.3676753575,-1.8540265149888948,0.4334842274198887
Lillehammer,0.006822311662367729,0.06097857706919853,1168854.653329373,8656495.30109446,-2.0579247658221385,0.5259688260196378
Baerum,0.0007041642745701363,0.01291954795907086,1263164.5259294342,8380504.745981934,-1.8263011813606762,0.45503844460417087
Stavanger,0.13795571639544127,0.024994726466923238,632294.7077057943,8173905.558045134,-1.9402160606612875,0.1717433510079851
Leikanger,0.10810667102546949,0.0919449437962873,762538.5119339245,8668033.60122272,-2.2324094274177075,0.3968885778317355
Kristiansand,0.08231084811422391,0.0703271429048799,890555.9263461898,8002396.723285847,-1.7145052412414565,0.1931849929057785
Bergen,0.13507903062490495,0.08482079141084238,592720.6287287859,8487308.98087694,-2.1755837095812924,0.27444687853233374
Skien,0.026514603754260024,0.026651763496810664,1068667.111615425,8223740.701207093,-1.7963388673745935,0.33334259906467745
Arendal,0.05426166566330499,0.06520462493926998,975826.656293836,8065597.929270066,-1.7237764935732431,0.2444982595434797
Hamar,0.001952057140124242,0.03853844710091106,1232195.4435907442,8584609.14059896,-1.9817129837196759,0.520218962826339
Tonsberg,0.00845203351652166,0.04085541036553325,1160060.4135567036,8237667.527729335,-1.768645509524497,0.3684758381196911
Drammen,0.012085190201411944,0.003799846783230967,1134423.5348270126,8345878.403312952,-1.8548162211464487,0.40000786385454523
Haugesund,0.1387623268979631,0.05208579991469498,587488.6126615001,8269951.931427885,-2.025731475707096,0.19249424261814063
Alesund,0.11419358299967013,0.10426039653817734,711108.9071874304,8989639.802622322,-2.478368880797588,0.4987295056259424
Sandnes,0.13833591229515477,0.01883684355826133,633407.9026137269,8147046.657701346,-1.920978025781801,0.16219391097753144
Gjovik,0.004455795981421554,0.04287356802075072,1191118.551488027,8580044.128124397,-1.9953447070617725,0.5050537463588047
Moss,0.004839700450922508,0.03298732586491091,1187689.9111715932,8275444.877846608,-1.7837464556034939,0.3914881400513477
Lodz,0.13851567851103552,0.012835866109433451,2165319.9432162815,6759544.366055233,-0.3232850307153856,0.15273112618962736
Lublin,0.056761575867288895,0.04115812556173138,2512781.4698293274,6665706.678845235,-0.11535466818921858,0.2321170584770127
Wroclaw,0.11759502263735366,0.007667400064468585,1895770.9282094496,6640845.487108363,-0.3506803212727152,0.020457286443464895
Bialystok,0.06251359112673328,0.011685640636586177,2579272.60168015,7010866.449434419,-0.32948770947018824,0.38135028923462455
Poznan,0.1231787925644299,0.018307678957617975,1881288.2624572443,6873834.51902556,-0.5195384081365,0.1017106402285406
Zielona Gora,0.0751234165541432,0.018891889700422,1725452.1072957406,6791162.102031016,-0.5255528600931174,0.02005248861929454
Bydgoszcz,0.15189147206608886,0.02121388964840296,2004864.029186857,7005299.788313133,-0.5608571808812886,0.19079350037308052
Szczecin,0.04915033235835628,0.03190842514079983,1617472.2012262663,7061142.311739657,-0.7585723584238644,0.08427814490708174
Gdansk,0.16595274761794424,0.01813868612530817,2074995.3083866208,7238632.960098687,-0.6953003439970442,0.2999413894773877
Olsztyn,0.13065562182305543,0.019861519764146587,2279823.1714462424,7132369.312295495,-0.5370995386349873,0.3279327233789071
Katowice,0.13162584625558796,0.03473070866099481,2117296.714888062,6491495.262170752,-0.15551058304992527,0.03802325248261251
Rzeszow,0.06080064338098172,0.15816122856958034,2449028.797452019,6458494.162864023,0.0034351441827351614,0.13470465377685548
Krakow,0.11587613738196244,0.04817303313480528,2221937.036233741,6456673.275328225,-0.08830215656431672,0.0595084806378412
Opole,0.13194758485409058,0.023383231016789886,1996103.185261427,6565761.886425996,-0.2570819070243231,0.025666489306519047
Kielce,0.10365172029467401,0.03442795789767326,2299860.6797890305,6601929.60198324,-0.15796271827556252,0.13870068492770793
Gdynia,0.16715056701234635,0.023503789085102336,2062750.1643993584,7269336.430500093,-0.7217861840556954,0.3072568850063728
Grudziadz,0.15857723888760505,0.021592982842801773,2087240.45237388,7072358.036243138,-0.5740110449980693,0.24258074822106046
Inowroclaw,0.15151782897836302,0.016791687524427584,2031580.706977244,6942388.698952246,-0.5059217992039557,0.17633789211117934
Gliwice,0.13359564112556058,0.03194437004298269,2078334.8931104185,6503693.141553285,-0.17999811617533812,0.02974002307554935
Bytom,0.13300268147465652,0.03286737576130053,2105051.5709008025,6507111.76723892,-0.1714462928115088,0.03976951231006787
Warsaw,0.10314092744318523,0.014740089278767047,2337709.306658744,6845455.502518217,-0.3127556305868784,0.2410170414418089
Elblag,0.15873917037751326,0.02023418237180466,2159898.6840146496,7206222.456153219,-0.6378619555674949,0.3158397848201919
Elk,0.07644904120986062,0.00937355258838652,2487990.6192296655,7138723.764149788,-0.4562833893834224,0.3985920925714215
Koszalin,0.1122674207958029,0.03770203234006836,1801516.7153547846,7208125.260900677,-0.7859760962628015,0.19893307902046375
Setubal,0.0024127850870843148,0.03626655316031442,-990743.4680601356,4654569.97589773,-0.14394014946269973,-1.6600194175700254
Evora,0.0016459133912509764,0.044346940750810145,-880091.8942116209,4658839.8949732,-0.10160616861085092,-1.6221310226379089
Santarem,0.0010557956852238215,0.029454222678649274,-966475.8190672,4754814.562731371,-0.2041005920084431,-1.61505106947279
Porto,0.0002750176869573047,0.0002750176869573429,-959574.010638018,5034491.86907103,-0.396848717500506,-1.50954542566299
Vila Real,0.0011562462582538212,0.0038109559601720486,-861278.9002675572,5055803.792245206,-0.3714928738877039,-1.4694210904190088
Aveiro,0.0004403996985646397,0.008588897147352203,-963024.9148526104,4959532.588588966,-0.3458440063986923,-1.5383485326527522
Guarda,0.0042780281533396,0.021286489815732695,-808402.1421407529,4944873.198639252,-0.2722635810526177,-1.4930178512053713
Viseu,0.000590884767247202,0.01457207608282941,-880537.172174793,4961880.127634763,-0.313700869962112,-1.5104122074151545
Braganca,0.0083488291949993,0.0023417749257519166,-751963.1603085644,5132262.02403087,-0.38018641835097844,-1.4053233188205927
Viana Do Castelo,0.0011505588102990836,0.01063735960519973,-984520.7085247894,5115579.752987804,-0.46376997349743165,-1.487799146440961
Braga,-0.0001305137647711516,0.004780738622394575,-937454.8278173959,5094551.935549667,-0.42978857000675097,-1.4801159357075842
Beja,0.0022350150853764315,0.06885676866506754,-875305.15610751,4581403.7321533635,-0.045495489157209246,-1.6491451296324384
Castelo Branco,0.002994028599944977,0.029030724890144386,-833560.3470600322,4838515.205288517,-0.2081928556649415,-1.5405351666919591
Portalegre,0.003715212159556938,0.035096766429652475,-826324.5801584698,4763297.125604976,-0.1526301988533012,-1.5659267953108333
Coimbra,8.339212916724868e-05,0.018568604024957518,-936942.7581597446,4895106.738753861,-0.2901092538809946,-1.5535715317835699
