city_ascii,GEOprob,BIOprob,x,y,bio_x,bio_y
Vaduz,0.10610693343369612,0.11508365916897184,1059394.1980323463,5963924.685910614,-0.719769391362536,-0.3169418109673252
Klaipeda,0.10146481424255441,0.11208884661827107,2351056.513604858,7502955.365876916,-0.07599063940979844,0.6973941975812261
Vilnius,0.09715858324286487,0.11485498054713886,2818231.0206169887,7300661.381083198,-0.19516658625944538,0.963233850863205
Siauliai,0.10160071694830289,0.11495770955965558,2596527.122753106,7546202.349830315,-0.06924853139409004,0.8569828860185642
Kaunas,0.09938821776625621,0.1149846121620853,2658309.440143372,7352245.7089611525,-0.16256395972078685,0.8698810549467924
Panevezys,0.10148033546821046,0.11496954185929377,2712855.990632078,7506830.163816889,-0.09382175988736252,0.924642667817988
Diekirch,0.07474239842712226,0.1180853359040854,686473.9038748804,6426089.932192703,-0.48516990982848895,-0.4891200059700427
Grevenmacher,0.08278230353554632,0.11759877775750617,705019.7310410405,6394482.317900557,-0.500836733580805,-0.48170531959691765
Luxembourg,0.08691470239569367,0.11882010454266898,682388.478562767,6379298.722272802,-0.5066516024558627,-0.49790913036582296
Daugavpils,0.10157094768940954,0.1120306235760638,2951079.7009296827,7534564.044063807,-0.09388199118184293,1.0776247547062576
Ventspils,0.10365573531390568,0.114285504717328,2400115.013197456,7840231.952266772,0.07778804852433385,0.7730366203174599
Riga,0.1022989536592226,0.11494629046702493,2682799.728117893,7749905.9659611825,0.02055558089170395,0.9381653631680789
Liepaga,0.10183932700733661,0.11242775814223288,2338822.501566677,7660619.4466461865,-0.0021970197294116645,0.7107156994529333
Jelgava,0.10193633829717111,0.11498672708882406,2639696.8212827384,7689462.376160315,-0.005141763929992216,0.9031073349568874
Rezekne,0.10183370349947196,0.10091180809595063,3040870.002203536,7658602.2929882975,-0.04122019568327717,1.1504066112522704
Monaco,0.2596645638240154,0.12482428048367405,824532.3363566984,5425232.718554642,-0.9568910784974429,-0.535836078257989
Balti,0.11132399398508433,0.11474981517678978,3106403.786433538,6066870.822390789,-0.7830740859321854,0.9795832965578501
Cahul,0.10957831578733968,0.11487603848278963,3138586.251221872,5765602.394446149,-0.9245584730086907,0.9596464203774744
Chisinau,0.10550416668263182,0.1140221071729804,3212424.4694650513,5942890.237883396,-0.8463322921429532,1.0295200300331286
Tiraspol,0.10502745700570576,0.11164293454916584,3299509.707112627,5918129.129727772,-0.8625418833367546,1.0807984344655135
Dubasari,0.10688951616782545,0.11310285495668211,3246165.407124492,5985124.924754398,-0.8285729418910219,1.056287117411114
Podgorica,0.20834231012099255,0.11329385581222295,2144714.705470446,5231041.611723426,-1.118586107422432,0.26564557594972094
Skopje,0.1446571451382988,0.12320494742069188,2385966.305917628,5160979.444049783,-1.164171701492379,0.40750652564921674
Bitola,0.06228428309150444,0.11953171924454008,2375502.2737830617,5018110.616673192,-1.2298713688707767,0.3819301546939675
Tetovo,0.145841891728492,0.11883392267111502,2334380.853884027,5162357.659070327,-1.1607338198695887,0.3753624005395335
Maastricht,0.08514293876499565,0.11895936269899832,631960.7492334138,6595332.201458038,-0.403712204911002,-0.5007527217717165
Amsterdam,0.030361698052145177,0.12065545147866635,547313.4084342078,6863659.039714891,-0.2746609043218933,-0.518079757338815
The Hague,0.058028423333353576,0.13318353942302502,475334.22568727686,6814603.426035637,-0.2935095244825803,-0.5697180099967325
Haarlem,0.027749298382134004,0.12377749216686612,515409.2423728557,6869201.07560679,-0.270359453782957,-0.5373357156773741
Groningen,0.04169229065035046,0.11523015066095256,732482.2494197398,7023870.467125853,-0.21039525929784064,-0.38071064476809213
Middelburg,0.10754062368473592,0.17779096152425602,401863.36176371813,6710576.735641695,-0.337774650437197,-0.6296088461194023
Arnhem,0.06808212148702701,0.1163435649228153,659345.3439685586,6797955.991249009,-0.3112141540350213,-0.45661795600511645
Assen,0.028928610850034363,0.1152709557672438,729142.6646959418,6982997.920389787,-0.22917214046867596,-0.38824447017961816
's-Hertogenbosch,0.0972410547382825,0.11939039126545506,591852.3367005981,6743063.357513758,-0.3330135646930459,-0.5062218371464247
Zwolle,0.01833546353508037,0.1157284133467695,678714.9353665886,6895431.61657986,-0.2670525244677213,-0.43150341004458714
Utrecht,0.05580461399619526,0.11972194983936518,569955.792861562,6818281.337889219,-0.2969370042439232,-0.5099309193055619
Leeuwarden,0.04352782335564527,0.1157805421933397,643805.143053819,7029450.123692404,-0.20299630770267063,-0.4355400862070944
Rotterdam,0.07533373260063664,0.12944299328572886,498711.3187538657,6785673.333785048,-0.30819652986464474,-0.5589192307696884
Eindhoven,0.10849442484668584,0.11877803648046023,612257.1993630035,6697711.123236825,-0.35515646165212766,-0.49947181998397494
Vossavangen,0.04487986298956744,0.11476502296028258,717008.840199474,8541356.190229671,0.4943050777545781,-0.18839910171136331
Oslo,0.010956982566010033,0.010956982566010033,1196684.5260276902,8381215.3676753575,0.3940029688469946,0.09088624494345243
Lillehammer,0.07911103278629314,0.03666025207354868,1168854.653329373,8656495.30109446,0.5231968815750552,0.11009120461474153
Baerum,0.011179168201579473,0.06042758142144721,1263164.5259294342,8380504.745981934,0.39006667891958546,0.13245336220084347
Stavanger,0.11407801831437908,0.1150457953787582,632294.7077057943,8173905.558045134,0.3284650464271355,-0.29040299556710525
Leikanger,0.08150055331016975,0.1141525326431547,762538.5119339245,8668033.60122272,0.5505922374759211,-0.14300318942029167
Kristiansand,0.11113837337033801,0.11428261176037195,890555.9263461898,8002396.723285847,0.23490227160749422,-0.1513870797517789
Bergen,0.025559350643174772,0.11502999781106148,592720.6287287859,8487308.98087694,0.475979062521259,-0.273482883086275
Skien,0.10367392741284143,0.09478780535793356,1068667.111615425,8223740.701207093,0.32790614051588296,-0.01030286757648713
Arendal,0.1152357129899331,0.1115869979484802,975826.656293836,8065597.929270066,0.25959099846021916,-0.08953620643251115
Hamar,0.05972854197356132,0.06834176115455486,1232195.4435907442,8584609.14059896,0.4864172936831146,0.14021611879473395
Tonsberg,0.09889788213038878,0.0512165036002922,1160060.4135567036,8237667.527729335,0.3294075919564672,0.04882547286689487
Drammen,0.029212837305584417,0.05348544228124415,1134423.5348270126,8345878.403312952,0.38099028692729986,0.04716442599982673
Haugesund,0.08254833497950369,0.11505795760870886,587488.6126615001,8269951.931427885,0.3754454067706048,-0.3056963596960487
Alesund,0.10141009227260724,0.11393394221146078,711108.9071874304,8989639.802622322,0.7025541651046621,-0.13242074522939085
Sandnes,0.11636257098303705,0.11504831172423963,633407.9026137269,8147046.657701346,0.31594659271590997,-0.2932808477652544
Gjovik,0.05825121918034524,0.04078087496401186,1191118.551488027,8580044.128124397,0.48652839521640123,0.11386633735177698
Moss,0.07893798463029299,0.023830583868632807,1187689.9111715932,8275444.877846608,0.3454310381032877,0.07116927750910462
Lodz,0.08957730140764861,0.14480810604516653,2165319.9432162815,6759544.366055233,-0.410733043488559,0.4820334938157105
Lublin,0.10558552020317719,0.11482326670418866,2512781.4698293274,6665706.678845235,-0.4731086341746433,0.6872891181826741
Wroclaw,0.0998362871281853,0.11417357396315926,1895770.9282094496,6640845.487108363,-0.45116597177361095,0.2973111470283607
Bialystok,0.03745998760765614,0.11472451689895449,2579272.60168015,7010866.449434419,-0.31661921743741495,0.7749056438190531
Poznan,0.02569611327258067,0.1149843569545021,1881288.2624572443,6873834.51902556,-0.3423121143356309,0.3192507551604704
Zielona Gora,0.07212188847178107,0.104720008332512,1725452.1072957406,6791162.102031016,-0.3722039205518848,0.21058589322214138
Bydgoszcz,0.035682154836204134,0.12159929129085427,2004864.029186857,7005299.788313133,-0.2880383497175707,0.41419399055391937
Szczecin,0.053883765127605544,0.0938384165583747,1617472.2012262663,7061142.311739657,-0.24111989002277445,0.17885689299564822
Gdansk,0.09218653387367469,0.14349237125776645,2074995.3083866208,7238632.960098687,-0.18361535297885911,0.48920531496171415
Olsztyn,0.07412220021188991,0.11260158108981959,2279823.1714462424,7132369.312295495,-0.24401634575039388,0.6034210625402614
Katowice,0.06400763030789522,0.12313631825447176,2117296.714888062,6491495.262170752,-0.53245786435276,0.4162554509438552
Rzeszow,0.06805860382638798,0.12210195461745424,2449028.797452019,6458494.162864023,-0.5657620458158763,0.6197523361076707
Krakow,0.06837458925541885,0.14469240365311176,2221937.036233741,6456673.275328225,-0.5542864293517376,0.4771959739565097
Opole,0.07512478642580925,0.11642324176871327,1996103.185261427,6565761.886425996,-0.4914355046843353,0.350192245106586
Kielce,0.08742898983034862,0.2033181367512901,2299860.6797890305,6601929.60198324,-0.4911391852681226,0.5453657888933989
Gdynia,0.09503477802436369,0.1412839864157134,2062750.1643993584,7269336.430500093,-0.16870972684969354,0.48561878342480025
Grudziadz,0.057425931947009824,0.1381238454236724,2087240.45237388,7072358.036243138,-0.26140357497373534,0.47474450971070814
Inowroclaw,0.019522861946025344,0.12314066834535879,2031580.706977244,6942388.698952246,-0.3186680629490586,0.42256205559993143
Gliwice,0.06350431420356628,0.11978929688969867,2078334.8931104185,6503693.141553285,-0.524686317284706,0.3934626268909831
Bytom,0.06348480389540818,0.12213937780465371,2105051.5709008025,6507111.76723892,-0.5245500797287082,0.4106605353589794
Warsaw,0.039896554026600146,0.1193061528260401,2337709.306658744,6845455.502518217,-0.38023705668542274,0.6015030674811035
Elblag,0.08816006039803302,0.1791285807042533,2159898.6840146496,7206222.456153219,-0.20325462039101305,0.5380980979150758
Elk,0.0756203310453401,0.1141368878000052,2487990.6192296655,7138723.764149788,-0.2523624589629927,0.7347214378830329
Koszalin,0.08842896115162864,0.11466296835345281,1801516.7153547846,7208125.260900677,-0.18292906064702708,0.3137604305597632
Setubal,0.098191952438259,0.0996068432688616,-990743.4680601356,4654569.97589773,-1.2158678286564197,-1.776024910465194
Evora,0.09800764105949723,0.0659235721497994,-880091.8942116209,4658839.8949732,-1.219890377124452,-1.70611331986118
Santarem,0.09122469385554774,0.0884879142907778,-966475.8190672,4754814.562731371,-1.1706875916138015,-1.7474722421374393
Porto,0.06541710763614197,0.06541710763614196,-959574.010638018,5034491.86907103,-1.0413382962473174,-1.7059162368836485
Vila Real,0.07331336720560015,0.0976398437105502,-861278.9002675572,5055803.792245206,-1.036785826422033,-1.6414795604985333
Aveiro,0.06189065082466083,0.0720306485056202,-963024.9148526104,4959532.588588966,-1.0759197106664815,-1.7180574663576995
Guarda,0.06341032029098226,0.10298476496493941,-808402.1421407529,4944873.198639252,-1.0911078387087083,-1.6231098642037125
Viseu,0.06169016124198591,0.08755665511714857,-880537.172174793,4961880.127634763,-1.0793059765631634,-1.6660515060000622
Braganca,0.12111911676007028,0.11177624490601339,-751963.1603085644,5132262.02403087,-1.0072525378375574,-1.5627953681157782
Viana Do Castelo,0.10862860156148334,0.06774238885922873,-984520.7085247894,5115579.752987804,-1.0023736000158738,-1.7107553865524063
Braga,0.09437043389228017,0.07784228103262417,-937454.8278173959,5094551.935549667,-1.0146804313041278,-1.6840593528688244
Beja,0.10032340451184577,0.06985402145019376,-875305.15610751,4581403.7321533635,-1.2560675622128912,-1.7134219037889715
Castelo Branco,0.08019830197157167,0.09340896049994249,-833560.3470600322,4838515.205288517,-1.1390753645987846,-1.6530344461131175
Portalegre,0.09033466925566361,0.09115757837854004,-826324.5801584698,4763297.125604976,-1.1743565931510083,-1.6585129993087366
Coimbra,0.070777869584859,0.06752387021028296,-936942.7581597446,4895106.738753861,-1.1072175966050186,-1.7102886889114757
Leiria,0.08182397772821458,0.08786681243836288,-980168.1164347724,4828086.642903768,-1.1359587026818145,-1.746298922678566
Covilha,0.0687949719393219,0.09653468789904007,-834896.1809495508,4907196.471655306,-1.107146213491406,-1.644728704022588
Drobeta-Turnu Severin,0.1658015154172397,0.22880026179272542,2523156.446371261,5565946.89011197,-0.9837770448837233,0.5473903634616946
Braila,0.12582054986291488,0.1149740873958443,3113494.8379970687,5667608.648196123,-0.9686500036104393,0.9308771480949041
Oradea,0.10569459657709887,0.2208910702954925,2440123.2381885583,5950239.167201476,-0.8010246469390312,0.5465122479673745
Timisoara,0.11211287627891542,0.14487955185631585,2362578.080901964,5741780.642586727,-0.8935077279634407,0.4701661161215904
Resita,0.1256165824019249,0.17542793768424467,2436394.035246984,5668399.873191275,-0.9315488653538311,0.5066566476812251
Calarasi,0.2088338791817676,0.11508082767984476,3041905.2734679137,5497423.285195743,-1.0437038095669129,0.8633582113331029
Arad,0.10664486373333847,0.15514192585608128,2373331.5437125918,5807633.816672968,-0.8635462108435492,0.48567150698328243
Alexandria,0.24257543699568193,0.11722836397628467,2814902.5678422716,5450227.1626262935,-1.053279583357369,0.7148172855690476
Slobozia,0.17240057873217876,0.11506270654095413,3048150.296901416,5554078.914841605,-1.0177638303225143,0.8748138699052301
Baia Mare,0.11028198699510484,0.11812125714097543,2624813.405363678,6050393.559140931,-0.7645895040677844,0.6755865637102545
Tulcea,0.1298665343014788,0.1147033457512162,3205633.9805266606,5652951.951943522,-0.9804470139750951,0.9866678400099844
Ploiesti,0.14362907037962072,0.1153243205590467,2898369.922039069,5613165.8480390515,-0.9822314250352804,0.7888151195904691
Piatra-Neamt,0.10526844063618973,0.11506632282048511,2936942.1255989363,5932286.038368704,-0.8363053801254883,0.8554689975842087
Suceava,0.11006187251752046,0.1150532806502734,2923171.904587808,6046791.284760731,-0.7824469355768842,0.8620824626472032
Botosani,0.11120952108719342,0.11502691335831651,2967744.2287014364,6065099.163857643,-0.7763732682868087,0.8924522199431455
Constanta,0.20922542300214692,0.1149106519072528,3184850.631595557,5496864.24648953,-1.0517181965911502,0.9528648516910501
Buzau,0.13190946968832742,0.11509816019758286,2984085.9299498894,5646192.948578212,-0.9715626195262415,0.8469282485368694
Galati,0.11984039716022282,0.11495073711524124,3122055.3068390717,5693581.443166453,-0.9570673719363714,0.9396993373720566
Vaslui,0.1048175608989288,0.11493765355435182,3087256.8340170938,5882423.359279926,-0.8675882551029042,0.9430305414095805
Sfintu-Gheorghe,0.11018715480241739,0.11526225298615235,2871263.6260309056,5759221.301380514,-0.9130154241927992,0.7912711059665085
Bacau,0.10486086039808909,0.11503999528543576,2996676.164358607,5873527.6936504925,-0.8668001720630163,0.8850812122690357
Focsani,0.11339478427906859,0.11504470603706986,3026387.3364513307,5731861.750010906,-0.9341214908022257,0.8848419844155204
Bucharest,0.18523142419745112,0.11540356517131459,2905427.57775536,5532758.638899501,-1.0199098832989995,0.7825341682015301
Brasov,0.11451012358738229,0.11540991885177213,2850580.464641516,5724039.674281427,-0.9282117401152652,0.7736259782539876
Pitesti,0.14962522869125688,0.11745696718317053,2769161.389075316,5598927.160422473,-0.9818259723773699,0.7059471984513572
Tirgu Mures,0.104887107603948,0.11628663352304924,2733761.791003054,5870256.874113457,-0.8540536307929525,0.7198825041569359
Deva,0.10994800367855863,0.15003294751950152,2551075.374662213,5761667.644910443,-0.8945098423257236,0.590941050292904
Cluj-Napoca,0.10490470435041686,0.12095239359718224,2626961.8715359857,5907603.70140925,-0.8309367972102097,0.6579247112142848
Rimnicu Vilcea,0.13425949889785577,0.11984898577426797,2714303.1440123883,5638855.390228304,-0.9603297425596615,0.6768838743914412
Sibiu,0.11139220903258128,0.1196853835409087,2686929.6812263243,5747893.7575963475,-0.9082690157575244,0.6742447003671694
Targu Jiu,0.1377793670061162,0.14669642089009668,2590849.8287226483,5628608.599401757,-0.9583849466802601,0.5981540388055757
Alba Lulia,0.10749195622502324,0.12507722298375493,2624913.592905392,5792697.121938832,-0.8841232066779487,0.6413446761918067
Giurgiu,0.23945442365092376,0.11585118819976459,2876495.642098188,5454615.904643764,-1.0545854910498096,0.7540006918533178
Zalau,0.106337793085428,0.12651409508108513,2567361.416165268,5970685.453068063,-0.798443911029111,0.6289717446281
Craiova,0.19605933303049075,0.13460727589662064,2652287.0556914555,5516077.49903963,-1.0139137512089977,0.6216753532511472
Targoviste,0.14419256459753768,0.1158512427021329,2834082.916105953,5611766.13040731,-0.9793929559343906,0.7483413793759137
Bistrita,0.1061301188524187,0.1158762504850842,2728774.6778155155,5964628.346472435,-0.8100104092754234,0.729319953452916
Satu Mare,0.11167916085029887,0.12497381755993096,2547546.546804066,6072320.542131858,-0.7502271430629426,0.6300838653012999
Slatina,0.18507450714807464,0.12254975367030858,2712967.310122869,5533008.075154225,-1.0093528123965996,0.6619562881659444
Miercurea Cuic,0.10545951958414553,0.11528506370950943,2841318.683007515,5838389.656998705,-0.8746699043874564,0.7830441253126557
Iasi,0.10629911544572399,0.11493461621531711,3069623.8266754393,5969588.31287449,-0.8262015928227928,0.9435837209709899
Belgrade,0.15229170827567337,0.12131207929047733,2278487.337556724,5593008.833332991,-0.957950992886774,0.397663517651238
Nis,0.28850217109033566,0.14415118958719175,2437896.848372692,5362398.078933167,-1.0735643112091822,0.4668633259230046
Subotica,0.10756376351868391,0.11805133159372967,2190767.578811624,5791573.873988144,-0.8610908731757854,0.36912433396060784
Zrenjanin,0.12248338786968328,0.12233796737561355,2270861.9524373855,5681322.539043898,-0.916574435309502,0.40464120073712095
Kragujevac,0.2294559144119187,0.1240155193339922,2328803.7473952826,5468537.751217268,-1.0184146344845533,0.4126261774426112
Novi Sad,0.12757362614537504,0.11768892558446155,2209680.760297401,5661028.358862188,-0.9226683497956025,0.36359857337522516
Cacak,0.24387573665084614,0.11817068192892352,2263136.379776331,5448388.840330583,-1.0241977837422906,0.36879148997791233
Kolpino,0.03315668899282891,0.1148525505008186,3411942.3928138358,8339869.13991309,0.2546428042440385,1.4736409889075182
Pskov,0.10693492910698969,0.0881389676558819,3153670.042224362,7931690.30840841,0.07932756351260606,1.257449797262046
St. Petersburg,0.009832723914883719,0.11474745593058346,3374761.6828888827,8386169.415870248,0.27813555976187665,1.456504080171669
Velikiy Novgorod,0.11563883566270955,0.11489650621611476,3487639.6465532593,8073093.6119444575,0.12679661452907487,1.4855656911505384
Gatchina,0.05814920583906183,0.11449476393213959,3354423.6119209514,8304772.97972987,0.2414845405194268,1.4329230763714733
Luga,0.11700751343583268,0.11336448604178491,3321662.285780489,8123608.175682003,0.15923158731877418,1.388275448660127
Vyborg,0.05084297975384132,0.1127545022752829,3200980.8258115025,8558148.92263425,0.36733341091867144,1.3704930105536945
Svetogorsk,0.07747949378629773,0.11374983467034433,3219103.638912646,8649120.37118389,0.4085458250707652,1.3939603858161975
Staraya Russa,0.10883019813005704,0.11483297352587973,3490355.8421286168,7966225.256703648,0.07708012083765148,1.4730415111752082
Slantsy,0.10880004331753282,0.09679953991470025,3125261.308173917,8204547.12435166,0.207428957373601,1.2759694292883248
Velikiye Luki,0.10174987203892215,0.11218529843771147,3397470.859010708,7622384.14077795,-0.07736573765504184,1.3690600151663626
Kaliningrad,0.09733796524759467,0.1087726130090534,2281748.998636967,7303858.579707456,-0.16457834095836388,0.6274566741480188
Chernyakhovsk,0.09655746731563414,0.1134639377719631,2427978.281743012,7290692.978402868,-0.17861823517907416,0.7173430944063472
Sovetsk,0.10003096249518195,0.11379013589179922,2435893.097538413,7375813.517077243,-0.13956586433503038,0.7336344415070264
Vasteraas,0.04863457271113928,0.12958865985009277,1841224.377720744,8317818.1893806,0.32962958565825495,0.48636729976215776
Orebro,0.09751784782735128,0.11669034443189376,1694282.6498736232,8241218.695855432,0.3020720640481347,0.38408483192206866
Karlstad,0.0885757281613108,0.11204222333763898,1502801.9937601152,8260157.896862943,0.3212449299115727,0.26660884569526866
Nykoping,0.11694304354722325,0.13426776936278365,1894101.135847551,8129552.127771088,0.2394367845244405,0.4944420615324079
Goteborg,0.10614929882574115,0.041432433923545356,1335833.889519282,7914982.684813881,0.1701994378166516,0.11602331126578402
Halmstad,0.10195217650984481,0.0724022012126327,1431078.8458420068,7693331.19951603,0.06222279149847454,0.1462051105184552
Linkoping,0.11455038313408336,0.11710827109827529,1739912.5091497872,8053943.435685166,0.21273198940923388,0.38774999989740566
Jonkoping,0.10634970785083618,0.11212967242155,1576840.5870867209,7919427.473955497,0.15918596055110434,0.2676491868820148
Kalmar,0.10194812254110266,0.11782172135815908,1821921.57801719,7692358.745310158,0.040567694960380596,0.39100915213005694
Gavle,0.04788704391388615,0.12946635854761684,1910977.170651809,8549759.100203685,0.433427338652415,0.5609560957828723
Malmo,0.1013296306472046,0.05761807469262314,1450860.3193559726,7475905.776754681,-0.03969961246911424,0.1296579966652145
Vaxjo,0.1021924506141637,0.11346032792685784,1649387.4992366962,7736385.01841034,0.07034889625068619,0.2887462183609051
Stockholm,0.09057356619124496,0.09057356619124497,2014582.2207331103,8256597.65088076,0.2918284153373878,0.5868575616205325
Karlskrona,0.10170579081785311,0.11416924375129521,1702742.9311739125,7598933.808367757,0.003699761799667467,0.3038854530129731
Falun,0.04348758519137134,0.12154048403102877,1741816.0724423502,8537498.626245383,0.43691786390827225,0.45331402424505196
Uppsala,0.016142584708950358,0.11806008386386589,1963675.8175933454,8368656.343869781,0.34656678212780756,0.5698728213849371
Helsingborg,0.10164901718841832,0.04523406591724808,1413757.533074574,7568475.3530532,0.005250171862794861,0.11872931256517649
Bollnas,0.08819000739320693,0.13463577434429713,1821921.57801719,8707099.381687079,0.5112385015353618,0.5260919114461626
Trollhattan,0.11257202100512427,0.07634897625482638,1369229.736757265,8023637.455975416,0.21878537702880863,0.15141601064579047
Sundsvall,0.10119713471028989,0.09199275340980102,1927686.22621988,8954642.413402969,0.6203193236650191,0.6253255945589551
Norrkoping,0.11652542643591951,0.12065411296167741,1801004.6456971362,8093446.4682299765,0.227740446570166,0.431293909484078
Vannersborg,0.11392129663341567,0.07982242117839748,1372569.3214810628,8043962.22433921,0.22803150810143968,0.15621450596326136
