city_ascii,GEOprob,BIOprob,x,y,bio_x,bio_y
Vaduz,0.09745461350492735,0.11090514685011367,1059394.1980323463,5963924.685910614,-0.3989363111766826,0.02757453144585309
Klaipeda,0.12623362597699658,0.12366463897432178,2351056.513604858,7502955.365876916,-1.4607810848001508,0.865545360164182
Vilnius,0.13182835331386744,0.12364779102295248,2818231.0206169887,7300661.381083198,-1.0587555402611226,0.5549784899146735
Siauliai,0.12615922218392528,0.14734941228757995,2596527.122753106,7546202.349830315,-1.4044295409708178,0.8232741894299398
Kaunas,0.1284225148161525,0.6795122888726579,2658309.440143372,7352245.7089611525,-1.1780795936130186,0.6470080366336379
Panevezys,0.12622402980792805,0.24188309354159918,2712855.990632078,7506830.163816889,-1.3157165419521037,0.754835662302737
Diekirch,0.08527605514548232,0.04214090267471322,686473.9038748804,6426089.932192703,-1.0312894486423838,0.5186056198025515
Grevenmacher,0.08498148927591982,0.04378082010999814,705019.7310410405,6394482.317900557,-0.9909097725185125,0.48721333927716426
Luxembourg,0.08320795152512805,0.048027024382008496,682388.478562767,6379298.722272802,-0.9845082992260759,0.482057545133034
Daugavpils,0.12617335164175347,0.4425355911248645,2951079.7009296827,7534564.044063807,-1.246283176715231,0.7023014763805273
Ventspils,0.12601426592784076,0.11816069620669634,2400115.013197456,7840231.952266772,-1.789904827072382,1.1228177065396148
Riga,0.1260914450193069,0.06721495349604552,2682799.728117893,7749905.9659611825,-1.5798696391645946,0.9608348666359632
Liepaga,0.12611021464612684,0.05464296026545943,2338822.501566677,7660619.4466461865,-1.6291244327877799,0.996876020027929
Jelgava,0.12610577834933492,0.0938181922852887,2639696.8212827384,7689462.376160315,-1.535024865473697,0.925525120746256
Rezekne,0.12611053010941242,0.20654644044655857,3040870.002203536,7658602.2929882975,-1.337759507606214,0.7743409183995409
Monaco,0.05227052198784434,0.02741273589178887,824532.3363566984,5425232.718554642,0.06224624584584859,-0.334090270794956
Balti,0.045850967522222945,0.12439662334011745,3106403.786433538,6066870.822390789,0.3378974940636157,-0.5332929057682074
Cahul,0.12366283308734541,0.12435570062556735,3138586.251221872,5765602.394446149,0.6632003619616329,-0.7870134650574334
Chisinau,0.10384995097285357,0.1254790354942126,3212424.4694650513,5942890.237883396,0.5099971672711767,-0.6668990049175516
Tiraspol,0.1098228683777739,0.12536691724332066,3299509.707112627,5918129.129727772,0.5715268638495061,-0.7143218627411034
Dubasari,0.0896268275530964,0.12547378748876564,3246165.407124492,5985124.924754398,0.4801549143127053,-0.643366472796032
Podgorica,0.01951937004730333,0.10898490428396918,2144714.705470446,5231041.611723426,0.8073573407868047,-0.9065102955778723
Skopje,0.03634388945635471,0.024288877346291145,2385966.305917628,5160979.444049783,0.9793317110534643,-1.039071370630881
Bitola,0.02469523759229188,0.11200570749354792,2375502.2737830617,5018110.616673192,1.1229980750980575,-1.1512970578874935
Tetovo,0.036247347302508975,0.009011458895745828,2334380.853884027,5162357.659070327,0.956648646747774,-1.0217252789417235
Maastricht,0.03530623732457518,0.5165903709700764,631960.7492334138,6595332.201458038,-1.2290459756739525,0.6726013849249446
Amsterdam,0.6199029769300811,0.09026791493732633,547313.4084342078,6863659.039714891,-1.5418471401761513,0.916195071788807
The Hague,0.4181910500694626,0.10068852839179243,475334.22568727686,6814603.426035637,-1.5206959376531746,0.899179327878679
Haarlem,0.6394807108020345,0.07946056162569597,515409.2423728557,6869201.07560679,-1.5607333408751183,0.9307150167794331
Groningen,0.3831124012075729,0.05612686703471023,732482.2494197398,7023870.467125853,-1.6314899400897982,0.9874712437927462
Middelburg,0.04743766478066288,0.13004345722163796,401863.36176371813,6710576.735641695,-1.4432224540064889,0.8381854424266457
Arnhem,0.34719114140240614,0.13625341545370878,659345.3439685586,6797955.991249009,-1.4276321813745367,0.827818476263201
Assen,0.49552381553464986,0.06009800825992325,729142.6646959418,6982997.920389787,-1.5905317934228647,0.955474089810008
's-Hertogenbosch,0.13685399428546735,0.15064751887524908,591852.3367005981,6743063.357513758,-1.3985867093223856,0.8046715350838793
Zwolle,0.7056712412708858,0.10072633220521318,678714.9353665886,6895431.61657986,-1.5206125196716975,0.9005387612569757
Utrecht,0.43400379016375323,0.1148701530937315,569955.792861562,6818281.337889219,-1.485516969583375,0.8723798152336713
Leeuwarden,0.3694201094085222,0.08232267678745407,643805.143053819,7029450.123692404,-1.6738081512545522,1.0198856062898916
Rotterdam,0.29614584255734777,0.11647080880762309,498711.3187538657,6785673.333785048,-1.4810988334188506,0.8684317979538161
Eindhoven,0.03185179340797456,0.1993589943503646,612257.1993630035,6697711.123236825,-1.3432048781972066,0.7615809223343382
Vossavangen,0.12533698102091043,0.12555833133338526,717008.840199474,8541356.190229671,-3.2096188980523754,2.2193209535831215
Oslo,0.12061912414062843,0.12555495782706474,1196684.5260276902,8381215.3676753575,-2.846102917138004,1.938903934980992
Lillehammer,0.1259831878736646,0.12555832908045403,1168854.653329373,8656495.30109446,-3.1426944376314454,2.1702416187092295
Baerum,0.1205810733481286,0.12555204719990673,1263164.5259294342,8380504.745981934,-2.8179740862550284,1.917410961068713
Stavanger,0.11813609171102418,0.12555606937906916,632294.7077057943,8173905.558045134,-2.8639337917512195,1.9488703201208883
Leikanger,0.1260057682662496,0.12555833179652093,762538.5119339245,8668033.60122272,-3.3220661721691505,2.3074212347000698
Kristiansand,0.12492272943569865,0.12482028622394872,890555.9263461898,8002396.723285847,-2.5798761353223414,1.7289311573939248
Bergen,0.12448519467824141,0.12555833126884736,592720.6287287859,8487308.98087694,-3.2048513021453564,2.2147285945704667
Skien,0.11497871292600224,0.12552200371058905,1068667.111615425,8223740.701207093,-2.7357457506444556,1.8518575109685127
Arendal,0.12344133100451861,0.12513159501531104,975826.656293836,8065597.929270066,-2.6102020724662287,1.7532022086280454
Hamar,0.1257045719538895,0.12555829789179648,1232195.4435907442,8584609.14059896,-3.042138225519051,2.092186601459983
Tonsberg,0.11424388464716696,0.12549979737452918,1160060.4135567036,8237667.527729335,-2.712512405972407,1.8343606745997603
Drammen,0.11855319733997376,0.12555402844431335,1134423.5348270126,8345878.403312952,-2.835156623886374,1.9299226697353955
Haugesund,0.11399845920491657,0.1255581857757938,587488.6126615001,8269951.931427885,-2.9818770799232217,2.040628290885828
Alesund,0.12610929469489007,0.12555833182116108,711108.9071874304,8989639.802622322,-3.6763648224525367,2.583642385342018
Sandnes,0.11977942379992976,0.12555407577079383,633407.9026137269,8147046.657701346,-2.835655691151305,1.926802966477264
Gjovik,0.12567512237478756,0.12555830668504858,1191118.551488027,8580044.128124397,-3.0543355172676216,2.101420635630337
Moss,0.1142399864910981,0.1255252500735573,1187689.9111715932,8275444.877846608,-2.7402561137990267,1.8562121817036434
Lodz,0.19434988443969625,0.12257672823803525,2165319.9432162815,6759544.366055233,-0.7673165829833657,0.3228949679916093
Lublin,0.018091914553483784,0.1241563141054636,2512781.4698293274,6665706.678845235,-0.526953105671697,0.13769022866523883
Wroclaw,0.020137987874855427,0.12316715772421194,1895770.9282094496,6640845.487108363,-0.7554393659186394,0.31173506050440736
Bialystok,0.41673618322770545,0.11129431067775997,2579272.60168015,7010866.449434419,-0.8570589055094251,0.39585131768567994
Poznan,0.6548434289285835,0.03679898385417458,1881288.2624572443,6873834.51902556,-1.0027279422508206,0.5046781482852731
Zielona Gora,0.3187654391325825,0.05021211110320349,1725452.1072957406,6791162.102031016,-0.9813106535925424,0.48686732059604676
Bydgoszcz,0.4318114726618743,0.23205038161607927,2004864.029186857,7005299.788313133,-1.0879757396250618,0.5720919641017428
Szczecin,0.300653508904285,0.262301067155536,1617472.2012262663,7061142.311739657,-1.3054383990702503,0.7391396136157757
Gdansk,0.14191876960503444,0.2725426067441664,2074995.3083866208,7238632.960098687,-1.300755952834053,0.7386889464091553
Olsztyn,0.19974311408324272,0.3103908272599953,2279823.1714462424,7132369.312295495,-1.1062937285673442,0.5883177208813439
Katowice,0.07223130612307543,0.12359781516275757,2117296.714888062,6491495.262170752,-0.509469419039088,0.1212715599487959
Rzeszow,0.08095926764302591,0.08707789390260776,2449028.797452019,6458494.162864023,-0.33859938334170714,-0.00979366358845457
Krakow,0.08131996478470249,0.11704741580742804,2221937.036233741,6456673.275328225,-0.4302855559205332,0.06019003189368011
