city_ascii,GEOprob,BIOprob,x,y,bio_x,bio_y
Vaduz,0.1405487772505637,0.11028599312850793,1059394.1980323463,5963924.685910614,-0.6528258606290376,-0.7824290822992657
Klaipeda,0.11366143348580779,0.11014635840028207,2351056.513604858,7502955.365876916,-0.3059375300513849,0.9575244725234704
Vilnius,0.1131515096127323,0.10450652831729497,2818231.0206169887,7300661.381083198,-0.26165445410882504,1.1218359598562646
Siauliai,0.11371642897860418,0.10265133154420007,2596527.122753106,7546202.349830315,-0.2666738049476278,1.1354830707873749
Kaunas,0.11330029077497489,0.10590908659682008,2658309.440143372,7352245.7089611525,-0.2787027738498178,1.0547664785821933
Panevezys,0.11371394981632017,0.10599368690210617,2712855.990632078,7506830.163816889,-0.25447044896060445,1.183137246208732
Diekirch,0.3041202978068975,0.11028601948577002,686473.9038748804,6426089.932192703,-0.6560113747541118,-0.7293597644287084
Grevenmacher,0.35323616986955414,0.11028601381515217,705019.7310410405,6394482.317900557,-0.6567753844684378,-0.7372826224507962
Luxembourg,0.3852858040255116,0.11028596158931935,682388.478562767,6379298.722272802,-0.661592963250262,-0.7605496573363473
Daugavpils,0.11373859396648753,0.11028386391698208,2951079.7009296827,7534564.044063807,-0.2178887019357425,1.3471194224551812
Ventspils,0.11163592660792769,0.09356971775170328,2400115.013197456,7840231.952266772,-0.26293762326457726,1.1944449085972053
Riga,0.11332822224046096,0.11025042505721182,2682799.728117893,7749905.9659611825,-0.2327105790040982,1.3135249829356486
Liepaga,0.11359843199190182,0.10921143521898485,2338822.501566677,7660619.4466461865,-0.29079902331726637,1.0465769774263949
Jelgava,0.11357671637378712,0.10932839300645367,2639696.8212827384,7689462.376160315,-0.24525817629853663,1.2498955511627834
Rezekne,0.11370315923656062,0.11028603286815583,3040870.002203536,7658602.2929882975,-0.19195064969236397,1.478520666063698
Monaco,0.11543046443311526,0.11306206368792845,824532.3363566984,5425232.718554642,-0.7435887608546933,-1.2574022103323488
Balti,0.10012609983092663,0.11027425365060417,3106403.786433538,6066870.822390789,-0.352965714472524,0.5436987023665827
Cahul,0.11376360823796224,0.11028477763117998,3138586.251221872,5765602.394446149,-0.38065023851932756,0.378968115277484
Chisinau,0.10955726794897036,0.1102788631499521,3212424.4694650513,5942890.237883396,-0.35126720722975935,0.5331527123371487
Tiraspol,0.11113844979537171,0.11028035601860339,3299509.707112627,5918129.129727772,-0.3416274459519748,0.5717151328401604
Dubasari,0.1082258303037848,0.11027866843361792,3246165.407124492,5985124.924754398,-0.34198840115274076,0.5798489517203205
Podgorica,0.189852025265678,0.11028603727903459,2144714.705470446,5231041.611723426,-0.5780731705264233,-0.5618004187361905
Skopje,0.18112047601439354,0.11028703008421145,2385966.305917628,5160979.444049783,-0.5515250927666142,-0.45586984570620714
Bitola,0.13677223880186226,0.11028604495720026,2375502.2737830617,5018110.616673192,-0.5682838625027804,-0.549862482186116
Tetovo,0.17992796995061988,0.11028621076667482,2334380.853884027,5162357.659070327,-0.5586567618474145,-0.48685483123370243
Maastricht,0.10488533753302288,0.11028603462936777,631960.7492334138,6595332.201458038,-0.6456002891872767,-0.6593004870085908
Amsterdam,0.04175711216306446,0.11028603528352209,547313.4084342078,6863659.039714891,-0.6288426060940786,-0.5471253401317702
The Hague,0.03445965793800837,0.1102860350793569,475334.22568727686,6814603.426035637,-0.644246726437,-0.6215946631285112
Haarlem,0.043481561807757176,0.11028603527492087,515409.2423728557,6869201.07560679,-0.6327517083731152,-0.5634153319749284
Groningen,0.07614445885284246,0.11028632905975362,732482.2494197398,7023870.467125853,-0.5855766020560655,-0.3347099272109908
Middelburg,0.02747294102517906,0.11028597779956742,401863.36176371813,6710576.735641695,-0.6657414125335317,-0.7306653034193911
Arnhem,0.034289729458938954,0.11028603531026782,659345.3439685586,6797955.991249009,-0.6200621065844828,-0.5182554566005368
Assen,0.06474108180157699,0.11028611240962374,729142.6646959418,6982997.920389787,-0.5904198466073476,-0.3618132395143796
's-Hertogenbosch,0.03251492523188549,0.11028603525246915,591852.3367005981,6743063.357513758,-0.6354575612548091,-0.5935330618959309
Zwolle,0.04272734458996567,0.11028603627357465,678714.9353665886,6895431.61657986,-0.6069022600795081,-0.44658041110011926
Utrecht,0.03522559351778626,0.11028603527861695,569955.792861562,6818281.337889219,-0.6305015027621755,-0.5609574941049384
Leeuwarden,0.08076703975166254,0.11028605166747743,643805.143053819,7029450.123692404,-0.5974927657717674,-0.3860070907449096
Rotterdam,0.030866342763562846,0.11028603506667292,498711.3187538657,6785673.333785048,-0.6440426025960114,-0.6248959935352509
Eindhoven,0.042251520619189055,0.11028603522327055,612257.1993630035,6697711.123236825,-0.637429464762183,-0.6087302147046092
Vossavangen,0.07630108021608589,0.11028516302235242,717008.840199474,8541356.190229671,-0.4254394723821231,0.5855098957654938
Oslo,0.002231540102398531,0.002231540102398531,1196684.5260276902,8381215.3676753575,-0.3748833992834444,0.7833622479169913
Lillehammer,0.09570267573749992,0.11021088169292415,1168854.653329373,8656495.30109446,-0.3493645972705095,0.9348552701435002
Baerum,0.0002126258214238952,0.09909833702405145,1263164.5259294342,8380504.745981934,-0.36557858803332177,0.8239465513002528
Stavanger,0.08422619590013937,0.11027000775590408,632294.7077057943,8173905.558045134,-0.4766982752395128,0.30810139367603107
Leikanger,0.10106883715088452,0.11010117741211231,762538.5119339245,8668033.60122272,-0.40546462266693717,0.691218324739503
Kristiansand,0.10504839207111032,0.11028566327209309,890555.9263461898,8002396.723285847,-0.45860143549903354,0.36237067079457486
Bergen,0.0679587573058669,0.11028602756310989,592720.6287287859,8487308.98087694,-0.44875872193954736,0.4757063247777289
Skien,0.0440354638977163,0.11027417969464381,1068667.111615425,8223740.701207093,-0.40979216801282026,0.6078874120153062
Arendal,0.09501110710060108,0.11028602802026713,975826.656293836,8065597.929270066,-0.43980867035587234,0.4537082265122079
Hamar,0.07784132920051143,0.1102131631583879,1232195.4435907442,8584609.14059896,-0.34811616927220834,0.9298931787165294
Tonsberg,0.0332182477713634,0.10986772918633043,1160060.4135567036,8237667.527729335,-0.3954061833793212,0.6728122019566278
Drammen,0.006012328568207061,0.1058842835967147,1134423.5348270126,8345878.403312952,-0.38744877069004535,0.7232947252278485
Haugesund,0.06395204608854119,0.11028179506475397,587488.6126615001,8269951.931427885,-0.47274697952466227,0.33930284478422124
Alesund,0.1136093862142579,0.10013471994662589,711108.9071874304,8989639.802622322,-0.3783205478245517,0.8565339840769273
Sandnes,0.08980253216582655,0.11025159411302775,633407.9026137269,8147046.657701346,-0.47941420489000985,0.29233174575074106
Gjovik,0.07662223062865176,0.10994369497743665,1191118.551488027,8580044.128124397,-0.3544007299530123,0.9017507883257485
Moss,0.018558839028153373,0.10693380147068667,1187689.9111715932,8275444.877846608,-0.38746653401115916,0.7130065196628559
Lodz,0.07372192302488202,0.11028600630384976,2165319.9432162815,6759544.366055233,-0.41166661827181583,0.38743092929593814
Lublin,0.07711837451690667,0.11013310468579282,2512781.4698293274,6665706.678845235,-0.37267471771912386,0.5443281721613022
Wroclaw,0.08840264941864936,0.1101188323431728,1895770.9282094496,6640845.487108363,-0.46239883149267047,0.14838583204691247
Bialystok,0.09541346275088425,0.1101421881784521,2579272.60168015,7010866.449434419,-0.3263716976783042,0.7968349935413546
Poznan,0.03604492520969102,0.11028577603832948,1881288.2624572443,6873834.51902556,-0.43952036001055483,0.2822026502696744
Zielona Gora,0.04846671485419248,0.10962872136095485,1725452.1072957406,6791162.102031016,-0.47035320582220486,0.1353945298431949
Bydgoszcz,0.06604434938415164,0.11028585823970508,2004864.029186857,7005299.788313133,-0.40802048207175123,0.4390008641298664
Szczecin,0.07065991550173881,0.11027760505501791,1617472.2012262663,7061142.311739657,-0.45671106602953127,0.2341859671562272
Gdansk,0.10815119129433955,0.10892310527426267,2074995.3083866208,7238632.960098687,-0.37316553991602697,0.6252373057853644
Olsztyn,0.10108591831881111,0.109579872541191,2279823.1714462424,7132369.312295495,-0.35562947867233574,0.6865128504987297
Katowice,0.08973234413852038,0.11027894894806498,2117296.714888062,6491495.262170752,-0.4471154005001098,0.19356513028154332
Rzeszow,0.0703602439321089,0.11028597374556587,2449028.797452019,6458494.162864023,-0.4038355487178862,0.37803166973226343
Krakow,0.08529017839804617,0.11028548832904594,2221937.036233741,6456673.275328225,-0.4360746655669403,0.23679511952497734
Opole,0.09291978809023838,0.11023613343740714,1996103.185261427,6565761.886425996,-0.45627265128895034,0.16428925471669142
Kielce,0.08034965798478243,0.11028600849235956,2299860.6797890305,6601929.60198324,-0.40954145809699294,0.3738747288565696
Gdynia,0.10980992242394648,0.10878821060370908,2062750.1643993584,7269336.430500093,-0.3716091701301094,0.6364938603692831
Grudziadz,0.08607200220172204,0.11026361004882616,2087240.45237388,7072358.036243138,-0.3892235499032499,0.5309157845843995
Inowroclaw,0.05178228674043968,0.11028596744003824,2031580.706977244,6942388.698952246,-0.41097995533379494,0.4169398935955382
Gliwice,0.09133876733712105,0.11026721534179064,2078334.8931104185,6503693.141553285,-0.4513084366090073,0.17699845289618032
Bytom,0.08963646215912467,0.110279263576338,2105051.5709008025,6507111.76723892,-0.4471728346339544,0.1955778636934653
Warsaw,0.07074946156191622,0.11014508099617251,2337709.306658744,6845455.502518217,-0.3781515558739652,0.5464371349330808
Elblag,0.10653210634880375,0.10922059028100044,2159898.6840146496,7206222.456153219,-0.3646518867977606,0.6577666629573686
Elk,0.10559669046434825,0.11021300209904525,2487990.6192296655,7138723.764149788,-0.3255757829670842,0.8188503861790224
Koszalin,0.1035549297437066,0.11028596567942059,1801516.7153547846,7208125.260900677,-0.4150187204655922,0.43780252279343834
Setubal,0.10749646189298821,0.11028560984860107,-990743.4680601356,4654569.97589773,-1.082173027823373,-2.8496564961341986
Evora,0.10719586460345441,0.1102642099819037,-880091.8942116209,4658839.8949732,-1.066102525468632,-2.7787657166100432
Santarem,0.09437400479671751,0.11026636734937814,-966475.8190672,4754814.562731371,-1.0680258419728665,-2.77326268580733
Porto,0.0032407220957585505,0.0032407220957585505,-959574.010638018,5034491.86907103,-1.0371357677661297,-2.5976451288172564
Vila Real,0.007160877465991812,0.10836795717936329,-861278.9002675572,5055803.792245206,-1.0209859265322088,-2.523936895790548
Aveiro,0.023544789003575393,0.10018533180865086,-963024.9148526104,4959532.588588966,-1.0456408680669278,-2.6457021543500305
Guarda,0.03151204373865355,0.10171601860931787,-808402.1421407529,4944873.198639252,-1.0253905083818005,-2.5592781591809564
Viseu,0.023202638488440577,0.04851525946724592,-880537.172174793,4961880.127634763,-1.0337501232680837,-2.5933669594162057
Braganca,0.036498792259521046,0.11028151574644844,-751963.1603085644,5132262.02403087,-0.9973821698153432,-2.4096403980963754
Viana Do Castelo,0.026072015553374843,0.08792954876667489,-984520.7085247894,5115579.752987804,-1.0319822241643353,-2.5633550723786427
Braga,0.017860461266611786,0.1019931053131853,-937454.8278173959,5094551.935549667,-1.0275901547912025,-2.547198127525082
Beja,0.11136540587316272,0.11028349572837506,-875305.15610751,4581403.7321533635,-1.0737101770553246,-2.823257517588327
Castelo Branco,0.07272139856721105,0.08692423229521823,-833560.3470600322,4838515.205288517,-1.0403172896563826,-2.639967162559245
Portalegre,0.09303258537806468,0.10712568078692516,-826324.5801584698,4763297.125604976,-1.047342103817447,-2.6815888308704023
Coimbra,0.050576285789202695,0.10667540915405786,-936942.7581597446,4895106.738753861,-1.0488519060236794,-2.6690827366387877
Leiria,0.07549345478251672,0.11017620967965071,-980168.1164347724,4828086.642903768,-1.0621202497266355,-2.7368171654006006
Covilha,0.04658556474859505,0.048020254540094315,-834896.1809495508,4907196.471655306,-1.0331591727066374,-2.5987102204037718
Drobeta-Turnu Severin,0.12728887182009035,0.1098359538197572,2523156.446371261,5565946.89011197,-0.48884848121031754,-0.12309578349649719
Braila,0.11668158137924366,0.11028600654751344,3113494.8379970687,5667608.648196123,-0.3946728985086849,0.303445118920564
Oradea,0.09346855504914862,0.10915611282260752,2440123.2381885583,5950239.167201476,-0.45945858377293813,0.06112763338161997
Timisoara,0.11266665119909125,0.10941490519385778,2362578.080901964,5741780.642586727,-0.49269891884819894,-0.11444258497309079
Resita,0.11690521685350502,0.10954824614008835,2436394.035246984,5668399.873191275,-0.49013224050026016,-0.11385700760194695
Calarasi,0.13576390276202352,0.11028517326948316,3041905.2734679137,5497423.285195743,-0.42297889859979376,0.15499970082113723
Arad,0.1087845419424636,0.10899850710141554,2373331.5437125918,5807633.816672968,-0.48413742379696734,-0.06745904531102731
Alexandria,0.15218270072577317,0.11005038160642228,2814902.5678422716,5450227.1626262935,-0.46005909127626277,-0.01398341934473013
Slobozia,0.12632053129459483,0.11028590746726966,3048150.296901416,5554078.914841605,-0.41603740959495794,0.1935660703909443
Baia Mare,0.08302540628839003,0.11028593734810463,2624813.405363678,6050393.559140931,-0.4226842311587462,0.2364505984909071
Tulcea,0.11702083420309299,0.11028559972816168,3205633.9805266606,5652951.951943522,-0.3832391572492815,0.35131691434280654
Ploiesti,0.12096741147113182,0.11028224574291424,2898369.922039069,5613165.8480390515,-0.4308522000937025,0.13735081330872667
Piatra-Neamt,0.10630230041433901,0.11028585771973001,2936942.1255989363,5932286.038368704,-0.3912741189450475,0.35667649231390275
Suceava,0.095976037794389,0.11028264280774291,2923171.904587808,6046791.284760731,-0.38096894378393675,0.418337595488973
Botosani,0.09574615276007557,0.11027047085076178,2967744.2287014364,6065099.163857643,-0.3727211215335695,0.4570570371157139
Constanta,0.13272258451676258,0.11028602689870817,3184850.631595557,5496864.24648953,-0.4028680402668534,0.24285778040370332
Buzau,0.11818946657086847,0.11028596134908163,2984085.9299498894,5646192.948578212,-0.4152242294416548,0.21047536643408638
Galati,0.11566010924885294,0.11028595254232526,3122055.3068390717,5693581.443166453,-0.3906867265320788,0.32464072295745083
Vaslui,0.11056944654109345,0.11027896692500225,3087256.8340170938,5882423.359279926,-0.3753972413449218,0.4188731690305376
Sfintu-Gheorghe,0.11346395288637219,0.1102859130319201,2871263.6260309056,5759221.301380514,-0.41905402098241384,0.21011413890049013
Bacau,0.11013958692273912,0.11028579576240849,2996676.164358607,5873527.6936504925,-0.3891303904785788,0.3575323968589128
Focsani,0.11451892222274233,0.11028602432990482,3026387.3364513307,5731861.750010906,-0.4000914704673255,0.2890658037837017
Bucharest,0.1312455201823077,0.11025311834835125,2905427.57775536,5532758.638899501,-0.438457211478678,0.0924398537419906
Brasov,0.11466164212097982,0.11028532219345746,2850580.464641516,5724039.674281427,-0.42573583436383555,0.1757962778298232
Pitesti,0.12285191137966228,0.10992376008932893,2769161.389075316,5598927.160422473,-0.4506075548296431,0.04890206999797719
Tirgu Mures,0.10760625828166567,0.110285533060571,2733761.791003054,5870256.874113457,-0.42657943980017454,0.19330408651232833
Deva,0.11234107115092136,0.10946991873164567,2551075.374662213,5761667.644910443,-0.46397329549697464,0.014049436414697247
Cluj-Napoca,0.10296057169844383,0.11027953602282699,2626961.8715359857,5907603.70140925,-0.4376548361234549,0.15028855112327122
Rimnicu Vilcea,0.11927340321141155,0.10984265319759132,2714303.1440123883,5638855.390228304,-0.4540774689474577,0.03951738511381553
Sibiu,0.11341330054011345,0.11018819599902435,2686929.6812263243,5747893.7575963475,-0.44627658710775486,0.08943540198676203
Targu Jiu,0.1201276735765398,0.10973048423428707,2590849.8287226483,5628608.599401757,-0.47259371921825877,-0.04293441021421529
Alba Lulia,0.11116657924529431,0.11006928366849382,2624913.592905392,5792697.121938832,-0.45023504894676447,0.07862116871795521
Giurgiu,0.14969985900035163,0.11007598154488785,2876495.642098188,5454615.904643764,-0.4508983992533431,0.026709930305329976
Zalau,0.09364021926908957,0.11027836554808947,2567361.416165268,5970685.453068063,-0.4393172541098125,0.15216403281221247
Craiova,0.13640679560663327,0.10991036814062487,2652287.0556914555,5516077.49903963,-0.4759615560584416,-0.07397430009399208
Targoviste,0.12134401860714952,0.11024988557078538,2834082.916105953,5611766.13040731,-0.44007329970443965,0.09682662795581898
Bistrita,0.09896478560941636,0.1102859994661802,2728774.6778155155,5964628.346472435,-0.41718854730772814,0.24804855767575518
Satu Mare,0.07569283911295586,0.11028530916422619,2547546.546804066,6072320.542131858,-0.43124170307710874,0.20220987025250103
Slatina,0.1327408177204192,0.10993648068561504,2712967.310122869,5533008.075154225,-0.4655881102680941,-0.026159768528465577
Miercurea Cuic,0.11038504833567803,0.11028600279378646,2841318.683007515,5838389.656998705,-0.41481109281159356,0.24014406231013297
Iasi,0.10621643686660548,0.11027584467166257,3069623.8266754393,5969588.31287449,-0.3685616369198941,0.4613993780012624
Belgrade,0.1226404098674897,0.13063845369727406,2278487.337556724,5593008.833332991,-0.5204783899376575,-0.2574813829538982
Nis,0.18409675611335766,0.1165812814032921,2437896.848372692,5362398.078933167,-0.5226522052685663,-0.30041779720702344
Subotica,0.109014898608296,0.11911747690860729,2190767.578811624,5791573.873988144,-0.511616441962782,-0.18994521611285453
Zrenjanin,0.11564485912518745,0.12428870111143692,2270861.9524373855,5681322.539043898,-0.5121077570246793,-0.20807639549884893
Kragujevac,0.14607120900617274,0.11165903210331093,2328803.7473952826,5468537.751217268,-0.526692638331994,-0.30269873164560845
Novi Sad,0.11666140483816247,0.12215221849621362,2209680.760297401,5661028.358862188,-0.5229116827201254,-0.25826090583345174
Cacak,0.1502712787040592,0.11036437544152021,2263136.379776331,5448388.840330583,-0.5381140578828723,-0.3555623095248084
Kolpino,0.106506706627152,0.11028603528331772,3411942.3928138358,8339869.13991309,-0.06671665317704267,2.124894835355734
Pskov,0.11188371171548683,0.11028603528330362,3153670.042224362,7931690.30840841,-0.1468223797952144,1.715442615107321
St. Petersburg,0.107293650090648,0.11028603528331772,3374761.6828888827,8386169.415870248,-0.06701053796960355,2.1303217685000266
Velikiy Novgorod,0.11085589146492819,0.11028603528331772,3487639.6465532593,8073093.6119444575,-0.08457132170524306,2.008147768685925
Gatchina,0.10402245748900532,0.11028603528331772,3354423.6119209514,8304772.97972987,-0.07858710527123791,2.067900907821196
Luga,0.10698643470541118,0.11028603528331772,3321662.285780489,8123608.175682003,-0.10258858645598457,1.9366862832528478
Vyborg,0.11103446954460258,0.11028603528331772,3200980.8258115025,8558148.92263425,-0.07313622191598057,2.128467217317077
Svetogorsk,0.11280235098566425,0.11028603528331772,3219103.638912646,8649120.37118389,-0.060848035902371755,2.19538784638244
Staraya Russa,0.11267807857491062,0.11028603528331772,3490355.8421286168,7966225.256703648,-0.09561940879286479,1.9443452174296088
Slantsy,0.09672209847074978,0.11028603528331771,3125261.308173917,8204547.12435166,-0.1216444524841016,1.8650938163408277
Velikiye Luki,0.11374562569084619,0.11028603528328455,3397470.859010708,7622384.14077795,-0.1455057460091176,1.676360720159252
Kaliningrad,0.11188143045834174,0.10965352869883752,2281748.998636967,7303858.579707456,-0.33701407741047484,0.7927730311126506
Chernyakhovsk,0.11204834118273771,0.11027648389289481,2427978.281743012,7290692.978402868,-0.317788316009709,0.8749332963837331
Sovetsk,0.11322402521931366,0.11022787450650942,2435893.097538413,7375813.517077243,-0.3075664075216398,0.9319704871368586
Vasteraas,0.008341208953470824,0.1087670084336845,1841224.377720744,8317818.1893806,-0.2907154069812943,1.1422146885876172
Orebro,0.01578983654676471,0.11021545575879378,1694282.6498736232,8241218.695855432,-0.3196435817203407,1.0046155315794731
Karlstad,0.011044764867354076,0.11017908819019664,1502801.9937601152,8260157.896862943,-0.34463706628393465,0.8980716176891814
Nykoping,0.06123077088173023,0.1101199130600351,1894101.135847551,8129552.127771088,-0.3033923138905745,1.0594897916640482
Goteborg,0.10851021251652071,0.11027458597139914,1335833.889519282,7914982.684813881,-0.40511978875630605,0.583558711069406
Halmstad,0.11351174633151438,0.11028563334151531,1431078.8458420068,7693331.19951603,-0.4153893575558081,0.5065206437724923
Linkoping,0.08509151588157615,0.11027009212332799,1739912.5091497872,8053943.435685166,-0.33323709731664164,0.9180261963566476
