city_ascii,GEOprob,BIOprob,x,y,bio_x,bio_y
Vaduz,0.24076707444486212,0.1439037648856649,1059394.1980323463,5963924.685910614,-0.21987510630918505,-0.5038939390608648
Klaipeda,0.11601640264580722,0.013901573003964668,2351056.513604858,7502955.365876916,-0.7670705878688229,0.4881081050026408
Vilnius,0.11241885140420986,-0.0109939215561554,2818231.0206169887,7300661.381083198,-0.43426687385666574,0.5667440816498082
Siauliai,0.11701369856010602,0.003148852292184862,2596527.122753106,7546202.349830315,-0.6967745720236436,0.5846277290091404
Kaunas,0.11297732965423211,-0.018291211133973178,2658309.440143372,7352245.7089611525,-0.5358387045088269,0.5333050598456874
Panevezys,0.11688085604207842,-0.008931045766528763,2712855.990632078,7506830.163816889,-0.6215969353335464,0.6082690810557798
Diekirch,0.1257593814383652,0.002989261576094301,686473.9038748804,6426089.932192703,-0.6957996456755517,-0.45566934842115403
Grevenmacher,0.14107106659804372,-0.0018905099651685357,705019.7310410405,6394482.317900557,-0.6661009599417951,-0.4612509257507349
Luxembourg,0.14502035304347252,-0.002111403098857641,682388.478562767,6379298.722272802,-0.6647524043638522,-0.47428266047877976
Daugavpils,0.11740632535521839,-0.0178503542355357,2951079.7009296827,7534564.044063807,-0.5434209290240504,0.696683971134036
Ventspils,0.11270675100345388,0.026398705693487765,2400115.013197456,7840231.952266772,-0.9828309481567516,0.6287105062805547
Riga,0.11632033394182735,0.018540145365908915,2682799.728117893,7749905.9659611825,-0.8038870999966998,0.6881351479997666
Liepaga,0.11679555142283347,0.02504239786730867,2338822.501566677,7660619.4466461865,-0.8823338702905628,0.5422937737632876
Jelgava,0.11694149769759238,0.01553540644786293,2639696.8212827384,7689462.376160315,-0.7792734184582923,0.6516779190542961
Rezekne,0.11750913646966336,-0.01287053599309059,3040870.002203536,7658602.2929882975,-0.5933836874441085,0.7719379320153963
Monaco,0.3717451414174109,0.3975478909175526,824532.3363566984,5425232.718554642,0.06063254909091009,-0.7798217782767032
Balti,0.18229954520949734,0.03395595078447125,3106403.786433538,6066870.822390789,0.5465355184223886,0.20586868269172376
Cahul,0.12849579547363024,0.039304918728178595,3138586.251221872,5765602.394446149,0.7703899092055395,0.10521901062414196
Chisinau,0.15430197010565172,0.036024749861891955,3212424.4694650513,5942890.237883396,0.6766568202700767,0.1948946982652271
Tiraspol,0.14455351587148912,0.0381508204629504,3299509.707112627,5918129.129727772,0.7296397112959743,0.21433282342926852
Dubasari,0.15735202748611618,0.03530843266088835,3246165.407124492,5985124.924754398,0.6609419931848071,0.2215579638629004
Podgorica,0.08174727917459228,0.03839520639901072,2144714.705470446,5231041.611723426,0.7371389006235769,-0.41826571379298416
Skopje,0.05812995187313934,0.04174309807843974,2385966.305917628,5160979.444049783,0.8849426285627038,-0.3649578193967127
Bitola,0.0793912464653535,0.04599798096193215,2375502.2737830617,5018110.616673192,0.9805632681106649,-0.4211306831774828
Tetovo,0.06188886727073935,0.04117561496887973,2334380.853884027,5162357.659070327,0.8628508578531706,-0.38137770161986717
Maastricht,0.05285729121448356,0.021842009010804558,631960.7492334138,6595332.201458038,-0.836475803588479,-0.41108429812967007
Amsterdam,0.01572966488620304,0.02442843221341459,547313.4084342078,6863659.039714891,-1.0587827336916305,-0.33981199465701906
The Hague,0.013888117445156735,0.024562180993693703,475334.22568727686,6814603.426035637,-1.0539594638376797,-0.3815416798377216
Haarlem,0.017437741154751867,0.023994810389424658,515409.2423728557,6869201.07560679,-1.0757252925558052,-0.3482360876015336
Groningen,0.0404828096934916,0.02360682623293701,732482.2494197398,7023870.467125853,-1.0949764907640946,-0.21990490397248097
Middelburg,0.019101537350780337,0.025770158192315134,401863.36176371813,6710576.735641695,-1.0113065446496692,-0.444053030112459
Arnhem,0.010316257733642286,0.02661086627901095,659345.3439685586,6797955.991249009,-0.9669521539232009,-0.32730058643282334
Assen,0.030184481673790065,0.024190306008033607,729142.6646959418,6982997.920389787,-1.0677626221404926,-0.23608862741344705
's-Hertogenbosch,0.015062940286025926,0.026681007012829674,591852.3367005981,6743063.357513758,-0.9562097115683144,-0.36971274764167195
Zwolle,0.015112146481111232,0.025333262480835162,678714.9353665886,6895431.61657986,-1.0271824070853666,-0.28496175943628055
Utrecht,0.011920928660750185,0.025596851039644555,569955.792861562,6818281.337889219,-1.01777695546888,-0.3491323378783844
Leeuwarden,0.04593608116412564,0.023363973262508313,643805.143053819,7029450.123692404,-1.1351980135872668,-0.24694611121126098
Rotterdam,0.013002869062198129,0.02541930233488205,498711.3187538657,6785673.333785048,-1.024154381057063,-0.38454940905676516
Eindhoven,0.022657957314597812,0.026296876080555382,612257.1993630035,6697711.123236825,-0.9161381707090022,-0.379757970370032
Vossavangen,0.046608751108489575,0.04869504416840219,717008.840199474,8541356.190229671,-2.162473182037482,0.3351852658659187
Oslo,0.0016631994704874441,0.001663199470487466,1196684.5260276902,8381215.3676753575,-1.8540265149888948,0.4334842274198887
Lillehammer,0.06482367202260714,0.028258984138658603,1168854.653329373,8656495.30109446,-2.0579247658221385,0.5259688260196378
Baerum,0.0012198465867237131,0.0023576655539704885,1263164.5259294342,8380504.745981934,-1.8263011813606762,0.45503844460417087
Stavanger,0.05964771555984452,0.007226844095212374,632294.7077057943,8173905.558045134,-1.9402160606612875,0.1717433510079851
Leikanger,0.07562193954918363,0.05902041322123325,762538.5119339245,8668033.60122272,-2.2324094274177075,0.3968885778317355
Kristiansand,0.08952362113790698,0.015759837340920638,890555.9263461898,8002396.723285847,-1.7145052412414565,0.1931849929057785
Bergen,0.04402575476429963,0.050889690121357294,592720.6287287859,8487308.98087694,-2.1755837095812924,0.27444687853233374
Skien,0.026513788603614346,0.004443830788318508,1068667.111615425,8223740.701207093,-1.7963388673745935,0.33334259906467745
Arendal,0.0734382879002362,0.014177302050189095,975826.656293836,8065597.929270066,-1.7237764935732431,0.2444982595434797
Hamar,0.04302857003941767,0.013463056602997606,1232195.4435907442,8584609.14059896,-1.9817129837196759,0.520218962826339
Tonsberg,0.020704790994233058,0.00748099143173935,1160060.4135567036,8237667.527729335,-1.768645509524497,0.3684758381196911
Drammen,0.003457101098066698,0.001661491994636398,1134423.5348270126,8345878.403312952,-1.8548162211464487,0.40000786385454523
Haugesund,0.04367985566238148,0.021692513269539894,587488.6126615001,8269951.931427885,-2.025731475707096,0.19249424261814063
Alesund,0.11524332266499208,0.07251812452184721,711108.9071874304,8989639.802622322,-2.478368880797588,0.4987295056259424
