city_ascii,GEOprob,BIOprob,x,y,bio_x,bio_y
Vaduz,0.21403309421770284,0.11083417257353835,1059394.1980323463,5963924.685910614,-0.13914092880425155,-0.08536183581100165
Klaipeda,0.10326381434255634,0.11110516977773602,2351056.513604858,7502955.365876916,-0.12034184901182021,-0.16314640689615956
Vilnius,0.09744420892415041,0.1111538104227827,2818231.0206169887,7300661.381083198,0.45652439671011136,-0.048583576055562294
Siauliai,0.10373292249393919,0.1111056650815375,2596527.122753106,7546202.349830315,0.07043992994338177,-0.1310675059894999
Kaunas,0.09952449934876428,0.11110568623966324,2658309.440143372,7352245.7089611525,0.27232180677159423,-0.08447907978914226
Panevezys,0.10356028706183569,0.11110567475025604,2712855.990632078,7506830.163816889,0.20582004539498744,-0.10460901241703435
Diekirch,0.405430607374462,0.11110958465338422,686473.9038748804,6426089.932192703,-0.8254779859700507,-0.2333462748396632
Grevenmacher,0.44711038765122213,0.11110599491774682,705019.7310410405,6394482.317900557,-0.784868073483695,-0.22436540707074182
Luxembourg,0.46912189545631056,0.11110621198503655,682388.478562767,6379298.722272802,-0.7940472118589543,-0.22521776919239012
Daugavpils,0.10388694978497795,0.11111035392831461,2951079.7009296827,7534564.044063807,0.40166293245035734,-0.07080042665600106
Ventspils,0.09487610231812088,0.11099029216213468,2400115.013197456,7840231.952266772,-0.32906219818761695,-0.21852530416017812
Riga,0.10096471930115176,0.11110567176079238,2682799.728117893,7749905.9659611825,-0.004100859875287188,-0.15523586985172566
Liepaga,0.10301079047431765,0.1108685728585778,2338822.501566677,7660619.4466461865,-0.24989666759720786,-0.19479461796102704
Jelgava,0.10266308649001765,0.11110567137726178,2639696.8212827384,7689462.376160315,0.0020966319468458394,-0.15093183569699742
Rezekne,0.10348443114500278,0.11110686766014219,3040870.002203536,7658602.2929882975,0.3901613093067837,-0.07941379183912056
Monaco,0.035267830351635894,0.11104098953592777,824532.3363566984,5425232.718554642,0.051873866710066885,-0.022548824984550575
Balti,0.06932215162254154,0.11110545764592852,3106403.786433538,6066870.822390789,1.645376822604665,0.2306003039261617
Cahul,0.08983670532907044,0.1102722177080141,3138586.251221872,5765602.394446149,1.9009422826189661,0.2925168929047576
Chisinau,0.07483046389802481,0.11072306780715356,3212424.4694650513,5942890.237883396,1.8349337609261283,0.27127838936851023
Tiraspol,0.07807467025189191,0.11084548947751173,3299509.707112627,5918129.129727772,1.9327405865213634,0.2901993281853801
Dubasari,0.07183216465160097,0.11081285619458835,3246165.407124492,5985124.924754398,1.833898545214299,0.2688644400429794
Podgorica,0.060558335722930325,0.11110568848383813,2144714.705470446,5231041.611723426,1.3985015828182248,0.2302206882819059
Skopje,0.07209621471430071,0.11082188400987499,2385966.305917628,5160979.444049783,1.6705567765179197,0.2829129885685474
Bitola,0.08590559718079155,0.10341876460391793,2375502.2737830617,5018110.616673192,1.7683534599990192,0.3080612405913311
Tetovo,0.07087963979902458,0.11107981859121417,2334380.853884027,5162357.659070327,1.6226023289663627,0.2742037040785792
Maastricht,0.15779490971492516,0.14475028628960948,631960.7492334138,6595332.201458038,-1.0021843435134015,-0.2740971251385157
Amsterdam,0.00417124592110049,0.11110313043777256,547313.4084342078,6863659.039714891,-1.2807252228504993,-0.3384142089228027
The Hague,0.007297811891257091,0.11110415062140465,475334.22568727686,6814603.426035637,-1.3093459025566672,-0.3409815425535331
Haarlem,0.004776637451939248,0.11110360140417276,515409.2423728557,6869201.07560679,-1.3139062858124735,-0.3446824117096855
Groningen,0.03391719745893394,0.11109861597053022,732482.2494197398,7023870.467125853,-1.2326469466755903,-0.33820505038800774
Middelburg,0.047047682677981505,0.11110468555181713,401863.36176371813,6710576.735641695,-1.2980324775854069,-0.33345750495612136
Arnhem,0.008956348875349497,0.1125151676782439,659345.3439685586,6797955.991249009,-1.1294752485892756,-0.30770883323750897
Assen,0.022679084374368177,0.11110754283804934,729142.6646959418,6982997.920389787,-1.2049835296817673,-0.3310672029887739
's-Hertogenbosch,0.027705322280004354,0.1118421158434042,591852.3367005981,6743063.357513758,-1.1496311496481706,-0.30844380897594814
Zwolle,0.005292129736039412,0.11114761499446585,678714.9353665886,6895431.61657986,-1.1850753875425033,-0.32286339698110866
Utrecht,0.005973213792476501,0.11111262093799551,569955.792861562,6818281.337889219,-1.2260460796053216,-0.3261732221645811
Leeuwarden,0.036518211884333594,0.11109999787727523,643805.143053819,7029450.123692404,-1.3174937328954188,-0.3537802338846491
Rotterdam,0.012762208482148702,0.11110457561233952,498711.3187538657,6785673.333785048,-1.2663529310753,-0.3317127015257556
Eindhoven,0.054656778508517134,0.1247065413286164,612257.1993630035,6697711.123236825,-1.0970062596600858,-0.2965741364095035
Vossavangen,0.05407847693515282,0.11110568872190908,717008.840199474,8541356.190229671,-2.3865615782755576,-0.6260590498599478
Oslo,0.014062906429366924,0.014062906429366941,1196684.5260276902,8381215.3676753575,-1.829987798918883,-0.5173740994054067
Lillehammer,0.07387432925276724,0.11110553098378471,1168854.653329373,8656495.30109446,-2.0620734459562167,-0.5736913104426978
Baerum,0.0129182202835704,0.10646390414538413,1263164.5259294342,8380504.745981934,-1.7689875651481861,-0.5063504785257745
Stavanger,0.04589472923709567,0.11110568178996366,632294.7077057943,8173905.558045134,-2.187606715638779,-0.5708475020750577
Leikanger,0.07879749077624697,0.11110568872194038,762538.5119339245,8668033.60122272,-2.440302548487744,-0.6424189137870039
Kristiansand,0.07527236833873845,0.10493007052430652,890555.9263461898,8002396.723285847,-1.823880105870539,-0.4962947637760694
Bergen,0.04611484655390914,0.11110568872194011,592720.6287287859,8487308.98087694,-2.4590102244804184,-0.6362565374637988
Skien,0.02341026992599229,0.07914568352344542,1068667.111615425,8223740.701207093,-1.8281400449805654,-0.5087359201031406
Arendal,0.06076933427795671,0.10902557878452176,975826.656293836,8065597.929270066,-1.7937954734878314,-0.4942098274229113
Hamar,0.057486742525534956,0.11104084538399477,1232195.4435907442,8584609.14059896,-1.9504658224502442,-0.5497994173801738
Tonsberg,0.018903476963861337,0.110165135013156,1160060.4135567036,8237667.527729335,-1.7554748172767276,-0.4963834300700397
Drammen,0.012790531586926918,0.08381295641936638,1134423.5348270126,8345878.403312952,-1.860073955724408,-0.5209289031300467
Haugesund,0.03306631556779762,0.11110568870841496,587488.6126615001,8269951.931427885,-2.300503874801038,-0.5962458785020915
Alesund,0.10345106820576082,0.11110568872194135,711108.9071874304,8989639.802622322,-2.7286505920760886,-0.7113122839894038
Sandnes,0.05114727225886125,0.11110566505202064,633407.9026137269,8147046.657701346,-2.166419480948253,-0.5656151112489963
Gjovik,0.05662856248594642,0.11109334697417322,1191118.551488027,8580044.128124397,-1.9843980936504924,-0.5556698551686242
Moss,0.013571082879133882,0.10969429187299441,1187689.9111715932,8275444.877846608,-1.7587205800816603,-0.4989604137437046
Lodz,0.046141647928908194,0.11110538609370156,2165319.9432162815,6759544.366055233,0.2691267453173638,-0.05379474553515984
Lublin,0.07825927893127942,0.11113411941890089,2512781.4698293274,6665706.678845235,0.6556431899347359,0.02076597440090866
Wroclaw,0.08664926063106464,0.1110991892815904,1895770.9282094496,6640845.487108363,0.1131193768175045,-0.07563135371656438
Bialystok,0.05919056155224407,0.1114188934825812,2579272.60168015,7010866.449434419,0.45685722234057247,-0.03323950917172691
Poznan,0.021941892835848426,0.1111015726149661,1881288.2624572443,6873834.51902556,-0.07506010864707857,-0.12181059342533851
Zielona Gora,0.025504346700420552,0.11110506837291116,1725452.1072957406,6791162.102031016,-0.15470150981349828,-0.13179376910446983
Bydgoszcz,0.040832024368928105,0.11110405851849249,2004864.029186857,7005299.788313133,-0.061411093404192485,-0.12628603851127151
Szczecin,0.0456768752203587,0.0909093659169147,1617472.2012262663,7061142.311739657,-0.4557062845432558,-0.20024380111059015
Gdansk,0.08642193111923328,0.1111044739110512,2074995.3083866208,7238632.960098687,-0.17288900257594886,-0.15866947497857986
Olsztyn,0.07185016505609969,0.11110538659843042,2279823.1714462424,7132369.312295495,0.09322951383908684,-0.10513706167515402
Katowice,0.15780226188357155,0.12176849907572795,2117296.714888062,6491495.262170752,0.42678933978247,-0.01126248840768762
Rzeszow,0.14100844798371295,0.11110574641166526,2449028.797452019,6458494.162864023,0.7533025081713021,0.04928304863679178
Krakow,0.16258680778966159,0.11265520558560159,2221937.036233741,6456673.275328225,0.5481203858453778,0.0124257849769277
Opole,0.12621000178067643,0.11110473627816848,1996103.185261427,6565761.886425996,0.26077407067914304,-0.0450787466777095
Kielce,0.09938877438754556,0.11438832509823235,2299860.6797890305,6601929.60198324,0.5098878197519214,-0.00212088925909093
Gdynia,0.09018719595064109,0.1110976496786359,2062750.1643993584,7269336.430500093,-0.2070890322974046,-0.16644823727679536
Grudziadz,0.05649037604867229,0.11110476767744003,2087240.45237388,7072358.036243138,-0.03685612924520498,-0.12540042030437548
Inowroclaw,0.03151168691070821,0.11110404695898403,2031580.706977244,6942388.698952246,0.01014378750641054,-0.11008100001997134
Gliwice,0.15508344140307467,0.11250086352542352,2078334.8931104185,6503693.141553285,0.3821895755257123,-0.019938236253265074
Bytom,0.1511471997174757,0.1151298997594174,2105051.5709008025,6507111.76723892,0.4039217000455948,-0.016204583047539356
Warsaw,0.040379226318584545,0.11115988113969591,2337709.306658744,6845455.502518217,0.3613912866394591,-0.041708956232554883
Elblag,0.08250423396129941,0.11110521316043619,2159898.6840146496,7206222.456153219,-0.07132092529066858,-0.1386676966311221
Elk,0.07654462325529511,0.1111057123674487,2487990.6192296655,7138723.764149788,0.2777938163103353,-0.07223217279402716
Koszalin,0.07984804761329793,0.10094574354993435,1801516.7153547846,7208125.260900677,-0.398714222593032,-0.19773158431692106
Setubal,0.08497380498043092,0.11110635625034951,-990743.4680601356,4654569.97589773,-1.0203247186191335,-0.17500612789088554
Evora,0.0843079334154738,0.11110569049634689,-880091.8942116209,4658839.8949732,-0.9228895845687406,-0.15768326118582732
Santarem,0.0649707752178704,0.11112378652693804,-966475.8190672,4754814.562731371,-1.0735497322545466,-0.1898789698554194
Porto,0.0015440934791175031,0.0015440934791174702,-959574.010638018,5034491.86907103,-1.2773484337677594,-0.24133362472892317
Vila Real,-0.00019451681482404097,0.10795035910359149,-861278.9002675572,5055803.792245206,-1.2039529355945646,-0.22923911165665534
Aveiro,0.012207199329646845,0.10636735149738857,-963024.9148526104,4959532.588588966,-1.2241824324298571,-0.2278049876273852
Guarda,0.015107725816853731,0.11116453586208298,-808402.1421407529,4944873.198639252,-1.0725350559471476,-0.19972014229215695
Viseu,0.011434569222682728,0.11105760845657661,-880537.172174793,4961880.127634763,-1.1509195586796377,-0.21473415632515513
Braganca,0.0015996744369101033,0.11066700570677224,-751963.1603085644,5132262.02403087,-1.161956171284074,-0.22570799149908838
Viana Do Castelo,0.002926256686119481,0.110159120338711,-984520.7085247894,5115579.752987804,-1.360946718287713,-0.2606663456510109
Braga,0.0008980549170269542,0.08975688181839964,-937454.8278173959,5094551.935549667,-1.3023434587686085,-0.24900286706325947
Beja,0.09417087083371349,0.1111056857566802,-875305.15610751,4581403.7321533635,-0.860370608361082,-0.1423395196648244
Castelo Branco,0.04298915917132178,0.11110741533604919,-833560.3470600322,4838515.205288517,-1.0155280310257426,-0.18384373187178105
Portalegre,0.06300284445853248,0.11110572885478663,-826324.5801584698,4763297.125604976,-0.9524476424226087,-0.16851586428981757
Coimbra,0.027417767414046543,0.11106930413846189,-936942.7581597446,4895106.738753861,-1.1520668822737887,-0.2114190823610992
Leiria,0.04586539132068501,0.11110808287699495,-980168.1164347724,4828086.642903768,-1.141040903075078,-0.20589858499769542
Covilha,0.02423667319264287,0.11114310267932227,-834896.1809495508,4907196.471655306,-1.0683321256825078,-0.19697607974505316
Drobeta-Turnu Severin,0.08345565299810447,0.11110568597971335,2523156.446371261,5565946.89011197,1.4911508343538222,0.22924352046394036
Braila,0.09306458235925749,0.11097325962939725,3113494.8379970687,5667608.648196123,1.9517273553135719,0.30683158954020606
Oradea,0.08293121510816134,0.11110568872194136,2440123.2381885583,5950239.167201476,1.1269720541465071,0.14338689765957058
Timisoara,0.08771162088196252,0.11110568872194049,2362578.080901964,5741780.642586727,1.213022430085604,0.1698789173927805
Resita,0.08758595489150614,0.11110568872133639,2436394.035246984,5668399.873191275,1.3352803293684388,0.1957677525083752
Calarasi,0.08687062744541306,0.11110374593675988,3041905.2734679137,5497423.285195743,2.014446184071433,0.32710302623369514
Arad,0.08615824420874672,0.11110568872194126,2373331.5437125918,5807633.816672968,1.1733383649850646,0.15925864369766773
Alexandria,0.0799970127783651,0.10399817133802369,2814902.5678422716,5450227.1626262935,1.8434281160149353,0.2987918517884196
Slobozia,0.08993518239594667,0.111088128449712,3048150.296901416,5554078.914841605,1.977570120072504,0.31747356281977723
Baia Mare,0.0817689833963509,0.11110568872194118,2624813.405363678,6050393.559140931,1.2197260652568378,0.15480963444998685
Tulcea,0.09391824937347099,0.11110461281517231,3205633.9805266606,5652951.951943522,2.0465411220374987,0.32468055991742606
Ploiesti,0.09046163119352078,0.10711392350412963,2898369.922039069,5613165.8480390515,1.7969559084009545,0.28182862978312084
Piatra-Neamt,0.07450170849535995,0.11110564931305252,2936942.1255989363,5932286.038368704,1.5923357711349588,0.22814577031609262
Suceava,0.0711295726469008,0.11110568858247594,2923171.904587808,6046791.284760731,1.4938019355042864,0.2043606857614152
Botosani,0.07099808400357857,0.11110568825208522,2967744.2287014364,6065099.163857643,1.520590667913635,0.20821975731898823
Constanta,0.08892214855586404,0.11110568578422444,3184850.631595557,5496864.24648953,2.144881135918626,0.35062384489524556
Buzau,0.09191396537458586,0.10870929218166665,2984085.9299498894,5646192.948578212,1.8501104517606937,0.2896598747639242
Galati,0.09275889145574989,0.1108249505108725,3122055.3068390717,5693581.443166453,1.940004326893157,0.30335043646328685
Vaslui,0.07950868299970705,0.11078966233716965,3087256.8340170938,5882423.359279926,1.7665072965170738,0.2621438775845577
Sfintu-Gheorghe,0.08836598159916512,0.11110170606946175,2871263.6260309056,5759221.301380514,1.6625937778925381,0.249926874502291
Bacau,0.07983163819785007,0.11109795048127818,2996676.164358607,5873527.6936504925,1.69080209817519,0.24897853951838977
Focsani,0.0907602263512793,0.10951503053303421,3026387.3364513307,5731861.750010906,1.8242363504044161,0.2804816760287717
Bucharest,0.08690105427583664,0.10670080164602898,2905427.57775536,5532758.638899501,1.8637720484097673,0.2981029869591265
Brasov,0.08983698214609749,0.11109838469578555,2850580.464641516,5724039.674281427,1.6702077907252337,0.2531536785083818
Pitesti,0.08852246416494773,0.11106146924569348,2769161.389075316,5598927.160422473,1.6901303297022205,0.2633403085933804
Tirgu Mures,0.0800117178736697,0.11110568866126541,2733761.791003054,5870256.874113457,1.4541268467040096,0.20652583454231033
Deva,0.08718900545084456,0.11110568872012212,2551075.374662213,5761667.644910443,1.369531059481865,0.19701725706333917
Cluj-Napoca,0.07858947094987093,0.11110568872184748,2626961.8715359857,5907603.70140925,1.3289350488651333,0.1820090767280328
Rimnicu Vilcea,0.08925658221766253,0.11110504754738014,2714303.1440123883,5638855.390228304,1.6102427607848835,0.24684669602627551
Sibiu,0.0880569804741433,0.11110568716395904,2686929.6812263243,5747893.7575963475,1.5034425630489965,0.22186116930890476
Targu Jiu,0.08772879447838898,0.11110568495948914,2590849.8287226483,5628608.599401757,1.505653338950653,0.22855056935462714
Alba Lulia,0.08569103589744013,0.11110568870874679,2624913.592905392,5792697.121938832,1.4133827257090568,0.20327841091962295
Giurgiu,0.0814514887106982,0.1105752912365558,2876495.642098188,5454615.904643764,1.8961531529517406,0.3080561633214286
Zalau,0.07891186864156272,0.11110568872194096,2567361.416165268,5970685.453068063,1.2273427473543865,0.16038529797731094
