city_ascii,GEOprob,BIOprob,x,y,bio_x,bio_y
Vaduz,0.07563874894479967,0.10324089005809436,1059394.1980323463,5963924.685910614,-0.3989363111766826,0.02757453144585309
Klaipeda,0.13700774464262241,0.1261672954399868,2351056.513604858,7502955.365876916,-1.4607810848001508,0.865545360164182
Vilnius,0.17850437943089817,0.1054976863871434,2818231.0206169887,7300661.381083198,-1.0587555402611226,0.5549784899146735
Siauliai,0.13555844796680444,0.12925704389586612,2596527.122753106,7546202.349830315,-1.4044295409708178,0.8232741894299398
Kaunas,0.15801730243751022,0.6364287416281462,2658309.440143372,7352245.7089611525,-1.1780795936130186,0.6470080366336379
Panevezys,0.13683893157602972,0.17553969539153405,2712855.990632078,7506830.163816889,-1.3157165419521037,0.754835662302737
Diekirch,0.04977406812953587,0.015903130268587508,686473.9038748804,6426089.932192703,-1.0312894486423838,0.5186056198025515
Grevenmacher,0.046900163083284416,0.03460046921125759,705019.7310410405,6394482.317900557,-0.9909097725185125,0.48721333927716426
Luxembourg,0.0443033065192851,0.04191366246034092,682388.478562767,6379298.722272802,-0.9845082992260759,0.482057545133034
Daugavpils,0.135866083163358,0.34534462409276495,2951079.7009296827,7534564.044063807,-1.246283176715231,0.7023014763805273
Ventspils,0.12953915719028422,0.12447703957676397,2400115.013197456,7840231.952266772,-1.789904827072382,1.1228177065396148
Riga,0.13276854502433638,0.13599805600551468,2682799.728117893,7749905.9659611825,-1.5798696391645946,0.9608348666359632
Liepaga,0.13399565732592159,0.1361916416312097,2338822.501566677,7660619.4466461865,-1.6291244327877799,0.996876020027929
Jelgava,0.13369648212426677,0.13011657473926666,2639696.8212827384,7689462.376160315,-1.535024865473697,0.925525120746256
Rezekne,0.13401519024567163,0.15299995472517408,3040870.002203536,7658602.2929882975,-1.337759507606214,0.7743409183995409
Monaco,0.033318054237593785,0.030706494895544813,824532.3363566984,5425232.718554642,0.06224624584584859,-0.334090270794956
Balti,0.030348366822483926,0.12394316536811358,3106403.786433538,6066870.822390789,0.3378974940636157,-0.5332929057682074
Cahul,0.11905135281160242,0.12396840188834397,3138586.251221872,5765602.394446149,0.6632003619616329,-0.7870134650574334
Chisinau,0.08366105246513933,0.12407584459840088,3212424.4694650513,5942890.237883396,0.5099971672711767,-0.6668990049175516
Tiraspol,0.09214730329699089,0.12407204300353374,3299509.707112627,5918129.129727772,0.5715268638495061,-0.7143218627411034
Dubasari,0.06690271921219422,0.1240755151138109,3246165.407124492,5985124.924754398,0.4801549143127053,-0.643366472796032
Podgorica,0.01574342996073781,0.11620892417659319,2144714.705470446,5231041.611723426,0.8073573407868047,-0.9065102955778723
Skopje,0.04155172799400217,0.026214554282346265,2385966.305917628,5160979.444049783,0.9793317110534643,-1.039071370630881
Bitola,0.0908840550917569,0.1186623388733716,2375502.2737830617,5018110.616673192,1.1229980750980575,-1.1512970578874935
Tetovo,0.041009724365398126,0.007898380988485852,2334380.853884027,5162357.659070327,0.956648646747774,-1.0217252789417235
Maastricht,0.03056857061777616,0.4643656051422318,631960.7492334138,6595332.201458038,-1.2290459756739525,0.6726013849249446
Amsterdam,0.59501207775922,0.1300571081749207,547313.4084342078,6863659.039714891,-1.5418471401761513,0.916195071788807
