city_ascii,GEOprob,BIOprob,x,y,bio_x,bio_y
Vaduz,0.12533303884716507,0.10784736856480819,1059394.1980323463,5963924.685910614,-0.3989363111766826,0.02757453144585309
Klaipeda,0.12841825118798117,0.11079156348697218,2351056.513604858,7502955.365876916,-1.4607810848001508,0.865545360164182
Vilnius,0.15280254510887342,0.09408137185909907,2818231.0206169887,7300661.381083198,-1.0587555402611226,0.5549784899146735
Siauliai,0.1266009151589198,0.10913219631374717,2596527.122753106,7546202.349830315,-1.4044295409708178,0.8232741894299398
Kaunas,0.1426943742531277,0.3028842039840649,2658309.440143372,7352245.7089611525,-1.1780795936130186,0.6470080366336379
Panevezys,0.12821182640164847,0.11106356148485072,2712855.990632078,7506830.163816889,-1.3157165419521037,0.754835662302737
Diekirch,-0.0002502610436099558,0.027369192784703476,686473.9038748804,6426089.932192703,-1.0312894486423838,0.5186056198025515
Grevenmacher,-0.011463006204249001,0.07008305741007542,705019.7310410405,6394482.317900557,-0.9909097725185125,0.48721333927716426
Luxembourg,-0.014595818708095634,0.07731820141053104,682388.478562767,6379298.722272802,-0.9845082992260759,0.482057545133034
Daugavpils,0.12702551360714495,0.13037074284996863,2951079.7009296827,7534564.044063807,-1.246283176715231,0.7023014763805273
Ventspils,0.10529098099822688,0.10897440881108716,2400115.013197456,7840231.952266772,-1.789904827072382,1.1228177065396148
Riga,0.11653154458626361,0.22237038107271057,2682799.728117893,7749905.9659611825,-1.5798696391645946,0.9608348666359632
Liepaga,0.12235073385539992,0.1606994320224262,2338822.501566677,7660619.4466461865,-1.6291244327877799,0.996876020027929
Jelgava,0.12088119032663143,0.13551898129410545,2639696.8212827384,7689462.376160315,-1.535024865473697,0.925525120746256
Rezekne,0.12246383723608498,0.10975507847645322,3040870.002203536,7658602.2929882975,-1.337759507606214,0.7743409183995409
Monaco,0.018700867495403905,0.056090827097345676,824532.3363566984,5425232.718554642,0.06224624584584859,-0.334090270794956
Balti,0.09711281486144685,0.10871213692718922,3106403.786433538,6066870.822390789,0.3378974940636157,-0.5332929057682074
Cahul,0.12820310988379266,0.10871573925918782,3138586.251221872,5765602.394446149,0.6632003619616329,-0.7870134650574334
Chisinau,0.131426943420273,0.10871925256298119,3212424.4694650513,5942890.237883396,0.5099971672711767,-0.6668990049175516
Tiraspol,0.1343096941214808,0.1087191699076732,3299509.707112627,5918129.129727772,0.5715268638495061,-0.7143218627411034
Dubasari,0.12368872600799097,0.1087192385243356,3246165.407124492,5985124.924754398,0.4801549143127053,-0.643366472796032
Podgorica,0.034773754425205944,0.10788885885959099,2144714.705470446,5231041.611723426,0.8073573407868047,-0.9065102955778723
Skopje,0.09048952644077915,0.057200310674404085,2385966.305917628,5160979.444049783,0.9793317110534643,-1.039071370630881
Bitola,0.22168076514455332,0.10826311625221607,2375502.2737830617,5018110.616673192,1.1229980750980575,-1.1512970578874935
Tetovo,0.09006691977106286,0.008223499760073428,2334380.853884027,5162357.659070327,0.956648646747774,-1.0217252789417235
Maastricht,0.1430434454683066,0.17869658304208058,631960.7492334138,6595332.201458038,-1.2290459756739525,0.6726013849249446
Amsterdam,0.32977459466915826,0.12776732958857503,547313.4084342078,6863659.039714891,-1.5418471401761513,0.916195071788807
The Hague,0.32294938955189223,0.11808024382222676,475334.22568727686,6814603.426035637,-1.5206959376531746,0.899179327878679
Haarlem,0.32979841894465145,0.14336979465058097,515409.2423728557,6869201.07560679,-1.5607333408751183,0.9307150167794331
Groningen,0.27723466587697854,0.1831969650603963,732482.2494197398,7023870.467125853,-1.6314899400897982,0.9874712437927462
Middelburg,0.26262571158074255,0.10942987053730278,401863.36176371813,6710576.735641695,-1.4432224540064889,0.8381854424266457
Arnhem,0.3165659650448228,0.10920968940278261,659345.3439685586,6797955.991249009,-1.4276321813745367,0.827818476263201
Assen,0.2979767798773984,0.2023412594712115,729142.6646959418,6982997.920389787,-1.5905317934228647,0.955474089810008
's-Hertogenbosch,0.28680667465134047,0.10909281079394625,591852.3367005981,6743063.357513758,-1.3985867093223856,0.8046715350838793
Zwolle,0.3270136561133068,0.11857949126338735,678714.9353665886,6895431.61657986,-1.5206125196716975,0.9005387612569757
Utrecht,0.3236163434543047,0.111692919390279,569955.792861562,6818281.337889219,-1.485516969583375,0.8723798152336713
Leeuwarden,0.27425400808129785,0.12888160187174513,643805.143053819,7029450.123692404,-1.6738081512545522,1.0198856062898916
Rotterdam,0.31208136598780223,0.11123413021219805,498711.3187538657,6785673.333785048,-1.4810988334188506,0.8684317979538161
Eindhoven,0.2498712167424505,0.1103407668050973,612257.1993630035,6697711.123236825,-1.3432048781972066,0.7615809223343382
Vossavangen,0.07698668369147033,0.10871926956029569,717008.840199474,8541356.190229671,-3.2096188980523754,2.2193209535831215
Oslo,0.03355143460835305,0.10871926385648852,1196684.5260276902,8381215.3676753575,-2.846102917138004,1.938903934980992
Lillehammer,0.1025885850885778,0.10871926956028283,1168854.653329373,8656495.30109446,-3.1426944376314454,2.1702416187092295
Baerum,0.03331549737304987,0.10871925196117273,1263164.5259294342,8380504.745981934,-2.8179740862550284,1.917410961068713
Stavanger,0.02654746952989229,0.10871926637157471,632294.7077057943,8173905.558045134,-2.8639337917512195,1.9488703201208883
Leikanger,0.10470679663644025,0.10871926956029634,762538.5119339245,8668033.60122272,-3.3220661721691505,2.3074212347000698
Kristiansand,0.068457974871687,0.10855297174968072,890555.9263461898,8002396.723285847,-2.5798761353223414,1.7289311573939248
Bergen,0.06224573931123806,0.1087192695602955,592720.6287287859,8487308.98087694,-3.2048513021453564,2.2147285945704667
Skien,0.020024433159286214,0.10871878765315528,1068667.111615425,8223740.701207093,-2.7357457506444556,1.8518575109685127
Arendal,0.05060049238237766,0.10866446350588932,975826.656293836,8065597.929270066,-2.6102020724662287,1.7532022086280454
Hamar,0.08757221972476185,0.1087192695590111,1232195.4435907442,8584609.14059896,-3.042138225519051,2.092186601459983
Tonsberg,0.019144892205510404,0.10871811765049728,1160060.4135567036,8237667.527729335,-2.712512405972407,1.8343606745997603
Drammen,0.026697436067111082,0.10871926048896698,1134423.5348270126,8345878.403312952,-2.835156623886374,1.9299226697353955
Haugesund,0.020104883748351524,0.10871926953857727,587488.6126615001,8269951.931427885,-2.9818770799232217,2.040628290885828
Alesund,0.12485462235360756,0.10871926956029634,711108.9071874304,8989639.802622322,-3.6763648224525367,2.583642385342018
Sandnes,0.03134379043951681,0.10871925938852717,633407.9026137269,8147046.657701346,-2.835655691151305,1.926802966477264
Gjovik,0.08649270473594886,0.10871926955954288,1191118.551488027,8580044.128124397,-3.0543355172676216,2.101420635630337
Moss,0.019100826128313684,0.10871887785511848,1187689.9111715932,8275444.877846608,-2.7402561137990267,1.8562121817036434
Lodz,0.28554051568156086,0.10869210444607375,2165319.9432162815,6759544.366055233,-0.7673165829833657,0.3228949679916093
Lublin,0.20148664888647616,0.10871295743935734,2512781.4698293274,6665706.678845235,-0.526953105671697,0.13769022866523883
Wroclaw,0.18145266878230487,0.10870297589436932,1895770.9282094496,6640845.487108363,-0.7554393659186394,0.31173506050440736
Bialystok,0.27845997418846696,0.10796315150149167,2579272.60168015,7010866.449434419,-0.8570589055094251,0.39585131768567994
Poznan,0.32336775441436283,0.03209385638590441,1881288.2624572443,6873834.51902556,-1.0027279422508206,0.5046781482852731
Zielona Gora,0.3068547398888541,0.07113581833907498,1725452.1072957406,6791162.102031016,-0.9813106535925424,0.48686732059604676
Bydgoszcz,0.28390185926881956,0.11025670726799877,2004864.029186857,7005299.788313133,-1.0879757396250618,0.5720919641017428
Szczecin,0.25562484585252365,0.11315653915167924,1617472.2012262663,7061142.311739657,-1.3054383990702503,0.7391396136157757
Gdansk,0.17115374524101984,0.11331000496764332,2074995.3083866208,7238632.960098687,-1.300755952834053,0.7386889464091553
Olsztyn,0.2161824166267739,0.1260417602261568,2279823.1714462424,7132369.312295495,-1.1062937285673442,0.5883177208813439
Katowice,0.03041255000833249,0.10870594334661075,2117296.714888062,6491495.262170752,-0.509469419039088,0.1212715599487959
Rzeszow,0.006530781756371959,0.10426786320591759,2449028.797452019,6458494.162864023,-0.33859938334170714,-0.00979366358845457
Krakow,0.006528494000267688,0.10850200432171717,2221937.036233741,6456673.275328225,-0.4302855559205332,0.06019003189368011
Opole,0.09943362421332637,0.10871898088666887,1996103.185261427,6565761.886425996,-0.6363291946896705,0.21945509423545317
Kielce,0.13534463447284367,0.10871627325251972,2299860.6797890305,6601929.60198324,-0.5486283586513583,0.1531195257679725
Gdynia,0.16151005624705317,0.11005784768025308,2062750.1643993584,7269336.430500093,-1.3376029823307514,0.7673676171784907
Grudziadz,0.24830620795765906,0.14275785000391578,2087240.45237388,7072358.036243138,-1.1234892386898183,0.6003923855447937
Inowroclaw,0.3100313618826244,0.0070341126435978975,2031580.706977244,6942388.698952246,-1.011806367255324,0.5128178766147728
Gliwice,0.040317837428674515,0.10871457951985908,2078334.8931104185,6503693.141553285,-0.5381575623179424,0.14339390557483878
Bytom,0.042970969081402716,0.1087131324419673,2105051.5709008025,6507111.76723892,-0.530689951508533,0.13775148779968927
Warsaw,0.3179615753875017,0.1086643669783967,2337709.306658744,6845455.502518217,-0.7852677345471717,0.338115918693882
Elblag,0.182998976657682,0.15069464890396556,2159898.6840146496,7206222.456153219,-1.2322023338176633,0.6857676178230658
Elk,0.21254630487879494,0.05271936126156304,2487990.6192296655,7138723.764149788,-1.0271009285957646,0.5279543583356201
Koszalin,0.18259977136860917,0.10912930560792204,1801516.7153547846,7208125.260900677,-1.3818429252421316,0.8000735214808055
Setubal,0.19296505326212354,0.10216832647417026,-990743.4680601356,4654569.97589773,0.1124924611289897,-0.38602957357944945
Evora,0.1948556151766302,0.10698461486948525,-880091.8942116209,4658839.8949732,0.153663345838142,-0.41739436445759814
Santarem,0.244117037307572,0.03100482152005907,-966475.8190672,4754814.562731371,0.018662362702437818,-0.3126116200046676
Porto,0.26144743093817685,0.26144743093817685,-959574.010638018,5034491.86907103,-0.26817274818504533,-0.08864695279659873
Vila Real,0.24485575425926315,0.1981433823063321,-861278.9002675572,5055803.792245206,-0.24974474159683702,-0.10234418440073778
Aveiro,0.29584284459615356,0.1221044164591109,-963024.9148526104,4959532.588588966,-0.19195474560312942,-0.1481703080278196
