city_ascii,GEOprob,BIOprob,x,y,bio_x,bio_y
Vaduz,0.40156114284607364,-0.11246876747010189,1059394.1980323463,5963924.685910614,-0.21987510630918505,-0.5038939390608648
Klaipeda,0.03462777141534315,0.02655611997388428,2351056.513604858,7502955.365876916,-0.7670705878688229,0.4881081050026408
Vilnius,0.05204505929263692,0.030464373235083504,2818231.0206169887,7300661.381083198,-0.43426687385666574,0.5667440816498082
Siauliai,0.04979170621936358,0.027812546878548713,2596527.122753106,7546202.349830315,-0.6967745720236436,0.5846277290091404
Kaunas,0.04887622231444897,0.032359304663531895,2658309.440143372,7352245.7089611525,-0.5358387045088269,0.5333050598456874
Panevezys,0.05483389640339975,0.023099698817909096,2712855.990632078,7506830.163816889,-0.6215969353335464,0.6082690810557798
Diekirch,0.16305336447008598,-0.1430391396285805,686473.9038748804,6426089.932192703,-0.6957996456755517,-0.45566934842115403
Grevenmacher,0.17982307765834515,-0.14176460420206566,705019.7310410405,6394482.317900557,-0.6661009599417951,-0.4612509257507349
Luxembourg,0.187347342884035,-0.13647332257662736,682388.478562767,6379298.722272802,-0.6647524043638522,-0.47428266047877976
Daugavpils,0.06472101279538879,0.0033570283056711153,2951079.7009296827,7534564.044063807,-0.5434209290240504,0.696683971134036
Ventspils,0.03823312671733802,0.018357012440226885,2400115.013197456,7840231.952266772,-0.9828309481567516,0.6287105062805547
Riga,0.057252956256682204,0.004894715062030132,2682799.728117893,7749905.9659611825,-0.8038870999966998,0.6881351479997666
Liepaga,0.03398267649271473,0.032302528378629444,2338822.501566677,7660619.4466461865,-0.8823338702905628,0.5422937737632876
Jelgava,0.05403921518970501,0.01282731922283831,2639696.8212827384,7689462.376160315,-0.7792734184582923,0.6516779190542961
Rezekne,0.07205060272410342,-0.0015787724267988207,3040870.002203536,7658602.2929882975,-0.5933836874441085,0.7719379320153963
Monaco,0.67164727742349,0.5552414101067182,824532.3363566984,5425232.718554642,0.06063254909091009,-0.7798217782767032
Balti,0.0356969427361187,-0.17321452249907485,3106403.786433538,6066870.822390789,0.5465355184223886,0.20586868269172376
Cahul,0.04810749871334246,-0.1571858407225605,3138586.251221872,5765602.394446149,0.7703899092055395,0.10521901062414196
Chisinau,0.03919150591546897,-0.17714254515257466,3212424.4694650513,5942890.237883396,0.6766568202700767,0.1948946982652271
Tiraspol,0.04009857975636712,-0.1694107485718352,3299509.707112627,5918129.129727772,0.7296397112959743,0.21433282342926852
Dubasari,0.03685420126427503,-0.16567115230281312,3246165.407124492,5985124.924754398,0.6609419931848071,0.2215579638629004
Podgorica,0.14840339229139357,-0.1365706499431556,2144714.705470446,5231041.611723426,0.7371389006235769,-0.41826571379298416
Skopje,0.1029860529811955,-0.08704921905665317,2385966.305917628,5160979.444049783,0.8849426285627038,-0.3649578193967127
Bitola,0.10336354401415618,-0.13796333270921526,2375502.2737830617,5018110.616673192,0.9805632681106649,-0.4211306831774828
Tetovo,0.11047532273998122,-0.10665661575262815,2334380.853884027,5162357.659070327,0.8628508578531706,-0.38137770161986717
Maastricht,0.08696225201448066,-0.13245543729463027,631960.7492334138,6595332.201458038,-0.836475803588479,-0.41108429812967007
Amsterdam,0.015117973488540076,-0.05133485216132365,547313.4084342078,6863659.039714891,-1.0587827336916305,-0.33981199465701906
The Hague,0.020910473626582268,-0.1068293708661709,475334.22568727686,6814603.426035637,-1.0539594638376797,-0.3815416798377216
Haarlem,0.013430946227844754,-0.06394120260715039,515409.2423728557,6869201.07560679,-1.0757252925558052,-0.3482360876015336
Groningen,0.0007917481315323113,0.1296990061068513,732482.2494197398,7023870.467125853,-1.0949764907640946,-0.21990490397248097
Middelburg,0.03987525977140475,-0.14379713786395604,401863.36176371813,6710576.735641695,-1.0113065446496692,-0.444053030112459
Arnhem,0.0297828673930358,-0.03169690418062948,659345.3439685586,6797955.991249009,-0.9669521539232009,-0.32730058643282334
Assen,0.003985443445089946,0.11099263349229385,729142.6646959418,6982997.920389787,-1.0677626221404926,-0.23608862741344705
's-Hertogenbosch,0.040205759328882734,-0.09306479156411344,591852.3367005981,6743063.357513758,-0.9562097115683144,-0.36971274764167195
Zwolle,0.013358414090689776,0.03830202766902222,678714.9353665886,6895431.61657986,-1.0271824070853666,-0.28496175943628055
Utrecht,0.023359324070917457,-0.06524810342108606,569955.792861562,6818281.337889219,-1.01777695546888,-0.3491323378783844
Leeuwarden,-8.17633312379547e-05,0.09663640027747417,643805.143053819,7029450.123692404,-1.1351980135872668,-0.24694611121126098
Rotterdam,0.02726953809457444,-0.11003353907796577,498711.3187538657,6785673.333785048,-1.024154381057063,-0.38454940905676516
Eindhoven,0.052883105048097394,-0.10487114149606847,612257.1993630035,6697711.123236825,-0.9161381707090022,-0.379757970370032
Vossavangen,0.04071326142651517,-0.07202950561408389,717008.840199474,8541356.190229671,-2.162473182037482,0.3351852658659187
Oslo,0.004372632129488562,0.004372632129488792,1196684.5260276902,8381215.3676753575,-1.8540265149888948,0.4334842274198887
Lillehammer,0.021106480133903305,0.03212078546261725,1168854.653329373,8656495.30109446,-2.0579247658221385,0.5259688260196378
Baerum,0.001888057120703975,0.015156911206756014,1263164.5259294342,8380504.745981934,-1.8263011813606762,0.45503844460417087
Stavanger,0.03548890797263032,-0.18132036548198727,632294.7077057943,8173905.558045134,-1.9402160606612875,0.1717433510079851
Leikanger,0.043864481360403815,-0.019587162457430526,762538.5119339245,8668033.60122272,-2.2324094274177075,0.3968885778317355
Kristiansand,0.013212763026046516,-0.1776525209389934,890555.9263461898,8002396.723285847,-1.7145052412414565,0.1931849929057785
Bergen,0.04774646305448359,-0.12750754197265357,592720.6287287859,8487308.98087694,-2.1755837095812924,0.27444687853233374
Skien,0.005967951893694834,-0.073731474302664,1068667.111615425,8223740.701207093,-1.7963388673745935,0.33334259906467745
Arendal,0.008770931332821632,-0.1511588917239446,975826.656293836,8065597.929270066,-1.7237764935732431,0.2444982595434797
Hamar,0.01385825487408821,0.03175739936080618,1232195.4435907442,8584609.14059896,-1.9817129837196759,0.520218962826339
Tonsberg,0.0015672848684994984,-0.042311915636963814,1160060.4135567036,8237667.527729335,-1.768645509524497,0.3684758381196911
Drammen,0.005872400354791524,-0.017290176904839562,1134423.5348270126,8345878.403312952,-1.8548162211464487,0.40000786385454523
Haugesund,0.04141284218331607,-0.17784820513525815,587488.6126615001,8269951.931427885,-2.025731475707096,0.19249424261814063
Alesund,0.06653323816656802,0.028888539104635808,711108.9071874304,8989639.802622322,-2.478368880797588,0.4987295056259424
Sandnes,0.034737891617057697,-0.1812707684585315,633407.9026137269,8147046.657701346,-1.920978025781801,0.16219391097753144
Gjovik,0.014998473108358093,0.02998908717163252,1191118.551488027,8580044.128124397,-1.9953447070617725,0.5050537463588047
Moss,0.001264444931100069,-0.023659980151848514,1187689.9111715932,8275444.877846608,-1.7837464556034939,0.3914881400513477
Lodz,0.04162769534270419,-0.18013281549991542,2165319.9432162815,6759544.366055233,-0.3232850307153856,0.15273112618962736
Lublin,0.044588284394323975,-0.15945785915316138,2512781.4698293274,6665706.678845235,-0.11535466818921858,0.2321170584770127
Wroclaw,0.053046077679284764,-0.050425938838981235,1895770.9282094496,6640845.487108363,-0.3506803212727152,0.020457286443464895
Bialystok,0.04025351015167097,-0.031628089871466335,2579272.60168015,7010866.449434419,-0.32948770947018824,0.38135028923462455
Poznan,0.025353704496895908,-0.1543385880603774,1881288.2624572443,6873834.51902556,-0.5195384081365,0.1017106402285406
Zielona Gora,0.03101948658666139,-0.0497699346713005,1725452.1072957406,6791162.102031016,-0.5255528600931174,0.02005248861929454
Bydgoszcz,0.021153633788022028,-0.17830544357811567,2004864.029186857,7005299.788313133,-0.5608571808812886,0.19079350037308052
Szczecin,0.002058023807796367,-0.13790338473304412,1617472.2012262663,7061142.311739657,-0.7585723584238644,0.08427814490708174
Gdansk,0.01800157118490812,-0.10476227644097295,2074995.3083866208,7238632.960098687,-0.6953003439970442,0.2999413894773877
Olsztyn,0.030744500188169217,-0.07874563399189485,2279823.1714462424,7132369.312295495,-0.5370995386349873,0.3279327233789071
Katowice,0.06822560309571604,-0.07796657807128782,2117296.714888062,6491495.262170752,-0.15551058304992527,0.03802325248261251
Rzeszow,0.05667894827479716,-0.17485854504871834,2449028.797452019,6458494.162864023,0.0034351441827351614,0.13470465377685548
Krakow,0.06766331965883102,-0.10845716243473971,2221937.036233741,6456673.275328225,-0.08830215656431672,0.0595084806378412
Opole,0.06226161989066182,-0.05879082751808329,1996103.185261427,6565761.886425996,-0.2570819070243231,0.025666489306519047
Kielce,0.05267360434137359,-0.17638622225527503,2299860.6797890305,6601929.60198324,-0.15796271827556252,0.13870068492770793
Gdynia,0.016847831377216564,-0.09800409262162071,2062750.1643993584,7269336.430500093,-0.7217861840556954,0.3072568850063728
Grudziadz,0.02243320825533448,-0.1525075337334401,2087240.45237388,7072358.036243138,-0.5740110449980693,0.24258074822106046
Inowroclaw,0.025713923726323546,-0.1809619112413491,2031580.706977244,6942388.698952246,-0.5059217992039557,0.17633789211117934
Gliwice,0.0681393411252536,-0.06522324076037614,2078334.8931104185,6503693.141553285,-0.17999811617533812,0.02974002307554935
Bytom,0.06680242218253207,-0.08059001329753923,2105051.5709008025,6507111.76723892,-0.1714462928115088,0.03976951231006787
Warsaw,0.039210935335780274,-0.15359187016547846,2337709.306658744,6845455.502518217,-0.3127556305868784,0.2410170414418089
Elblag,0.023472656868945774,-0.09001695458710973,2159898.6840146496,7206222.456153219,-0.6378619555674949,0.3158397848201919
Elk,0.03918586679916533,-0.018320120432780272,2487990.6192296655,7138723.764149788,-0.4562833893834224,0.3985920925714215
Koszalin,0.003266448574413732,-0.17583795833813473,1801516.7153547846,7208125.260900677,-0.7859760962628015,0.19893307902046375
Setubal,0.0032063380654373096,0.02184433640995981,-990743.4680601356,4654569.97589773,-0.14394014946269973,-1.6600194175700254
Evora,0.016380115473896745,0.011749676967366071,-880091.8942116209,4658839.8949732,-0.10160616861085092,-1.6221310226379089
Santarem,0.0003975281856447072,0.010112767217622465,-966475.8190672,4754814.562731371,-0.2041005920084431,-1.61505106947279
Porto,0.0007259254666136397,0.0007259254666135821,-959574.010638018,5034491.86907103,-0.396848717500506,-1.50954542566299
Vila Real,0.021365327328744906,0.006949418716077007,-861278.9002675572,5055803.792245206,-0.3714928738877039,-1.4694210904190088
Aveiro,-0.0017023715713904981,-4.25058315489834e-05,-963024.9148526104,4959532.588588966,-0.3458440063986923,-1.5383485326527522
