city_ascii,GEOprob,BIOprob,x,y,bio_x,bio_y
Vaduz,0.11111111109050645,0.024191819595354325,1059394.1980323463,5963924.685910614,-0.13914092880425155,-0.08536183581100165
Klaipeda,0.11111111109076027,0.01850183538775394,2351056.513604858,7502955.365876916,-0.12034184901182021,-0.16314640689615956
Vilnius,0.11111111109075701,0.01761088711108094,2818231.0206169887,7300661.381083198,0.45652439671011136,-0.048583576055562294
Siauliai,0.11111111109075703,0.06354869352064278,2596527.122753106,7546202.349830315,0.07043992994338177,-0.1310675059894999
Kaunas,0.11111111109075701,0.057197308001229394,2658309.440143372,7352245.7089611525,0.27232180677159423,-0.08447907978914226
Panevezys,0.11111111109075701,0.06730374319076869,2712855.990632078,7506830.163816889,0.20582004539498744,-0.10460901241703435
Diekirch,0.11111112618417554,0.11948092058367968,686473.9038748804,6426089.932192703,-0.8254779859700507,-0.2333462748396632
Grevenmacher,0.11111113412633247,0.10048402147093898,705019.7310410405,6394482.317900557,-0.784868073483695,-0.22436540707074182
Luxembourg,0.11111117962251388,0.10403069591347591,682388.478562767,6379298.722272802,-0.7940472118589543,-0.22521776919239012
Daugavpils,0.11111111109075701,0.012076211918814259,2951079.7009296827,7534564.044063807,0.40166293245035734,-0.07080042665600106
Ventspils,0.11111111111028393,0.04227120430235281,2400115.013197456,7840231.952266772,-0.32906219818761695,-0.21852530416017812
Riga,0.11111111109075748,0.04690406187762067,2682799.728117893,7749905.9659611825,-0.004100859875287188,-0.15523586985172566
Liepaga,0.11111111109126821,0.04865563649555294,2338822.501566677,7660619.4466461865,-0.24989666759720786,-0.19479461796102704
Jelgava,0.11111111109075728,0.04873686109063115,2639696.8212827384,7689462.376160315,0.0020966319468458394,-0.15093183569699742
Rezekne,0.11111111109075701,0.016468893554725566,3040870.002203536,7658602.2929882975,0.3901613093067837,-0.07941379183912056
Monaco,0.11108996192659748,0.06049607522966201,824532.3363566984,5425232.718554642,0.051873866710066885,-0.022548824984550575
Balti,0.11111111109075701,0.05797403582792472,3106403.786433538,6066870.822390789,1.645376822604665,0.2306003039261617
Cahul,0.11111111109075013,0.05259760121115285,3138586.251221872,5765602.394446149,1.9009422826189661,0.2925168929047576
Chisinau,0.11111111109075701,0.030955019292901866,3212424.4694650513,5942890.237883396,1.8349337609261283,0.27127838936851023
Tiraspol,0.11111111109075701,0.060214678992251254,3299509.707112627,5918129.129727772,1.9327405865213634,0.2901993281853801
Dubasari,0.11111111109075701,0.030576311482794476,3246165.407124492,5985124.924754398,1.833898545214299,0.2688644400429794
Podgorica,0.11111099954033862,0.07769359324972873,2144714.705470446,5231041.611723426,1.3985015828182248,0.2302206882819059
Skopje,0.11109893846936532,0.05159845976097182,2385966.305917628,5160979.444049783,1.6705567765179197,0.2829129885685474
Bitola,0.11111098415311449,0.018678886608987456,2375502.2737830617,5018110.616673192,1.7683534599990192,0.3080612405913311
Tetovo,0.11110813867485832,0.06268216750558654,2334380.853884027,5162357.659070327,1.6226023289663627,0.2742037040785792
Maastricht,0.11111111149313513,0.38656362358034735,631960.7492334138,6595332.201458038,-1.0021843435134015,-0.2740971251385157
Amsterdam,0.11111111094604305,-0.0016837659071938025,547313.4084342078,6863659.039714891,-1.2807252228504993,-0.3384142089228027
The Hague,0.11111110634814002,-0.005395527200157349,475334.22568727686,6814603.426035637,-1.3093459025566672,-0.3409815425535331
Haarlem,0.11111111079011243,-0.004591868239256514,515409.2423728557,6869201.07560679,-1.3139062858124735,-0.3446824117096855
Groningen,0.11111111108956374,0.09392208965803175,732482.2494197398,7023870.467125853,-1.2326469466755903,-0.33820505038800774
Middelburg,0.11111027269458151,-0.006116153765546944,401863.36176371813,6710576.735641695,-1.2980324775854069,-0.33345750495612136
Arnhem,0.1111111110462896,0.420053282675665,659345.3439685586,6797955.991249009,-1.1294752485892756,-0.30770883323750897
Assen,0.1111111110870687,0.17020485772664315,729142.6646959418,6982997.920389787,-1.2049835296817673,-0.3310672029887739
's-Hertogenbosch,0.11111110957367261,0.3498534206976978,591852.3367005981,6743063.357513758,-1.1496311496481706,-0.30844380897594814
