city_ascii,GEOprob,BIOprob,x,y,bio_x,bio_y
Vaduz,0.11111111110572464,-0.0007907282194735852,1059394.1980323463,5963924.685910614,-0.13914092880425155,-0.08536183581100165
Klaipeda,0.11111111110592449,0.0185974160160912,2351056.513604858,7502955.365876916,-0.12034184901182021,-0.16314640689615956
Vilnius,0.11111111110591794,0.041413300920623154,2818231.0206169887,7300661.381083198,0.45652439671011136,-0.048583576055562294
Siauliai,0.11111111110591795,0.034853375566213034,2596527.122753106,7546202.349830315,0.07043992994338177,-0.1310675059894999
Kaunas,0.11111111110591794,0.039587755967952394,2658309.440143372,7352245.7089611525,0.27232180677159423,-0.08447907978914226
Panevezys,0.11111111110591794,0.04078638164534612,2712855.990632078,7506830.163816889,0.20582004539498744,-0.10460901241703435
Diekirch,0.11111111709316533,0.21509103161811202,686473.9038748804,6426089.932192703,-0.8254779859700507,-0.2333462748396632
Grevenmacher,0.11111112024369321,0.17588351303197855,705019.7310410405,6394482.317900557,-0.784868073483695,-0.22436540707074182
Luxembourg,0.11111113829117636,0.18173213367928745,682388.478562767,6379298.722272802,-0.7940472118589543,-0.22521776919239012
Daugavpils,0.11111111110591794,0.04385475389769392,2951079.7009296827,7534564.044063807,0.40166293245035734,-0.07080042665600106
Ventspils,0.11111111114514007,0.012904586632709294,2400115.013197456,7840231.952266772,-0.32906219818761695,-0.21852530416017812
Riga,0.11111111110591886,0.03373554832968912,2682799.728117893,7749905.9659611825,-0.004100859875287188,-0.15523586985172566
Liepaga,0.11111111110694474,0.009842839870705488,2338822.501566677,7660619.4466461865,-0.24989666759720786,-0.19479461796102704
Jelgava,0.11111111110591845,0.032983104940454464,2639696.8212827384,7689462.376160315,0.0020966319468458394,-0.15093183569699742
Rezekne,0.11111111110591794,0.04589081417024128,3040870.002203536,7658602.2929882975,0.3901613093067837,-0.07941379183912056
Monaco,0.11108711129729765,0.012650611439782905,824532.3363566984,5425232.718554642,0.051873866710066885,-0.022548824984550575
Balti,0.11111111110591794,0.04168922014337821,3106403.786433538,6066870.822390789,1.645376822604665,0.2306003039261617
Cahul,0.11111111110591133,0.026143265601015334,3138586.251221872,5765602.394446149,1.9009422826189661,0.2925168929047576
Chisinau,0.11111111110591794,0.02320128138946381,3212424.4694650513,5942890.237883396,1.8349337609261283,0.27127838936851023
Tiraspol,0.11111111110591794,0.03006644221139565,3299509.707112627,5918129.129727772,1.9327405865213634,0.2901993281853801
Dubasari,0.11111111110591794,0.023631032652090066,3246165.407124492,5985124.924754398,1.833898545214299,0.2688644400429794
Podgorica,0.11111100422542661,0.06991079825324054,2144714.705470446,5231041.611723426,1.3985015828182248,0.2302206882819059
Skopje,0.11109944807700428,0.02642057035179576,2385966.305917628,5160979.444049783,1.6705567765179197,0.2829129885685474
Bitola,0.11111098948237051,0.019767543289723594,2375502.2737830617,5018110.616673192,1.7683534599990192,0.3080612405913311
Tetovo,0.1111082631267149,0.033274704730898066,2334380.853884027,5162357.659070327,1.6226023289663627,0.2742037040785792
Maastricht,0.11111111124404494,0.36299398284392437,631960.7492334138,6595332.201458038,-1.0021843435134015,-0.2740971251385157
Amsterdam,0.11111111097499674,0.24886199675030418,547313.4084342078,6863659.039714891,-1.2807252228504993,-0.3384142089228027
The Hague,0.11111110681570084,0.21452531552277132,475334.22568727686,6814603.426035637,-1.3093459025566672,-0.3409815425535331
Haarlem,0.1111111108339464,0.2150394441938275,515409.2423728557,6869201.07560679,-1.3139062858124735,-0.3446824117096855
