city_ascii,GEOprob,BIOprob,x,y,bio_x,bio_y
Vaduz,-0.016758849015162783,0.10090335262080313,1059394.1980323463,5963924.685910614,-0.3989363111766826,0.02757453144585309
Klaipeda,0.12892340838543187,0.14366398754811072,2351056.513604858,7502955.365876916,-1.4607810848001508,0.865545360164182
Vilnius,0.19929893287520345,0.09645817680276045,2818231.0206169887,7300661.381083198,-1.0587555402611226,0.5549784899146735
Siauliai,0.12330860386493682,0.1355800171039923,2596527.122753106,7546202.349830315,-1.4044295409708178,0.8232741894299398
Kaunas,0.17204052875991016,0.45882467824613093,2658309.440143372,7352245.7089611525,-1.1780795936130186,0.6470080366336379
Panevezys,0.128336597253765,0.17113558101200904,2712855.990632078,7506830.163816889,-1.3157165419521037,0.754835662302737
Diekirch,0.01607538021141583,0.02925781399865246,686473.9038748804,6426089.932192703,-1.0312894486423838,0.5186056198025515
Grevenmacher,0.014503385298515834,0.0431959777118832,705019.7310410405,6394482.317900557,-0.9909097725185125,0.48721333927716426
Luxembourg,0.014929111449019004,0.04896790776552175,682388.478562767,6379298.722272802,-0.9845082992260759,0.482057545133034
Daugavpils,0.124633244946813,0.29099989012068805,2951079.7009296827,7534564.044063807,-1.246283176715231,0.7023014763805273
Ventspils,0.10189264475965998,0.13246309730821784,2400115.013197456,7840231.952266772,-1.789904827072382,1.1228177065396148
Riga,0.10921679498239317,0.25728085042982146,2682799.728117893,7749905.9659611825,-1.5798696391645946,0.9608348666359632
Liepaga,0.11457866728471618,0.26607186033869895,2338822.501566677,7660619.4466461865,-1.6291244327877799,0.996876020027929
Jelgava,0.11291429691439385,0.19724631993020192,2639696.8212827384,7689462.376160315,-1.535024865473697,0.925525120746256
Rezekne,0.1146966407290129,0.1533859483295021,3040870.002203536,7658602.2929882975,-1.337759507606214,0.7743409183995409
Monaco,0.04857228133254041,0.04486377267765186,824532.3363566984,5425232.718554642,0.06224624584584859,-0.334090270794956
Balti,-0.008498753043197537,0.12553150953915698,3106403.786433538,6066870.822390789,0.3378974940636157,-0.5332929057682074
Cahul,0.03908811685214014,0.1255320386501343,3138586.251221872,5765602.394446149,0.6632003619616329,-0.7870134650574334
Chisinau,-0.014810501681312142,0.12573824003624026,3212424.4694650513,5942890.237883396,0.5099971672711767,-0.6668990049175516
Tiraspol,-0.010860463930090263,0.1257292222830295,3299509.707112627,5918129.129727772,0.5715268638495061,-0.7143218627411034
Dubasari,-0.017384414250981358,0.12573772279164722,3246165.407124492,5985124.924754398,0.4801549143127053,-0.643366472796032
Podgorica,0.01053237964496597,0.11536669297600095,2144714.705470446,5231041.611723426,0.8073573407868047,-0.9065102955778723
Skopje,0.017965667875823377,0.027562490827251165,2385966.305917628,5160979.444049783,0.9793317110534643,-1.039071370630881
Bitola,0.06275536003589992,0.1182756769699279,2375502.2737830617,5018110.616673192,1.1229980750980575,-1.1512970578874935
Tetovo,0.017696689135525495,0.012412265765996296,2334380.853884027,5162357.659070327,0.956648646747774,-1.0217252789417235
Maastricht,0.12690535787348012,0.35989409126114624,631960.7492334138,6595332.201458038,-1.2290459756739525,0.6726013849249446
Amsterdam,0.45816341086190476,0.19840676950109853,547313.4084342078,6863659.039714891,-1.5418471401761513,0.916195071788807
The Hague,0.4227168754958536,0.1760503088855124,475334.22568727686,6814603.426035637,-1.5206959376531746,0.899179327878679
Haarlem,0.4608297153675159,0.22275282259285142,515409.2423728557,6869201.07560679,-1.5607333408751183,0.9307150167794331
Groningen,0.4315567778670852,0.2696862471077601,732482.2494197398,7023870.467125853,-1.6314899400897982,0.9874712437927462
Middelburg,0.2917169852170501,0.13775289841162322,401863.36176371813,6710576.735641695,-1.4432224540064889,0.8381854424266457
Arnhem,0.40615025871841354,0.13599879151165944,659345.3439685586,6797955.991249009,-1.4276321813745367,0.827818476263201
Assen,0.4563461211018842,0.26702537989879194,729142.6646959418,6982997.920389787,-1.5905317934228647,0.955474089810008
's-Hertogenbosch,0.3384153991772486,0.13646285642798564,591852.3367005981,6743063.357513758,-1.3985867093223856,0.8046715350838793
Zwolle,0.46965908108548504,0.17653823590344553,678714.9353665886,6895431.61657986,-1.5206125196716975,0.9005387612569757
Utrecht,0.42608387319223323,0.15166721608366235,569955.792861562,6818281.337889219,-1.485516969583375,0.8723798152336713
Leeuwarden,0.42749420321584714,0.20863350529446273,643805.143053819,7029450.123692404,-1.6738081512545522,1.0198856062898916
Rotterdam,0.3926142182767297,0.14941200309236996,498711.3187538657,6785673.333785048,-1.4810988334188506,0.8684317979538161
Eindhoven,0.2725273365063772,0.15504837485849687,612257.1993630035,6697711.123236825,-1.3432048781972066,0.7615809223343382
Vossavangen,0.08584608667949106,0.12574027495883924,717008.840199474,8541356.190229671,-3.2096188980523754,2.2193209535831215
Oslo,0.06424177087165543,0.1257397541812342,1196684.5260276902,8381215.3676753575,-2.846102917138004,1.938903934980992
Lillehammer,0.10010658057829613,0.12574027495599416,1168854.653329373,8656495.30109446,-3.1426944376314454,2.1702416187092295
Baerum,0.06416605740419336,0.12573886614723456,1263164.5259294342,8380504.745981934,-2.8179740862550284,1.917410961068713
