city_ascii,GEOprob,BIOprob,x,y,bio_x,bio_y
Vaduz,0.09479245959820133,0.16968641154008637,1059394.1980323463,5963924.685910614,-0.21987510630918505,-0.5038939390608648
Klaipeda,-0.03760631350262851,0.13125498089563928,2351056.513604858,7502955.365876916,-0.7670705878688229,0.4881081050026408
Vilnius,0.14149964147005673,0.22348360922078386,2818231.0206169887,7300661.381083198,-0.43426687385666574,0.5667440816498082
Siauliai,0.03204461944194676,0.14781803953628259,2596527.122753106,7546202.349830315,-0.6967745720236436,0.5846277290091404
Kaunas,0.059677730212739026,0.19762121642910538,2658309.440143372,7352245.7089611525,-0.5358387045088269,0.5333050598456874
Panevezys,0.08614449207159898,0.16488302532683227,2712855.990632078,7506830.163816889,-0.6215969353335464,0.6082690810557798
Diekirch,0.395066252866176,0.09128170953226233,686473.9038748804,6426089.932192703,-0.6957996456755517,-0.45566934842115403
Grevenmacher,0.3870041439397759,0.09682310092225994,705019.7310410405,6394482.317900557,-0.6661009599417951,-0.4612509257507349
Luxembourg,0.39667138643713407,0.10135595926954535,682388.478562767,6379298.722272802,-0.6647524043638522,-0.47428266047877976
Daugavpils,0.21622588406593693,0.1664081891364906,2951079.7009296827,7534564.044063807,-0.5434209290240504,0.696683971134036
Ventspils,-0.03054707264215343,0.07922338647500332,2400115.013197456,7840231.952266772,-0.9828309481567516,0.6287105062805547
Riga,0.07134527535393144,0.11305024569361144,2682799.728117893,7749905.9659611825,-0.8038870999966998,0.6881351479997666
Liepaga,-0.038703103727107606,0.1022957781162246,2338822.501566677,7660619.4466461865,-0.8823338702905628,0.5422937737632876
Jelgava,0.051066596697285235,0.12113103183130895,2639696.8212827384,7689462.376160315,-0.7792734184582923,0.6516779190542961
Rezekne,0.26664161777830236,0.14160898842343544,3040870.002203536,7658602.2929882975,-0.5933836874441085,0.7719379320153963
Monaco,0.30831299347960966,0.3870186112210529,824532.3363566984,5425232.718554642,0.06063254909091009,-0.7798217782767032
Balti,0.30114150749957497,0.24354149981229015,3106403.786433538,6066870.822390789,0.5465355184223886,0.20586868269172376
Cahul,0.3168012096931259,0.1618960294937403,3138586.251221872,5765602.394446149,0.7703899092055395,0.10521901062414196
Chisinau,0.3481475409787336,0.22966677528730928,3212424.4694650513,5942890.237883396,0.6766568202700767,0.1948946982652271
Tiraspol,0.3743250051510401,0.24010909926537807,3299509.707112627,5918129.129727772,0.7296397112959743,0.21433282342926852
Dubasari,0.3598434840293858,0.2503602361492981,3246165.407124492,5985124.924754398,0.6609419931848071,0.2215579638629004
Podgorica,-0.01924561838426721,0.07890411444082919,2144714.705470446,5231041.611723426,0.7371389006235769,-0.41826571379298416
Skopje,-0.0330049355644364,0.048999517687520804,2385966.305917628,5160979.444049783,0.8849426285627038,-0.3649578193967127
Bitola,-0.03460671127201818,0.0629308390107209,2375502.2737830617,5018110.616673192,0.9805632681106649,-0.4211306831774828
Tetovo,-0.039030308977381176,0.05531850307365009,2334380.853884027,5162357.659070327,0.8628508578531706,-0.38137770161986717
Maastricht,0.41120610731175067,0.06454832540625527,631960.7492334138,6595332.201458038,-0.836475803588479,-0.41108429812967007
Amsterdam,0.41299598738370424,0.03988185557997886,547313.4084342078,6863659.039714891,-1.0587827336916305,-0.33981199465701906
The Hague,0.3930182424432909,0.0451828434962807,475334.22568727686,6814603.426035637,-1.0539594638376797,-0.3815416798377216
Haarlem,0.40644265103916244,0.040513581152405526,515409.2423728557,6869201.07560679,-1.0757252925558052,-0.3482360876015336
Groningen,0.37281314459257786,0.022032169354901335,732482.2494197398,7023870.467125853,-1.0949764907640946,-0.21990490397248097
Middelburg,0.35534859414533704,0.05604866342914928,401863.36176371813,6710576.735641695,-1.0113065446496692,-0.444053030112459
Arnhem,0.4045381342299461,0.04101735388458126,659345.3439685586,6797955.991249009,-0.9669521539232009,-0.32730058643282334
Assen,0.37467733940167103,0.024400684257620618,729142.6646959418,6982997.920389787,-1.0677626221404926,-0.23608862741344705
's-Hertogenbosch,0.41559810468786373,0.0482113836225032,591852.3367005981,6743063.357513758,-0.9562097115683144,-0.36971274764167195
Zwolle,0.39806060618487127,0.032616641405253936,678714.9353665886,6895431.61657986,-1.0271824070853666,-0.28496175943628055
Utrecht,0.41529215850577333,0.042362250497128086,569955.792861562,6818281.337889219,-1.01777695546888,-0.3491323378783844
Leeuwarden,0.4086838464122769,0.027077940530010697,643805.143053819,7029450.123692404,-1.1351980135872668,-0.24694611121126098
Rotterdam,0.4015263388585486,0.04685482073414711,498711.3187538657,6785673.333785048,-1.024154381057063,-0.38454940905676516
Eindhoven,0.41416601519601554,0.052306383383430854,612257.1993630035,6697711.123236825,-0.9161381707090022,-0.379757970370032
Vossavangen,0.3811287617889147,0.034547638876455206,717008.840199474,8541356.190229671,-2.162473182037482,0.3351852658659187
Oslo,0.00329915517467467,0.0032991551746746005,1196684.5260276902,8381215.3676753575,-1.8540265149888948,0.4334842274198887
Lillehammer,0.017446136951135203,0.012974908310833427,1168854.653329373,8656495.30109446,-2.0579247658221385,0.5259688260196378
Baerum,-0.020025416454106295,0.0010207460017304698,1263164.5259294342,8380504.745981934,-1.8263011813606762,0.45503844460417087
Stavanger,0.4111404821624585,0.047342387009444174,632294.7077057943,8173905.558045134,-1.9402160606612875,0.1717433510079851
Leikanger,0.35440612611842176,0.03230188279904227,762538.5119339245,8668033.60122272,-2.2324094274177075,0.3968885778317355
Kristiansand,0.2504140126825168,0.029227853060030444,890555.9263461898,8002396.723285847,-1.7145052412414565,0.1931849929057785
Bergen,0.4155684615475262,0.04593045516338381,592720.6287287859,8487308.98087694,-2.1755837095812924,0.27444687853233374
Skien,0.08710628105878834,0.013109327075994482,1068667.111615425,8223740.701207093,-1.7963388673745935,0.33334259906467745
Arendal,0.1699704061967416,0.023200409413805877,975826.656293836,8065597.929270066,-1.7237764935732431,0.2444982595434797
Hamar,-0.011029786419291913,0.007489443978160052,1232195.4435907442,8584609.14059896,-1.9817129837196759,0.520218962826339
Tonsberg,0.022429755267992117,0.0076154616982350345,1160060.4135567036,8237667.527729335,-1.768645509524497,0.3684758381196911
Drammen,0.038295404115466655,0.006451476460522871,1134423.5348270126,8345878.403312952,-1.8548162211464487,0.40000786385454523
Haugesund,0.41568672447507926,0.04997552262528337,587488.6126615001,8269951.931427885,-2.025731475707096,0.19249424261814063
Alesund,0.38408137443039975,0.05217227370201184,711108.9071874304,8989639.802622322,-2.478368880797588,0.4987295056259424
Sandnes,0.4109256989826088,0.047457733080818326,633407.9026137269,8147046.657701346,-1.920978025781801,0.16219391097753144
Gjovik,0.005927207509083695,0.007992490585589635,1191118.551488027,8580044.128124397,-1.9953447070617725,0.5050537463588047
Moss,0.00759695046670076,0.005254139579127225,1187689.9111715932,8275444.877846608,-1.7837464556034939,0.3914881400513477
Lodz,-0.024363577519179277,0.10364643180804117,2165319.9432162815,6759544.366055233,-0.3232850307153856,0.15273112618962736
Lublin,-0.00024744930947722765,0.1995340355987528,2512781.4698293274,6665706.678845235,-0.11535466818921858,0.2321170584770127
Wroclaw,0.05835107893701322,0.043755945726619755,1895770.9282094496,6640845.487108363,-0.3506803212727152,0.020457286443464895
