city_ascii,GEOprob,BIOprob,x,y,bio_x,bio_y
Vaduz,0.00047378343921510805,0.11114565566978038,1059394.1980323463,5963924.685910614,-0.3989363111766826,0.02757453144585309
Klaipeda,0.35354922606758127,0.11168894748165657,2351056.513604858,7502955.365876916,-1.4607810848001508,0.865545360164182
Vilnius,0.2917793235212866,0.09419578971530954,2818231.0206169887,7300661.381083198,-1.0587555402611226,0.5549784899146735
Siauliai,0.3519396051274444,0.11266907063346927,2596527.122753106,7546202.349830315,-1.4044295409708178,0.8232741894299398
Kaunas,0.3116500284690688,0.18454704418059337,2658309.440143372,7352245.7089611525,-1.1780795936130186,0.6470080366336379
Panevezys,0.338968786552049,0.1137548259071297,2712855.990632078,7506830.163816889,-1.3157165419521037,0.754835662302737
Diekirch,0.0399052964066575,0.028277350238339383,686473.9038748804,6426089.932192703,-1.0312894486423838,0.5186056198025515
Grevenmacher,0.03605156787726749,0.07227491673124284,705019.7310410405,6394482.317900557,-0.9909097725185125,0.48721333927716426
Luxembourg,0.03283860403791336,0.07972414907694833,682388.478562767,6379298.722272802,-0.9845082992260759,0.482057545133034
Daugavpils,0.32825972699092965,0.1210676204841984,2951079.7009296827,7534564.044063807,-1.246283176715231,0.7023014763805273
Ventspils,0.3985165714067049,0.11265475414445719,2400115.013197456,7840231.952266772,-1.789904827072382,1.1228177065396148
Riga,0.37644939117069737,0.05871521454656306,2682799.728117893,7749905.9659611825,-1.5798696391645946,0.9608348666359632
Liepaga,0.3795321417776158,0.0882910135409691,2338822.501566677,7660619.4466461865,-1.6291244327877799,0.996876020027929
Jelgava,0.37135733130698384,0.09955669316337279,2639696.8212827384,7689462.376160315,-1.535024865473697,0.925525120746256
Rezekne,0.34031049226713617,0.11320740544008646,3040870.002203536,7658602.2929882975,-1.337759507606214,0.7743409183995409
Monaco,0.017801216352324595,0.06910919808978863,824532.3363566984,5425232.718554642,0.06224624584584859,-0.334090270794956
Balti,0.02427576065969228,0.11278942380879503,3106403.786433538,6066870.822390789,0.3378974940636157,-0.5332929057682074
Cahul,0.007849630837915277,0.11279341310271253,3138586.251221872,5765602.394446149,0.6632003619616329,-0.7870134650574334
Chisinau,0.014878864923334253,0.1127982182347403,3212424.4694650513,5942890.237883396,0.5099971672711767,-0.6668990049175516
Tiraspol,0.01417038308702831,0.11279808442158216,3299509.707112627,5918129.129727772,0.5715268638495061,-0.7143218627411034
Dubasari,0.017705000534185666,0.11279819673484345,3246165.407124492,5985124.924754398,0.4801549143127053,-0.643366472796032
Podgorica,0.018223805270008185,0.11191328089025214,2144714.705470446,5231041.611723426,0.8073573407868047,-0.9065102955778723
Skopje,0.02690282704494596,0.06493944450844617,2385966.305917628,5160979.444049783,0.9793317110534643,-1.039071370630881
Bitola,0.04275679600555793,0.11230323940509536,2375502.2737830617,5018110.616673192,1.1229980750980575,-1.1512970578874935
Tetovo,0.026288774400785357,0.01992184470397536,2334380.853884027,5162357.659070327,0.956648646747774,-1.0217252789417235
Maastricht,0.0653198448120273,0.13915236119579033,631960.7492334138,6595332.201458038,-1.2290459756739525,0.6726013849249446
Amsterdam,0.11221067687367474,0.10345163889838958,547313.4084342078,6863659.039714891,-1.5418471401761513,0.916195071788807
The Hague,0.09566755609002159,0.1081031775895405,475334.22568727686,6814603.426035637,-1.5206959376531746,0.899179327878679
Haarlem,0.11045840125856475,0.09608063924859912,515409.2423728557,6869201.07560679,-1.5607333408751183,0.9307150167794331
Groningen,0.1657046707496294,0.07765198722780668,732482.2494197398,7023870.467125853,-1.6314899400897982,0.9874712437927462
Middelburg,0.06978259267991335,0.11245310018226995,401863.36176371813,6710576.735641695,-1.4432224540064889,0.8381854424266457
Arnhem,0.10802939090418893,0.11260222332195431,659345.3439685586,6797955.991249009,-1.4276321813745367,0.827818476263201
Assen,0.15592305857263764,0.0685084376968329,729142.6646959418,6982997.920389787,-1.5905317934228647,0.955474089810008
's-Hertogenbosch,0.09099106333945386,0.11281996493257562,591852.3367005981,6743063.357513758,-1.3985867093223856,0.8046715350838793
Zwolle,0.13118827955359413,0.10785201868987757,678714.9353665886,6895431.61657986,-1.5206125196716975,0.9005387612569757
Utrecht,0.10467289448477124,0.11124933900413263,569955.792861562,6818281.337889219,-1.485516969583375,0.8723798152336713
Leeuwarden,0.15804067502577343,0.10301271591405885,643805.143053819,7029450.123692404,-1.6738081512545522,1.0198856062898916
Rotterdam,0.09188426736678508,0.11148400475664721,498711.3187538657,6785673.333785048,-1.4810988334188506,0.8684317979538161
Eindhoven,0.08348707594628324,0.11347526032265999,612257.1993630035,6697711.123236825,-1.3432048781972066,0.7615809223343382
Vossavangen,0.33973399488896555,0.11279824951058522,717008.840199474,8541356.190229671,-3.2096188980523754,2.2193209535831215
Oslo,0.38326200694942875,0.11279829030636147,1196684.5260276902,8381215.3676753575,-2.846102917138004,1.938903934980992
Lillehammer,0.366180192769211,0.11279824951076481,1168854.653329373,8656495.30109446,-3.1426944376314454,2.1702416187092295
Baerum,0.3876911012738586,0.11279836777721634,1263164.5259294342,8380504.745981934,-2.8179740862550284,1.917410961068713
Stavanger,0.33185506999901726,0.1127982732462492,632294.7077057943,8173905.558045134,-2.8639337917512195,1.9488703201208883
Leikanger,0.3374621043927918,0.11279824951057447,762538.5119339245,8668033.60122272,-3.3220661721691505,2.3074212347000698
Kristiansand,0.350435550830747,0.11349447111902315,890555.9263461898,8002396.723285847,-2.5798761353223414,1.7289311573939248
Bergen,0.3300925641090017,0.11279824951058827,592720.6287287859,8487308.98087694,-3.2048513021453564,2.2147285945704667
Skien,0.375423076065104,0.11280096373082002,1068667.111615425,8223740.701207093,-2.7357457506444556,1.8518575109685127
Arendal,0.362604329061358,0.11304002603109234,975826.656293836,8065597.929270066,-2.6102020724662287,1.7532022086280454
Hamar,0.37512465060940525,0.11279824952495898,1232195.4435907442,8584609.14059896,-3.042138225519051,2.092186601459983
Tonsberg,0.3828167071474294,0.11280443376590618,1160060.4135567036,8237667.527729335,-2.712512405972407,1.8343606745997603
Drammen,0.37975247201969026,0.11279831283075487,1134423.5348270126,8345878.403312952,-2.835156623886374,1.9299226697353955
Haugesund,0.32980976581862725,0.1127982497221365,587488.6126615001,8269951.931427885,-2.9818770799232217,2.040628290885828
Alesund,0.31043306904841045,0.1127982495105744,711108.9071874304,8989639.802622322,-3.6763648224525367,2.583642385342018
Sandnes,0.33088133129529756,0.11279832059082234,633407.9026137269,8147046.657701346,-2.835655691151305,1.926802966477264
Gjovik,0.37299684683927103,0.11279824951924755,1191118.551488027,8580044.128124397,-3.0543355172676216,2.101420635630337
Moss,0.38475160602771524,0.11280047656719457,1187689.9111715932,8275444.877846608,-2.7402561137990267,1.8562121817036434
Lodz,0.17201889263689324,0.11275947785277365,2165319.9432162815,6759544.366055233,-0.7673165829833657,0.3228949679916093
Lublin,0.1437464045738109,0.11278342506716599,2512781.4698293274,6665706.678845235,-0.526953105671697,0.13769022866523883
Wroclaw,0.137649702935923,0.11277446842628382,1895770.9282094496,6640845.487108363,-0.7554393659186394,0.31173506050440736
Bialystok,0.23287336616392457,0.11187284634721359,2579272.60168015,7010866.449434419,-0.8570589055094251,0.39585131768567994
Poznan,0.20061867220000248,0.03295328989941598,1881288.2624572443,6873834.51902556,-1.0027279422508206,0.5046781482852731
Zielona Gora,0.17377957712552972,0.07312231115065167,1725452.1072957406,6791162.102031016,-0.9813106535925424,0.48686732059604676
Bydgoszcz,0.2387624807610324,0.10684120844909441,2004864.029186857,7005299.788313133,-1.0879757396250618,0.5720919641017428
Szczecin,0.24301531838296533,0.11460241483887527,1617472.2012262663,7061142.311739657,-1.3054383990702503,0.7391396136157757
Gdansk,0.29989909936857356,0.11465403408752349,2074995.3083866208,7238632.960098687,-1.300755952834053,0.7386889464091553
Olsztyn,0.27200764659281557,0.11604638202003696,2279823.1714462424,7132369.312295495,-1.1062937285673442,0.5883177208813439
Katowice,0.10258956353051464,0.11276795929044948,2117296.714888062,6491495.262170752,-0.509469419039088,0.1212715599487959
Rzeszow,0.09430510154597009,0.1049600112389026,2449028.797452019,6458494.162864023,-0.33859938334170714,-0.00979366358845457
Krakow,0.09474264404286237,0.11236690344530186,2221937.036233741,6456673.275328225,-0.4302855559205332,0.06019003189368011
Opole,0.11981473514727736,0.11279759117536803,1996103.185261427,6565761.886425996,-0.6363291946896705,0.21945509423545317
Kielce,0.12996483500078723,0.11279091363175776,2299860.6797890305,6601929.60198324,-0.5486283586513583,0.1531195257679725
Gdynia,0.30725016197416594,0.11334437544919533,2062750.1643993584,7269336.430500093,-1.3376029823307514,0.7673676171784907
