city_ascii,GEOprob,BIOprob,x,y,bio_x,bio_y
Vaduz,0.14319104026223653,0.038652603438678546,1059394.1980323463,5963924.685910614,-0.21987510630918505,-0.5038939390608648
Klaipeda,0.055284493508150324,0.005071764448624771,2351056.513604858,7502955.365876916,-0.7670705878688229,0.4881081050026408
Vilnius,0.18373099616778682,0.009001907145893703,2818231.0206169887,7300661.381083198,-0.43426687385666574,0.5667440816498082
Siauliai,0.1826006442185444,0.009680249357627525,2596527.122753106,7546202.349830315,-0.6967745720236436,0.5846277290091404
Kaunas,0.19559801036714589,0.007555419734263071,2658309.440143372,7352245.7089611525,-0.5358387045088269,0.5333050598456874
Panevezys,0.1984852345213416,0.010685767187780998,2712855.990632078,7506830.163816889,-0.6215969353335464,0.6082690810557798
Diekirch,0.6451622059827691,0.09968676708097711,686473.9038748804,6426089.932192703,-0.6957996456755517,-0.45566934842115403
Grevenmacher,0.631753224008846,0.09178804400810373,705019.7310410405,6394482.317900557,-0.6661009599417951,-0.4612509257507349
Luxembourg,0.6477896036700819,0.07389206256665981,682388.478562767,6379298.722272802,-0.6647524043638522,-0.47428266047877976
Daugavpils,0.13871933315313675,0.02092261363509823,2951079.7009296827,7534564.044063807,-0.5434209290240504,0.696683971134036
Ventspils,0.08488558433437758,0.011881919302599646,2400115.013197456,7840231.952266772,-0.9828309481567516,0.6287105062805547
Riga,0.197870928826639,0.019214856667098584,2682799.728117893,7749905.9659611825,-0.8038870999966998,0.6881351479997666
Liepaga,0.048206965241381065,0.007981474627817372,2338822.501566677,7660619.4466461865,-0.8823338702905628,0.5422937737632876
Jelgava,0.19277938081129273,0.013889292303813203,2639696.8212827384,7689462.376160315,-0.7792734184582923,0.6516779190542961
Rezekne,0.1011449059377738,0.04380204544118238,3040870.002203536,7658602.2929882975,-0.5933836874441085,0.7719379320153963
Monaco,0.496347260604874,0.49232796367885284,824532.3363566984,5425232.718554642,0.06063254909091009,-0.7798217782767032
Balti,0.0740683757323034,0.06218462030162206,3106403.786433538,6066870.822390789,0.5465355184223886,0.20586868269172376
Cahul,0.061583690828803724,0.0643155520376956,3138586.251221872,5765602.394446149,0.7703899092055395,0.10521901062414196
Chisinau,0.03634897083481319,0.06500081723656599,3212424.4694650513,5942890.237883396,0.6766568202700767,0.1948946982652271
Tiraspol,0.01493565904961505,0.05970236962157078,3299509.707112627,5918129.129727772,0.7296397112959743,0.21433282342926852
Dubasari,0.026844986761313357,0.05739813418516463,3246165.407124492,5985124.924754398,0.6609419931848071,0.2215579638629004
Podgorica,-0.014703685445607913,0.15235722077980038,2144714.705470446,5231041.611723426,0.7371389006235769,-0.41826571379298416
Skopje,0.0762357969913848,0.20834885907698827,2385966.305917628,5160979.444049783,0.8849426285627038,-0.3649578193967127
Bitola,0.0698740281176914,0.14850699324358985,2375502.2737830617,5018110.616673192,0.9805632681106649,-0.4211306831774828
