city_ascii,GEOprob,BIOprob,x,y,bio_x,bio_y
Vaduz,0.1111111110956688,0.01139277041431401,1059394.1980323463,5963924.685910614,-0.13914092880425155,-0.08536183581100165
Klaipeda,0.11111111109586777,0.010740050847980073,2351056.513604858,7502955.365876916,-0.12034184901182021,-0.16314640689615956
Vilnius,0.11111111109586327,0.0327006598542959,2818231.0206169887,7300661.381083198,0.45652439671011136,-0.048583576055562294
Siauliai,0.11111111109586329,0.04082177898258877,2596527.122753106,7546202.349830315,0.07043992994338177,-0.1310675059894999
Kaunas,0.11111111109586327,0.04462358488806532,2658309.440143372,7352245.7089611525,0.27232180677159423,-0.08447907978914226
Panevezys,0.11111111109586327,0.0488463210214239,2712855.990632078,7506830.163816889,0.20582004539498744,-0.10460901241703435
Diekirch,0.11111112259302817,0.2258306353119874,686473.9038748804,6426089.932192703,-0.8254779859700507,-0.2333462748396632
Grevenmacher,0.11111112864284012,0.17854347059898618,705019.7310410405,6394482.317900557,-0.784868073483695,-0.22436540707074182
Luxembourg,0.1111111632988213,0.18845326993241762,682388.478562767,6379298.722272802,-0.7940472118589543,-0.22521776919239012
Daugavpils,0.11111111109586327,0.031063340299565555,2951079.7009296827,7534564.044063807,0.40166293245035734,-0.07080042665600106
Ventspils,0.1111111111228187,0.013312540946128366,2400115.013197456,7840231.952266772,-0.32906219818761695,-0.21852530416017812
Riga,0.11111111109586391,0.02767631227288404,2682799.728117893,7749905.9659611825,-0.004100859875287188,-0.15523586985172566
Liepaga,0.11111111109656895,0.016620081028872916,2338822.501566677,7660619.4466461865,-0.24989666759720786,-0.19479461796102704
Jelgava,0.11111111109586363,0.02889983071092345,2639696.8212827384,7689462.376160315,0.0020966319468458394,-0.15093183569699742
Rezekne,0.11111111109586327,0.03189186241120285,3040870.002203536,7658602.2929882975,0.3901613093067837,-0.07941379183912056
Monaco,0.1110891236187182,0.03796964507140658,824532.3363566984,5425232.718554642,0.051873866710066885,-0.022548824984550575
Balti,0.11111111109586327,0.03286794771033911,3106403.786433538,6066870.822390789,1.645376822604665,0.2306003039261617
Cahul,0.11111111109585581,0.027888568747744095,3138586.251221872,5765602.394446149,1.9009422826189661,0.2925168929047576
Chisinau,0.11111111109586327,0.013348682922793703,3212424.4694650513,5942890.237883396,1.8349337609261283,0.27127838936851023
Tiraspol,0.11111111109586327,0.03518387621574568,3299509.707112627,5918129.129727772,1.9327405865213634,0.2901993281853801
Dubasari,0.11111111109586327,0.013153994865785697,3246165.407124492,5985124.924754398,1.833898545214299,0.2688644400429794
Podgorica,0.11111099000591936,0.0660709230025963,2144714.705470446,5231041.611723426,1.3985015828182248,0.2302206882819059
Skopje,0.11109789750094545,0.027039932586132912,2385966.305917628,5160979.444049783,1.6705567765179197,0.2829129885685474
Bitola,0.11111097330281657,0.00801287216983664,2375502.2737830617,5018110.616673192,1.7683534599990192,0.3080612405913311
Tetovo,0.11110788448605188,0.03793661825015648,2334380.853884027,5162357.659070327,1.6226023289663627,0.2742037040785792
Maastricht,0.111111111400286,0.4670220555071678,631960.7492334138,6595332.201458038,-1.0021843435134015,-0.2740971251385157
Amsterdam,0.11111111097848526,-0.0038922939780496497,547313.4084342078,6863659.039714891,-1.2807252228504993,-0.3384142089228027
The Hague,0.11111110724983314,-0.02776456075888439,475334.22568727686,6814603.426035637,-1.3093459025566672,-0.3409815425535331
Haarlem,0.11111111085204466,-0.030150337663171732,515409.2423728557,6869201.07560679,-1.3139062858124735,-0.3446824117096855
Groningen,0.11111111109467606,0.08691242354043338,732482.2494197398,7023870.467125853,-1.2326469466755903,-0.33820505038800774
Middelburg,0.11111043119774174,-0.020332078991034015,401863.36176371813,6710576.735641695,-1.2980324775854069,-0.33345750495612136
Arnhem,0.11111111105972989,0.3531971859610358,659345.3439685586,6797955.991249009,-1.1294752485892756,-0.30770883323750897
Assen,0.11111111109219445,0.15479557720062234,729142.6646959418,6982997.920389787,-1.2049835296817673,-0.3310672029887739
's-Hertogenbosch,0.11111110986558023,0.3017349795658563,591852.3367005981,6743063.357513758,-1.1496311496481706,-0.30844380897594814
Zwolle,0.11111111108264576,0.2071009650677037,678714.9353665886,6895431.61657986,-1.1850753875425033,-0.32286339698110866
Utrecht,0.11111111085514531,0.10241081831785004,569955.792861562,6818281.337889219,-1.2260460796053216,-0.3261732221645811
Leeuwarden,0.11111111109572587,-0.03180163043535483,643805.143053819,7029450.123692404,-1.3174937328954188,-0.3537802338846491
Rotterdam,0.11111110636588432,0.017739033152397162,498711.3187538657,6785673.333785048,-1.2663529310753,-0.3317127015257556
Eindhoven,0.11111110983800071,0.42551134783194167,612257.1993630035,6697711.123236825,-1.0970062596600858,-0.2965741364095035
Vossavangen,0.11111110987747043,0.06971780575524701,717008.840199474,8541356.190229671,-2.3865615782755576,-0.6260590498599478
Oslo,0.005544761782043721,0.005544761782043734,1196684.5260276902,8381215.3676753575,-1.829987798918883,-0.5173740994054067
Lillehammer,0.11109818898161981,0.05060509071966381,1168854.653329373,8656495.30109446,-2.0620734459562167,-0.5736913104426978
Baerum,0.09518185682219613,0.013791165473776361,1263164.5259294342,8380504.745981934,-1.7689875651481861,-0.5063504785257745
Stavanger,0.11111111106839473,0.06433521279198688,632294.7077057943,8173905.558045134,-2.187606715638779,-0.5708475020750577
Leikanger,0.11111111099629646,0.0699789807558569,762538.5119339245,8668033.60122272,-2.440302548487744,-0.6424189137870039
Kristiansand,0.11111111086246828,0.005783750681367675,890555.9263461898,8002396.723285847,-1.823880105870539,-0.4962947637760694
Bergen,0.1111111109101435,0.0700329868517251,592720.6287287859,8487308.98087694,-2.4590102244804184,-0.6362565374637988
Skien,0.11108503853298958,0.005581906949576073,1068667.111615425,8223740.701207093,-1.8281400449805654,-0.5087359201031406
Arendal,0.1111110941178068,0.009359716292332296,975826.656293836,8065597.929270066,-1.7937954734878314,-0.4942098274229113
Hamar,0.11102191438946873,0.027474453928836528,1232195.4435907442,8584609.14059896,-1.9504658224502442,-0.5497994173801738
Tonsberg,0.1105942744367909,0.016440466456790377,1160060.4135567036,8237667.527729335,-1.7554748172767276,-0.4963834300700397
Drammen,0.10473731353480693,0.008342914426341564,1134423.5348270126,8345878.403312952,-1.860073955724408,-0.5209289031300467
Haugesund,0.11111111095850416,0.06866014667245324,587488.6126615001,8269951.931427885,-2.300503874801038,-0.5962458785020915
