city_ascii,GEOprob,BIOprob,x,y,bio_x,bio_y
Vaduz,0.08113836481917518,0.02178271197057579,1059394.1980323463,5963924.685910614,0.3124749057896621,0.5537825497492772
Klaipeda,0.504832480097512,0.4752374640902719,2351056.513604858,7502955.365876916,0.6573828504851128,-0.13497679846689437
Vilnius,0.7367577313456348,0.6273877512040668,2818231.0206169887,7300661.381083198,0.7669188963824304,-0.22258648853643503
Siauliai,0.6350205284380591,0.5788032187810535,2596527.122753106,7546202.349830315,0.7179344240921023,-0.21283258585720688
Kaunas,0.6564395643592401,0.5734146806023168,2658309.440143372,7352245.7089611525,0.7290688353709787,-0.18883723692360244
Panevezys,0.6940077376558725,0.6176458712654265,2712855.990632078,7506830.163816889,0.7454299472796305,-0.23698869478216888
Diekirch,0.07015265331961577,0.012604910781257183,686473.9038748804,6426089.932192703,0.23106498992726482,0.5597301069491398
Grevenmacher,0.07129649768480435,0.01303421310913655,705019.7310410405,6394482.317900557,0.23494076768264444,0.5612694345013487
Luxembourg,0.07350467542923528,0.01344586290164703,682388.478562767,6379298.722272802,0.22913377604764978,0.5708300067044323
Daugavpils,0.81471592489448,0.7079110303600289,2951079.7009296827,7534564.044063807,0.8039085405230983,-0.3095164539324018
Ventspils,0.5433292400403792,0.5465055781512258,2400115.013197456,7840231.952266772,0.6760713916679083,-0.22047075102301905
Riga,0.6835236872554631,0.6408743462059385,2682799.728117893,7749905.9659611825,0.7429940683115055,-0.2803098118968457
Liepaga,0.5069450618751654,0.49502531264242905,2338822.501566677,7660619.4466461865,0.6575683852244073,-0.16510655958843
Jelgava,0.661365899253985,0.6163483092616477,2639696.8212827384,7689462.376160315,0.731302337969599,-0.2553923201858814
Rezekne,0.8561269013352457,0.7522687186712302,3040870.002203536,7658602.2929882975,0.8282267073770951,-0.3610244955310704
Monaco,0.12130557333417562,0.03628970886814696,824532.3363566984,5425232.718554642,0.244572262242915,0.7341033416986349
Balti,0.5974671848443598,0.5436427842582144,3106403.786433538,6066870.822390789,0.8122567588793591,-0.04062807179008043
Cahul,0.4957691492694433,0.5057937166401342,3138586.251221872,5765602.394446149,0.8140432190003825,0.01448194217732457
Chisinau,0.5943704164162259,0.5649694883037497,3212424.4694650513,5942890.237883396,0.8355500460902396,-0.04389631209089284
Tiraspol,0.6188435315311064,0.5951255928573557,3299509.707112627,5918129.129727772,0.856228010531587,-0.06298290007025376
Dubasari,0.6243709643388398,0.5853556914944241,3246165.407124492,5985124.924754398,0.844600495409263,-0.06232056368047045
Podgorica,0.07522711222819563,0.11828734446884845,2144714.705470446,5231041.611723426,0.5616746036704138,0.40620186409085535
Skopje,0.09244654588784876,0.165934067839629,2385966.305917628,5160979.444049783,0.6189292211489735,0.35363853530462297
Bitola,0.06444827851648931,0.1513480285436984,2375502.2737830617,5018110.616673192,0.6135213402692311,0.38696796835879654
Tetovo,0.08548566334551595,0.1537410149212509,2334380.853884027,5162357.659070327,0.6064141439497532,0.36777255984890456
Maastricht,0.06197823338176297,0.01022903606098553,631960.7492334138,6595332.201458038,0.22120266698290109,0.5389610189767673
Amsterdam,0.05104072382985733,0.006986061309087935,547313.4084342078,6863659.039714891,0.20599940875981093,0.5055343326160784
The Hague,0.05817597482037106,0.008107992798951108,475334.22568727686,6814603.426035637,0.187514837013454,0.5361044891738356
Haarlem,0.052624262693531036,0.0069606141840372095,515409.2423728557,6869201.07560679,0.1983531795637204,0.513277863458667
Groningen,0.038146229771525444,0.011541572889592181,732482.2494197398,7023870.467125853,0.2542333534689702,0.41965326791281754
Middelburg,0.06985955547360675,0.01184926376054793,401863.36176371813,6710576.735641695,0.1675657507663657,0.5787898303500696
Arnhem,0.04911981984530632,0.008464146341767247,659345.3439685586,6797955.991249009,0.23192239137506337,0.48818325982555866
Assen,0.03947573328297818,0.010969392226484222,729142.6646959418,6982997.920389787,0.2526021179794476,0.4292850649276816
's-Hertogenbosch,0.05516511483707889,0.008360550804097755,591852.3367005981,6743063.357513758,0.21441161184223995,0.5187408658213186
Zwolle,0.04388407057057061,0.00869900969673598,678714.9353665886,6895431.61657986,0.23858576164931705,0.46202293498259217
Utrecht,0.05216895384033525,0.007498086280874898,569955.792861562,6818281.337889219,0.21059523771830174,0.5088582555122534
Leeuwarden,0.0397198566517587,0.007957710595395264,643805.143053819,7029450.123692404,0.2327838691684801,0.4432669313961728
Rotterdam,0.058251810160779974,0.00829336183145971,498711.3187538657,6785673.333785048,0.19261897619170026,0.5357228343227378
Eindhoven,0.05674026506990907,0.00890951412123053,612257.1993630035,6697711.123236825,0.2184639109023085,0.5226851546094773
Vossavangen,0.10466331088517236,0.08275547534556585,717008.840199474,8541356.190229671,0.28088703439529455,0.10105575868332162
Oslo,0.1426331397752389,0.10571745185827726,1196684.5260276902,8381215.3676753575,0.3943075721336881,0.0009794574733374972
Lillehammer,0.16625491879616874,0.21199110458982778,1168854.653329373,8656495.30109446,0.39305851513824375,-0.04981745827271533
Baerum,0.15544833640749386,0.20619091475353107,1263164.5259294342,8380504.745981934,0.41045755274189083,-0.017462309058317693
Stavanger,0.06676737123362321,0.04182034541926583,632294.7077057943,8173905.558045134,0.252924236165537,0.20294292367744227
Leikanger,0.12117557600574402,0.10382576151891879,762538.5119339245,8668033.60122272,0.29449638587767196,0.061364817482400635
Kristiansand,0.06658353533025056,0.0728381606653192,890555.9263461898,8002396.723285847,0.31228128174187453,0.16721050616463295
Bergen,0.09479751042296314,0.055936178405692795,592720.6287287859,8487308.98087694,0.2495837777545381,0.14731782121940773
Skien,0.10618415388298284,0.13273832561896914,1068667.111615425,8223740.701207093,0.3600245179859684,0.0702941393419172
Arendal,0.08012494738449966,0.09541233753968786,975826.656293836,8065597.929270066,0.33428114490948163,0.12991277676650892
Hamar,0.16989577759715446,0.22266821493785074,1232195.4435907442,8584609.14059896,0.40701859777473487,-0.052234909324947676
Tonsberg,0.12218818711873318,0.15862021518179822,1160060.4135567036,8237667.527729335,0.3825254104773953,0.041769783361327306
Drammen,0.12823768504321814,0.16388116941897168,1134423.5348270126,8345878.403312952,0.3784608937369571,0.025912284529780116
Haugesund,0.07420120452215943,0.0411514134764361,587488.6126615001,8269951.931427885,0.24395501532876046,0.19503527066628168
Alesund,0.1553733969190253,0.12375845508342902,711108.9071874304,8989639.802622322,0.2884377391623097,0.007309870388892303
Sandnes,0.06464790757214854,0.04042048372637486,633407.9026137269,8147046.657701346,0.2526565526603852,0.20834723451739579
Gjovik,0.1619696643329246,0.20916982824281088,1191118.551488027,8580044.128124397,0.3969394916428362,-0.0397751621283442
Moss,0.1307053771970565,0.17078922719077919,1187689.9111715932,8275444.877846608,0.39000055752025947,0.026003300030796428
Lodz,0.33701950242273854,0.2893756101778044,2165319.9432162815,6759544.366055233,0.5973214185833963,0.07516949941669937
Lublin,0.4858319892783477,0.4057295155997257,2512781.4698293274,6665706.678845235,0.6799238117139145,-0.002038906577963129
Wroclaw,0.21699212784499283,0.18609358921738064,1895770.9282094496,6640845.487108363,0.5294029898469037,0.17581585354332385
Bialystok,0.5776955161239318,0.487904862236587,2579272.60168015,7010866.449434419,0.7030090034807026,-0.09408594463027242
Poznan,0.23371167112721294,0.20961076854438312,1881288.2624572443,6873834.51902556,0.530551564383533,0.1302856372036747
Zielona Gora,0.17444683929891716,0.1547827859744095,1725452.1072957406,6791162.102031016,0.4910038557257281,0.19146248520005438
