city_ascii,GEOprob,BIOprob,x,y,bio_x,bio_y
Vaduz,0.634758116274396,0.5409182292211435,1059394.1980323463,5963924.685910614,0.8526940052653869,0.5861332682277314
Klaipeda,0.2630925161282937,0.29999470147588975,2351056.513604858,7502955.365876916,0.36163977573409856,-0.44836900713970973
Vilnius,0.26921386145814175,0.21270632879590626,2818231.0206169887,7300661.381083198,0.9226015977218749,-0.47967916117695
Siauliai,0.26210570425777735,0.2461655382122883,2596527.122753106,7546202.349830315,0.5108635313976251,-0.5323757057748209
Kaunas,0.26504961693613593,0.23349738416870253,2658309.440143372,7352245.7089611525,0.7477652287028116,-0.4609812704710139
Panevezys,0.2612254584567997,0.22062376081358778,2712855.990632078,7506830.163816889,0.6398410953637113,-0.5451414223490918
Diekirch,0.5488054145069697,0.5687901751898625,686473.9038748804,6426089.932192703,0.11229362048143354,0.4752907894464906
Grevenmacher,0.5586234135996604,0.5696948904331169,705019.7310410405,6394482.317900557,0.15750679444215265,0.4846988458631891
Luxembourg,0.5622316505187059,0.571506622552931,682388.478562767,6379298.722272802,0.15464497782606923,0.49750190781903525
Daugavpils,0.26280088777490934,0.1772676093636223,2951079.7009296827,7534564.044063807,0.7985136520732059,-0.6202367040264436
Ventspils,0.2888935675160157,0.3213284124130352,2400115.013197456,7840231.952266772,0.07164963712141681,-0.6136197646323547
Riga,0.27494822125263396,0.24032893599859215,2682799.728117893,7749905.9659611825,0.37986457675520047,-0.6470580924978799
Liepaga,0.27037913383987,0.3150479992174252,2338822.501566677,7660619.4466461865,0.198672556746466,-0.5163813415698897
Jelgava,0.26979194288484615,0.2451658742325187,2639696.8212827384,7689462.376160315,0.4050932230725808,-0.6084320142440536
Rezekne,0.268415995343809,0.15979685890471887,3040870.002203536,7658602.2929882975,0.747783469083898,-0.6998537892719252
Monaco,0.55290295581153,0.5454191510797423,824532.3363566984,5425232.718554642,1.1938859647164417,0.8911731595087686
Balti,0.6725108517772923,0.6530148444508552,3106403.786433538,6066870.822390789,2.3478687029889604,0.002006278411397222
Cahul,0.8002211006853294,0.787951134170268,3138586.251221872,5765602.394446149,2.666133086395307,0.12965330280409404
Chisinau,0.7149404595994076,0.7340570582585971,3212424.4694650513,5942890.237883396,2.55115006179625,0.03017008832006418
Tiraspol,0.7119771677564705,0.7663612583109335,3299509.707112627,5918129.129727772,2.6431173740748473,0.018484214931381082
Dubasari,0.6915816055786475,0.7243785261641825,3246165.407124492,5985124.924754398,2.5363452612050157,0.0022287620351200133
Podgorica,0.8696025267227789,0.725701378322084,2144714.705470446,5231041.611723426,2.41176278121101,0.632171000565521
Skopje,0.9375278203285534,0.8030872411144815,2385966.305917628,5160979.444049783,2.667966443765682,0.6004602760113489
Bitola,0.9368804758623374,0.8360217156939921,2375502.2737830617,5018110.616673192,2.798845548055338,0.6677501379114159
Tetovo,0.9251220816043095,0.7901825570762565,2334380.853884027,5162357.659070327,2.626421569366701,0.6133859138356836
