city_ascii,GEOprob,BIOprob,x,y,bio_x,bio_y
Vaduz,0.3564767427963683,0.4219205263613649,1059394.1980323463,5963924.685910614,0.8526940052653869,0.5861332682277314
Klaipeda,0.3564767427963683,0.3407813992054914,2351056.513604858,7502955.365876916,0.36163977573409856,-0.44836900713970973
Vilnius,0.3564767427963683,0.4086063212258776,2818231.0206169887,7300661.381083198,0.9226015977218749,-0.47967916117695
Siauliai,0.3564767427963683,0.35916499452207734,2596527.122753106,7546202.349830315,0.5108635313976251,-0.5323757057748209
Kaunas,0.3564767427963683,0.38415374220244014,2658309.440143372,7352245.7089611525,0.7477652287028116,-0.4609812704710139
Panevezys,0.3564767427963683,0.37309798062663463,2712855.990632078,7506830.163816889,0.6398410953637113,-0.5451414223490918
Diekirch,0.3564767427937167,0.2919799208598085,686473.9038748804,6426089.932192703,0.11229362048143354,0.4752907894464906
Grevenmacher,0.3564767427950697,0.2985195820850365,705019.7310410405,6394482.317900557,0.15750679444215265,0.4846988458631891
Luxembourg,0.35647674277626434,0.2988013476219695,682388.478562767,6379298.722272802,0.15464497782606923,0.49750190781903525
Daugavpils,0.3564767427963683,0.39312367580203744,2951079.7009296827,7534564.044063807,0.7985136520732059,-0.6202367040264436
Ventspils,0.35647674279636843,0.3360630215717342,2400115.013197456,7840231.952266772,0.07164963712141681,-0.6136197646323547
Riga,0.3564767427963683,0.35479582163806284,2682799.728117893,7749905.9659611825,0.37986457675520047,-0.6470580924978799
Liepaga,0.3564767427963683,0.3338742423206803,2338822.501566677,7660619.4466461865,0.198672556746466,-0.5163813415698897
Jelgava,0.3564767427963683,0.35422996091219167,2639696.8212827384,7689462.376160315,0.4050932230725808,-0.6084320142440536
Rezekne,0.3564767427963683,0.3887018723327361,3040870.002203536,7658602.2929882975,0.747783469083898,-0.6998537892719252
Monaco,0.3567837364416057,0.47256896909119794,824532.3363566984,5425232.718554642,1.1938859647164417,0.8911731595087686
Balti,0.356476742796369,0.4785394528318281,3106403.786433538,6066870.822390789,2.3478687029889604,0.002006278411397222
