city_ascii,GEOprob,BIOprob,x,y,bio_x,bio_y
Vaduz,0.1357285036492219,0.723924578912784,1059394.1980323463,5963924.685910614,-0.157749817093094,0.5607191448675046
Klaipeda,0.4432870107792248,0.7342670901492167,2351056.513604858,7502955.365876916,1.3116797121153891,-0.058192209157757135
Vilnius,0.40494921550151114,0.7487685541959032,2818231.0206169887,7300661.381083198,1.6607997501736675,-0.14947268074629894
Siauliai,0.44186871207240647,0.7503344709064277,2596527.122753106,7546202.349830315,1.531050100539447,-0.13227571244890535
Kaunas,0.4229549892108816,0.7567384574411126,2658309.440143372,7352245.7089611525,1.5370459772298433,-0.11514029159000105
Panevezys,0.4326967375354682,0.7464467222611155,2712855.990632078,7506830.163816889,1.6206257824188088,-0.15692649877788045
Diekirch,0.17064124025980587,0.7377137558433478,686473.9038748804,6426089.932192703,-0.3641879687308305,0.5810601928238088
Grevenmacher,0.16900611837244614,0.7374971800304193,705019.7310410405,6394482.317900557,-0.35599349604495334,0.5815549499849906
Luxembourg,0.16858866221576846,0.7353295809330069,682388.478562767,6379298.722272802,-0.37890859625977935,0.590340882803772
Daugavpils,0.4134578203108479,0.6890223202528944,2951079.7009296827,7534564.044063807,1.8300992452513092,-0.22633608717164866
Ventspils,0.4509579279779144,0.736811996065241,2400115.013197456,7840231.952266772,1.4344827851884752,-0.13040343595995485
Riga,0.44658362488078707,0.7315978344523911,2682799.728117893,7749905.9659611825,1.6534414980420258,-0.1912406114889713
Liepaga,0.44921230511208554,0.7336432262579047,2338822.501566677,7660619.4466461865,1.3391463654161524,-0.08241702265804851
Jelgava,0.4467687930189076,0.7410232364386181,2639696.8212827384,7689462.376160315,1.6022233916523212,-0.16900034820190757
Rezekne,0.4123536083875617,0.6241663490907005,3040870.002203536,7658602.2929882975,1.936344190763188,-0.2723385316388327
Monaco,0.15281669241859322,0.6905078504412892,824532.3363566984,5425232.718554642,-0.48712920131716775,0.7184710920374688
Balti,0.23293656526077763,0.7788704822496098,3106403.786433538,6066870.822390789,1.6096902041736176,-0.012058325087166866
Cahul,0.22365354790188124,0.77827014774471,3138586.251221872,5765602.394446149,1.5647026596286113,0.031844543372952616
Chisinau,0.22495809126586847,0.7761846025482009,3212424.4694650513,5942890.237883396,1.6701612186576065,-0.019136026735912637
Tiraspol,0.22242457853192077,0.7668420952225632,3299509.707112627,5918129.129727772,1.738351178055637,-0.038413242793022384
Dubasari,0.225073355962287,0.7711907333915586,3246165.407124492,5985124.924754398,1.7090340311325263,-0.03565823506586452
Podgorica,0.15882445007951768,0.6074944714722755,2144714.705470446,5231041.611723426,0.5901390924616972,0.39458701579385447
Skopje,0.18759331403426646,0.611734587431467,2385966.305917628,5160979.444049783,0.7786928487483973,0.3414396768977779
Bitola,0.19618089559953011,0.6001560839425486,2375502.2737830617,5018110.616673192,0.7354572568502804,0.36923185824324567
Tetovo,0.18187434624654158,0.6080451953251018,2334380.853884027,5162357.659070327,0.7351071334947723,0.3551799849161654
Maastricht,0.17731182309535026,0.7412080367021404,631960.7492334138,6595332.201458038,-0.36993342936390583,0.5662717073220125
Amsterdam,0.18011580772121313,0.7454755268475328,547313.4084342078,6863659.039714891,-0.3775263170953016,0.5423424345303682
The Hague,0.17700571744431287,0.7359997688559897,475334.22568727686,6814603.426035637,-0.450591817137719,0.5704197124557997
Haarlem,0.17844958972290983,0.7429168340400573,515409.2423728557,6869201.07560679,-0.4033560859036567,0.5500212507285454
Groningen,0.19957804508802382,0.7525348410673677,732482.2494197398,7023870.467125853,-0.18139028272435098,0.46417114089823075
Middelburg,0.1775288926193101,0.7188975141741446,401863.36176371813,6710576.735641695,-0.5381351597910173,0.6085035542990571
Arnhem,0.185714873322266,0.7494237231709978,659345.3439685586,6797955.991249009,-0.29793531568123965,0.52345567475934
Assen,0.19808003621147932,0.7524385251661789,729142.6646959418,6982997.920389787,-0.19405386645909273,0.4722158233247642
's-Hertogenbosch,0.18048234734185284,0.7442456824960855,591852.3367005981,6743063.357513758,-0.3685840083525007,0.5513366810416387
Zwolle,0.19032705350102372,0.7519197041435092,678714.9353665886,6895431.61657986,-0.25802468155002023,0.5011790729294587
Utrecht,0.1808598862932814,0.7455006089602789,569955.792861562,6818281.337889219,-0.3691528151172312,0.5441322552912091
Leeuwarden,0.18951397010794985,0.7538574345781538,643805.143053819,7029450.123692404,-0.25554419803759076,0.4872303880763371
Rotterdam,0.17773299734184037,0.7373768629928342,498711.3187538657,6785673.333785048,-0.43764095635666855,0.5691373597190861
Eindhoven,0.18010047979109145,0.7439247876271938,612257.1993630035,6697711.123236825,-0.3621092834209043,0.5537284820858819
Vossavangen,0.07168464696938749,0.6981520389386866,717008.840199474,8541356.190229671,0.1700431601350063,0.20329237162062008
Oslo,0.20045536285845916,0.6472175129330237,1196684.5260276902,8381215.3676753575,0.5399341250447574,0.10126048149634248
Lillehammer,0.1486428471643392,0.6342563263749442,1168854.653329373,8656495.30109446,0.5823829529237994,0.060717580110323466
Baerum,0.21621449319257852,0.6429618050573441,1263164.5259294342,8380504.745981934,0.5963605964907086,0.08336673375734827
Stavanger,0.10774685040686714,0.7328790607923863,632294.7077057943,8173905.558045134,0.009635026908236366,0.2904380034664975
Leikanger,0.06225667373739601,0.6816806228682598,762538.5119339245,8668033.60122272,0.23924128705457948,0.16882474951059723
Kristiansand,0.18377523650422684,0.7068916725508045,890555.9263461898,8002396.723285847,0.1882951732341085,0.2504011730934581
Bergen,0.05729520731348725,0.7198971688570374,592720.6287287859,8487308.98087694,0.051245457930609195,0.2464187368741979
Skien,0.19477094170435932,0.6689943862708587,1068667.111615425,8223740.701207093,0.39311105965516946,0.16346413866919285
Arendal,0.1951655641426862,0.6908340478690487,975826.656293836,8065597.929270066,0.27607508932933467,0.21625059221947196
Hamar,0.1750223437837821,0.6346577369059722,1232195.4435907442,8584609.14059896,0.619035522244308,0.05610749595581854
Tonsberg,0.21423325259202516,0.6580136339939108,1160060.4135567036,8237667.527729335,0.4742642128859891,0.13626136128898714
Drammen,0.1914806866312221,0.6545923830798154,1134423.5348270126,8345878.403312952,0.4784383118097746,0.12430751037339993
Haugesund,0.08641670850102379,0.7331991025873055,587488.6126615001,8269951.931427885,-0.005433199573284586,0.28580440851123656
Alesund,0.014778896186984573,0.6632939295959743,711108.9071874304,8989639.802622322,0.2727294949505894,0.1265858001319049
Sandnes,0.1115799957973994,0.7340982910790409,633407.9026137269,8147046.657701346,0.004129342948613335,0.294827976186093
Gjovik,0.1663421460504285,0.6370833818950408,1191118.551488027,8580044.128124397,0.5829682043937985,0.06803785542188812
Moss,0.2150358282074372,0.6534481978023072,1187689.9111715932,8275444.877846608,0.5068631348701067,0.1221741204551392
Lodz,0.34365329129977806,0.6832797083839395,2165319.9432162815,6759544.366055233,0.9749348652830805,0.12200551622928058
Lublin,0.3303647668169559,0.7348826036850582,2512781.4698293274,6665706.678845235,1.248197038138405,0.04422549200103254
Wroclaw,0.3036795495534136,0.6564635591298609,1895770.9282094496,6640845.487108363,0.7169366776438539,0.21579476015483112
Bialystok,0.3846399839553455,0.7549878562679628,2579272.60168015,7010866.449434419,1.387735336609837,-0.034087474308995835
Poznan,0.34445594869899554,0.6606702269019301,1881288.2624572443,6873834.51902556,0.7605872991360654,0.179021725692466
Zielona Gora,0.31407745882382015,0.6582349678446802,1725452.1072957406,6791162.102031016,0.6080537245748228,0.23569865201771711
Bydgoszcz,0.37589082620085834,0.6730137373531132,2004864.029186857,7005299.788313133,0.8973797203490963,0.12256516370266168
Szczecin,0.3403840231689264,0.6614834946791045,1617472.2012262663,7061142.311739657,0.5809941011552207,0.21780432672394534
Gdansk,0.4109321857191786,0.6882253427803436,2074995.3083866208,7238632.960098687,1.013148429180148,0.06279934746349003
Olsztyn,0.4067240733572175,0.7154144064663733,2279823.1714462424,7132369.312295495,1.1619949928617923,0.025847455289881305
Katowice,0.2904330690315746,0.6660314542501412,2117296.714888062,6491495.262170752,0.8696464634534373,0.18184358766121478
Rzeszow,0.2944286526545605,0.7131198066988215,2449028.797452019,6458494.162864023,1.1441347201848058,0.09769981022088392
Krakow,0.2888289481811513,0.6767126245982392,2221937.036233741,6456673.275328225,0.9503644726356382,0.15956589059317228
Opole,0.29713977213167664,0.6589414788159081,1996103.185261427,6565761.886425996,0.7843133847789914,0.20171751269025173
Kielce,0.3185996887440074,0.6957109655688146,2299860.6797890305,6601929.60198324,1.0516049065191218,0.11307328444639198
Gdynia,0.4132314529049458,0.6874527941742825,2062750.1643993584,7269336.430500093,1.0101007535522633,0.060754869437698034
Grudziadz,0.3911611269316902,0.684715438723892,2087240.45237388,7072358.036243138,0.9836223239442021,0.08852527505501917
Inowroclaw,0.3680148068382891,0.6739025788374599,2031580.706977244,6942388.698952246,0.9050090885674127,0.12631345065369604
Gliwice,0.29052675642205483,0.6628582604640464,2078334.8931104185,6503693.141553285,0.8394074171518509,0.19027258516534418
Bytom,0.2927633161405744,0.665474675589083,2105051.5709008025,6507111.76723892,0.8629738395776454,0.18243448160744236
Warsaw,0.3630799783470321,0.7136241386554326,2337709.306658744,6845455.502518217,1.1423390482288327,0.06027648729152135
Elblag,0.4121318137014316,0.6993275749194142,2159898.6840146496,7206222.456153219,1.077642956022927,0.045449661788380835
Elk,0.4062195611632816,0.7463271469898742,2487990.6192296655,7138723.764149788,1.3407434589601226,-0.03168154151114333
Koszalin,0.3815483510405433,0.6619321614514969,1801516.7153547846,7208125.260900677,0.7729945397326525,0.14224848988785843
Setubal,1.0,1.0,-990743.4680601356,4654569.97589773,-2.2177169369509655,1.3450783282192553
Evora,0.9579000295568916,0.8921626255744882,-880091.8942116209,4658839.8949732,-2.1224886761144854,1.3143428945688342
