city_ascii,GEOprob,BIOprob,x,y,bio_x,bio_y
Vaduz,0.06736073529912123,0.025687015849445837,1059394.1980323463,5963924.685910614,0.8636626905836762,0.6525865399684356
Klaipeda,0.4622361952344614,0.4909957552938141,2351056.513604858,7502955.365876916,-0.25828361315771176,-0.1072709551554456
Vilnius,0.6721141040358842,0.6789670588916789,2818231.0206169887,7300661.381083198,-0.10144502233957375,-0.37579671512804236
Siauliai,0.5473867910928564,0.5448006934583559,2596527.122753106,7546202.349830315,-0.28673428957319924,-0.2496061776287548
Kaunas,0.6041726164801888,0.6165151006770305,2658309.440143372,7352245.7089611525,-0.14203828855071343,-0.2837291908531685
Panevezys,0.5978006765295433,0.5833338182341928,2712855.990632078,7506830.163816889,-0.2558354328318302,-0.3165618372615051
Diekirch,0.17651558469978113,0.14992429162478896,686473.9038748804,6426089.932192703,0.5155578032122001,0.8644389924506894
Grevenmacher,0.16876368409383524,0.1290437098265429,705019.7310410405,6394482.317900557,0.5392624661954954,0.8539749048138515
Luxembourg,0.1698245741023321,0.12442586164059007,682388.478562767,6379298.722272802,0.5501858205943195,0.8671905403799205
Daugavpils,0.6721451063046718,0.62121501069513,2951079.7009296827,7534564.044063807,-0.27289223179947175,-0.4545767376327945
Ventspils,0.4170951671097378,0.43915500183585837,2400115.013197456,7840231.952266772,-0.5075980726510405,-0.1384466872509631
Riga,0.5337030055687324,0.5125748193520102,2682799.728117893,7749905.9659611825,-0.4364787597550386,-0.30119657878465556
Liepaga,0.43113420449737466,0.45701863434205753,2338822.501566677,7660619.4466461865,-0.37534589285259745,-0.10150442978905327
Jelgava,0.5328954640425717,0.5184731518450901,2639696.8212827384,7689462.376160315,-0.3923035163320838,-0.2757645943565039
Rezekne,0.6672748334466361,0.5903155264228,3040870.002203536,7658602.2929882975,-0.3635260114678944,-0.5075400835587371
Monaco,0.04429292657617612,0.1538954581967772,824532.3363566984,5425232.718554642,1.2595615401497566,0.7929005762852795
Balti,0.6394359540219962,0.7450623468380536,3106403.786433538,6066870.822390789,0.8174486578661977,-0.5322241827963925
Cahul,0.5362841640816387,0.5467547638667045,3138586.251221872,5765602.394446149,1.0412636539876656,-0.5483359035152156
Chisinau,0.6288274783671844,0.6914494458320606,3212424.4694650513,5942890.237883396,0.9109193347873088,-0.5925150789835674
Tiraspol,0.6453167244614705,0.6945635544915155,3299509.707112627,5918129.129727772,0.9305563810664399,-0.6426780641173211
Dubasari,0.6549416634421787,0.7290983220546097,3246165.407124492,5985124.924754398,0.8801053622655814,-0.6123810314304066
Podgorica,0.06720727709058708,0.16147101860637414,2144714.705470446,5231041.611723426,1.4229377104843421,0.030942193247624594
Skopje,0.10823785904059853,0.15869164527622423,2385966.305917628,5160979.444049783,1.478425360124703,-0.10801177889689106
