city_ascii,GEOprob,BIOprob,x,y,bio_x,bio_y
Vaduz,0.20871085018964547,0.18034834464797786,1059394.1980323463,5963924.685910614,0.571116707661965,0.5672835425461513
Klaipeda,0.18291635413416968,0.34248692790918805,2351056.513604858,7502955.365876916,-0.12828161853644904,-0.6455200101107406
Vilnius,0.1982970545336468,0.3625326050759624,2818231.0206169887,7300661.381083198,0.04094956940101202,-0.8750623870713681
Siauliai,0.19205285808265848,0.3518664137270169,2596527.122753106,7546202.349830315,-0.12254942270733737,-0.8073326457022998
Kaunas,0.19138983328226183,0.35625370329424993,2658309.440143372,7352245.7089611525,-0.007154545025489956,-0.7916191928038523
Panevezys,0.1965335604539904,0.35502475985409043,2712855.990632078,7506830.163816889,-0.08652925476957485,-0.8675207312683573
Diekirch,0.2633697860961313,0.2618348143282389,686473.9038748804,6426089.932192703,0.2687592617622099,0.6676671992599976
Grevenmacher,0.2604110249047208,0.23833315139507896,705019.7310410405,6394482.317900557,0.2885931171556826,0.6650510222039894
Luxembourg,0.2631377074553985,0.23032003975452386,682388.478562767,6379298.722272802,0.2942931432187281,0.6830543476505779
Daugavpils,0.20904169029260158,0.3576131248026316,2951079.7009296827,7534564.044063807,-0.0730466881543772,-1.0206337181316845
Ventspils,0.18988072611725304,0.34346704105497067,2400115.013197456,7840231.952266772,-0.3099529647973407,-0.7684074239163352
Riga,0.19904026200939268,0.35148537612462233,2682799.728117893,7749905.9659611825,-0.22539858044511263,-0.9161415222783758
Liepaga,0.18525569622462779,0.3416208384930399,2338822.501566677,7660619.4466461865,-0.21747397891507525,-0.6814904816080971
Jelgava,0.19621235987962843,0.35133508608889397,2639696.8212827384,7689462.376160315,-0.19700510822875827,-0.8731666822906408
Rezekne,0.21557706336137086,0.35526125740997555,3040870.002203536,7658602.2929882975,-0.1311515422770726,-1.1096404819483374
Monaco,0.22696645708460284,0.19745099278429423,824532.3363566984,5425232.718554642,0.8422852520582023,0.8591278802552238
Balti,0.19384263348675207,0.3629646121805812,3106403.786433538,6066870.822390789,0.7622729101935084,-0.7110890090496311
Cahul,0.19259570651175606,0.32661620164792415,3138586.251221872,5765602.394446149,0.9337725025673049,-0.6477327725183115
Chisinau,0.19912711376252168,0.35878764811679353,3212424.4694650513,5942890.237883396,0.8441092569689896,-0.7416702450537618
Tiraspol,0.2045000430181982,0.363684838963454,3299509.707112627,5918129.129727772,0.8684523647512647,-0.7880264776418993
Dubasari,0.20184373139087877,0.3669744833658447,3246165.407124492,5985124.924754398,0.824709129131636,-0.7739110936950606
Podgorica,0.15313515566644534,0.23252538286112195,2144714.705470446,5231041.611723426,1.1105296707176047,0.10646308293363838
Skopje,0.15859503053240223,0.20042673710838285,2385966.305917628,5160979.444049783,1.1787830942332596,-0.021553145049220124
Bitola,0.1613697219357136,0.22653765363054745,2375502.2737830617,5018110.616673192,1.2569903092916932,0.024201366941206448
Tetovo,0.1573028273029109,0.20777046433140203,2334380.853884027,5162357.659070327,1.1717560036639503,0.009567806989214223
Maastricht,0.27281015773219974,0.38970264079265454,631960.7492334138,6595332.201458038,0.1679950341165699,0.6543243772021836
Amsterdam,0.28511704649131725,0.5399259341301698,547313.4084342078,6863659.039714891,0.008453539365426366,0.6320822482972086
The Hague,0.29437172305768156,0.5932143987615723,475334.22568727686,6814603.426035637,0.02700752687033159,0.6895526772183556
Haarlem,0.2891723403365786,0.5663370939998812,515409.2423728557,6869201.07560679,0.0014986544389707923,0.6500375521537074
Groningen,0.26180049785493587,0.4059638221517679,732482.2494197398,7023870.467125853,-0.05819913583636538,0.4748657191903298
Middelburg,0.3037842436357534,0.6168692730238658,401863.36176371813,6710576.735641695,0.0759605859750776,0.7630801813451136
Arnhem,0.2707359022288108,0.4497165047140527,659345.3439685586,6797955.991249009,0.05859994378515143,0.5817730291281906
Assen,0.2622857689450637,0.4114273887652252,729142.6646959418,6982997.920389787,-0.0358672584882318,0.4881666504305424
's-Hertogenbosch,0.2791727443667284,0.48215385203472794,591852.3367005981,6743063.357513758,0.0809454739180091,0.6381122458798174
Zwolle,0.26851891723255245,0.4456168827257237,678714.9353665886,6895431.61657986,0.006725488814349312,0.5430875188419351
Utrecht,0.2822177466566557,0.5167885825384961,569955.792861562,6818281.337889219,0.036444774361037435,0.6307585775407523
Leeuwarden,0.27252949900369505,0.4584744236941861,643805.143053819,7029450.123692404,-0.07206489846849928,0.5274790922662032
Rotterdam,0.291353588141445,0.5665179758304467,498711.3187538657,6785673.333785048,0.04593821296592493,0.6832485467688962
Eindhoven,0.27626794860717746,0.45185504986313463,612257.1993630035,6697711.123236825,0.10865099638917775,0.638147902247185
Vossavangen,0.23435009971810927,0.23342715536919587,717008.840199474,8541356.190229671,-0.9042457810911522,0.06620177255980186
Oslo,0.0,0.156908138358478,1196684.5260276902,8381215.3676753575,-0.7569470210042848,-0.18258891729232696
Lillehammer,0.20933745317964003,0.18745039525669274,1168854.653329373,8656495.30109446,-0.9134611301772662,-0.24144245806523967
Baerum,0.20527703953843005,0.15888957324575315,1263164.5259294342,8380504.745981934,-0.7484837103331916,-0.22298917714659483
