city_ascii,GEOprob,BIOprob,x,y,bio_x,bio_y
Vaduz,0.2089336486704787,0.20893381385470247,1059394.1980323463,5963924.685910614,0.3124749057896621,0.5537825497492772
Klaipeda,0.2089336486704787,0.2089329192389618,2351056.513604858,7502955.365876916,0.6573828504851128,-0.13497679846689437
Vilnius,0.2089336486704787,0.20893381374556433,2818231.0206169887,7300661.381083198,0.7669188963824304,-0.22258648853643503
Siauliai,0.2089336486704787,0.20893381381820486,2596527.122753106,7546202.349830315,0.7179344240921023,-0.21283258585720688
Kaunas,0.2089336486704787,0.20893381385404697,2658309.440143372,7352245.7089611525,0.7290688353709787,-0.18883723692360244
Panevezys,0.2089336486704787,0.2089338138546755,2712855.990632078,7506830.163816889,0.7454299472796305,-0.23698869478216888
Diekirch,0.2089336486704787,0.20893381385470247,686473.9038748804,6426089.932192703,0.23106498992726482,0.5597301069491398
Grevenmacher,0.2089336486704787,0.20893381385470247,705019.7310410405,6394482.317900557,0.23494076768264444,0.5612694345013487
Luxembourg,0.2089336486704787,0.20893381385470247,682388.478562767,6379298.722272802,0.22913377604764978,0.5708300067044323
Daugavpils,0.2089336486704787,0.20893381378588904,2951079.7009296827,7534564.044063807,0.8039085405230983,-0.3095164539324018
Ventspils,0.2089336486704787,0.2089294135481353,2400115.013197456,7840231.952266772,0.6760713916679083,-0.22047075102301905
Riga,0.2089336486704787,0.20893381385470233,2682799.728117893,7749905.9659611825,0.7429940683115055,-0.2803098118968457
Liepaga,0.2089336486704787,0.20887806926027447,2338822.501566677,7660619.4466461865,0.6575683852244073,-0.16510655958843
Jelgava,0.2089336486704787,0.2089338138546957,2639696.8212827384,7689462.376160315,0.731302337969599,-0.2553923201858814
Rezekne,0.2089336486704787,0.20893381385470144,3040870.002203536,7658602.2929882975,0.8282267073770951,-0.3610244955310704
Monaco,0.2089336489942854,0.20893516420193264,824532.3363566984,5425232.718554642,0.244572262242915,0.7341033416986349
Balti,0.2089336486704787,0.20893381385470247,3106403.786433538,6066870.822390789,0.8122567588793591,-0.04062807179008043
Cahul,0.2089336486704787,0.20893381385470247,3138586.251221872,5765602.394446149,0.8140432190003825,0.01448194217732457
Chisinau,0.2089336486704787,0.20893381385470247,3212424.4694650513,5942890.237883396,0.8355500460902396,-0.04389631209089284
Tiraspol,0.2089336486704787,0.20893381385470217,3299509.707112627,5918129.129727772,0.856228010531587,-0.06298290007025376
Dubasari,0.2089336486704787,0.20893381385470236,3246165.407124492,5985124.924754398,0.844600495409263,-0.06232056368047045
Podgorica,0.2089336486704787,0.20893381331435826,2144714.705470446,5231041.611723426,0.5616746036704138,0.40620186409085535
Skopje,0.20893364985578974,0.20893659494783715,2385966.305917628,5160979.444049783,0.6189292211489735,0.35363853530462297
Bitola,0.2089336486704787,0.2089338140503479,2375502.2737830617,5018110.616673192,0.6135213402692311,0.38696796835879654
Tetovo,0.20893364867063355,0.20893382695826257,2334380.853884027,5162357.659070327,0.6064141439497532,0.36777255984890456
Maastricht,0.2089336486704787,0.20893381385470247,631960.7492334138,6595332.201458038,0.22120266698290109,0.5389610189767673
Amsterdam,0.2089336486704787,0.20893381385470247,547313.4084342078,6863659.039714891,0.20599940875981093,0.5055343326160784
The Hague,0.2089336486704787,0.20893381385470247,475334.22568727686,6814603.426035637,0.187514837013454,0.5361044891738356
Haarlem,0.2089336486704787,0.20893381385470247,515409.2423728557,6869201.07560679,0.1983531795637204,0.513277863458667
Groningen,0.2089336486704787,0.20893381385470247,732482.2494197398,7023870.467125853,0.2542333534689702,0.41965326791281754
Middelburg,0.2089336486704787,0.20893381385469958,401863.36176371813,6710576.735641695,0.1675657507663657,0.5787898303500696
