city_ascii,GEOprob,BIOprob,x,y,bio_x,bio_y
Vaduz,0.6222043146790913,0.451231204647047,1059394.1980323463,5963924.685910614,0.5627368701584652,-0.10448497004401247
Klaipeda,0.5873442059675279,0.4314035193658657,2351056.513604858,7502955.365876916,0.0060364722575786955,-1.0931906405608407
Vilnius,0.563463172803986,0.4098824648889343,2818231.0206169887,7300661.381083198,-0.2954302642022349,-0.9336145031469885
Siauliai,0.5774845661120106,0.4292890889796894,2596527.122753106,7546202.349830315,-0.13263839489175294,-1.1112468287432904
Kaunas,0.5708128280527068,0.41787226368615926,2658309.440143372,7352245.7089611525,-0.19456341518326753,-0.9762028071494537
Panevezys,0.570800214720899,0.4237305465520015,2712855.990632078,7506830.163816889,-0.20625407714372307,-1.0790075039271292
Diekirch,0.6705383265887601,0.526115928119047,686473.9038748804,6426089.932192703,0.8430469656086977,-0.43676677583692225
Grevenmacher,0.6712795723442405,0.527717127997293,705019.7310410405,6394482.317900557,0.8279691806964031,-0.41436548701059284
Luxembourg,0.6739446009691259,0.532025719304964,682388.478562767,6379298.722272802,0.8392773633454507,-0.4050710213831561
Daugavpils,0.5595126545814325,0.4164783901940341,2951079.7009296827,7534564.044063807,-0.3427129339883103,-1.0868293147458674
Ventspils,0.5952736927573572,0.4445938100295016,2400115.013197456,7840231.952266772,0.021673925791443505,-1.320745521214116
Riga,0.5798542571285051,0.4394267310041142,2682799.728117893,7749905.9659611825,-0.15650990819924032,-1.246048371325668
Liepaga,0.5916630745012964,0.4366628029421481,2338822.501566677,7660619.4466461865,0.03403077644718072,-1.201199222187359
Jelgava,0.5797733608727577,0.4364472277901709,2639696.8212827384,7689462.376160315,-0.13913135105259028,-1.2068635499846527
Rezekne,0.5578180803392145,0.4211594114362459,3040870.002203536,7658602.2929882975,-0.37916267793727837,-1.1671795659356912
Monaco,0.5810583376816602,0.3935663813891102,824532.3363566984,5425232.718554642,0.6298143702960772,0.2516839814314631
Balti,0.6801246088580558,0.5178326823566772,3106403.786433538,6066870.822390789,-0.6276843202473721,-0.07945174754714746
Cahul,0.7410658047475254,0.5915509179470503,3138586.251221872,5765602.394446149,-0.6863556598010359,0.12734317353701874
Chisinau,0.7162371165850993,0.5603391368102931,3212424.4694650513,5942890.237883396,-0.7063982538043498,0.00996438133092381
Tiraspol,0.7322019353034511,0.5781360915588935,3299509.707112627,5918129.129727772,-0.7608860922785701,0.030887208970688196
Dubasari,0.7118072905416071,0.5547998769930583,3246165.407124492,5985124.924754398,-0.7206723888765945,-0.01724736892666634
Podgorica,0.5864148633143297,0.4431684176930039,2144714.705470446,5231041.611723426,-0.1723020504830291,0.4454031383398611
Skopje,0.6482223403329931,0.525863641918022,2385966.305917628,5160979.444049783,-0.32344278897276707,0.5043649395932706
Bitola,0.6511257386261001,0.5441065188789672,2375502.2737830617,5018110.616673192,-0.3361349089077928,0.6012358866789071
Tetovo,0.6341786416235491,0.5094272915611485,2334380.853884027,5162357.659070327,-0.2929196640773796,0.5010270456605568
Maastricht,0.6562722540467982,0.5006323142622783,631960.7492334138,6595332.201458038,0.8974361973179406,-0.5546312503278541
Amsterdam,0.6108688528190651,0.42468019921014966,547313.4084342078,6863659.039714891,0.9826205559835719,-0.74141783313351
The Hague,0.6175915251572841,0.43655604553652594,475334.22568727686,6814603.426035637,1.018485706445638,-0.7113360543090401
Haarlem,0.608057559553421,0.4205895736399783,515409.2423728557,6869201.07560679,1.0021169028233643,-0.7466779739855216
Groningen,0.59155372278923,0.3908639191084692,732482.2494197398,7023870.467125853,0.8948433151144992,-0.8419831017708495
Middelburg,0.6370619342986201,0.46906205122227745,401863.36176371813,6710576.735641695,1.0479766145466003,-0.6438637673862724
Arnhem,0.6267799829391201,0.45015144497821385,659345.3439685586,6797955.991249009,0.9080587400706128,-0.6914352296890041
Assen,0.5984814647878373,0.4022929499612121,729142.6646959418,6982997.920389787,0.8914157990628735,-0.814285920678377
's-Hertogenbosch,0.6346435918208826,0.46364262506512527,591852.3367005981,6743063.357513758,0.9405152291366823,-0.6571672252253595
Zwolle,0.611055582265528,0.42361418355418046,678714.9353665886,6895431.61657986,0.9095246957017584,-0.7569590122104728
Utrecht,0.6206757202665202,0.4404889154572276,569955.792861562,6818281.337889219,0.9633167681447241,-0.7094424714312444
Leeuwarden,0.5839012358917922,0.3798154574065706,643805.143053819,7029450.123692404,0.9477370949396593,-0.849908809867995
Rotterdam,0.6244908428300482,0.44747830482631584,498711.3187538657,6785673.333785048,1.0009194981605525,-0.6905347017038155
Eindhoven,0.6421199888942033,0.47627120625809627,612257.1993630035,6697711.123236825,0.9225308570753159,-0.6253132626354212
Vossavangen,0.36061986934632934,0.18767120385545083,717008.840199474,8541356.190229671,1.10412638812063,-1.876788586351032
Oslo,0.4946696036605818,0.27801198105890684,1196684.5260276902,8381215.3676753575,0.8008674744876265,-1.7453562891669803
Lillehammer,0.4800440521915425,0.28978583433909644,1168854.653329373,8656495.30109446,0.853550403444818,-1.9342390359779316
Baerum,0.5089669143397937,0.2928152115034792,1263164.5259294342,8380504.745981934,0.7616718036579722,-1.7417807310543294
Stavanger,0.36500212577519137,0.1458759292305836,632294.7077057943,8173905.558045134,1.1054802492737432,-1.6303296751285652
Leikanger,0.3703262435826623,0.21278559395126748,762538.5119339245,8668033.60122272,1.0940578258644702,-1.9609953971269087
Kristiansand,0.45407214073025554,0.21220710217696126,890555.9263461898,8002396.723285847,0.9309523366086843,-1.5014464109604075
Bergen,0.32572396892418687,0.1583253414886264,592720.6287287859,8487308.98087694,1.17009996820638,-1.8457376597491777
Skien,0.4747543685271019,0.24631624578085565,1068667.111615425,8223740.701207093,0.8553906536812275,-1.6439984475576592
Arendal,0.467003470039941,0.22868987124355877,975826.656293836,8065597.929270066,0.8891354620560183,-1.5405496057341699
Hamar,0.49609009097448986,0.2967775378807254,1232195.4435907442,8584609.14059896,0.8068118844994128,-1.8823070987222685
Tonsberg,0.49426180462398084,0.2675301201885835,1160060.4135567036,8237667.527729335,0.803472507787258,-1.6492390697363613
Drammen,0.48232973605123225,0.2629075416038942,1134423.5348270126,8345878.403312952,0.8328263412290744,-1.724171147654351
Haugesund,0.34122327831945004,0.1388548243289065,587488.6126615001,8269951.931427885,1.1445042488349093,-1.697863655327284
Alesund,0.35855910288988063,0.26085377059662734,711108.9071874304,8989639.802622322,1.1667327632647464,-2.1825444196052795
Sandnes,0.3685899471841839,0.14614634552251293,633407.9026137269,8147046.657701346,1.1012823525173703,-1.6119749968331911
Gjovik,0.4867637725637101,0.2878270838358801,1191118.551488027,8580044.128124397,0.8303701165876995,-1.8811063525702858
Moss,0.49797769639399114,0.2739352078804882,1187689.9111715932,8275444.877846608,0.7922049759419221,-1.6736975623671473
Lodz,0.58856892737483,0.4167155528817025,2165319.9432162815,6759544.366055233,0.017213767528559243,-0.5952322181405316
Lublin,0.584059146598406,0.409380811998635,2512781.4698293274,6665706.678845235,-0.19953347282742934,-0.5151299212575111
Wroclaw,0.5968960071706393,0.42336477593435595,1895770.9282094496,6640845.487108363,0.1600975916875515,-0.5268792096317325
Bialystok,0.5743764199105632,0.4097866434283639,2579272.60168015,7010866.449434419,-0.19310954680775977,-0.7472461594820476
Poznan,0.5994585568750345,0.4298177528560819,1881288.2624572443,6873834.51902556,0.19935113243551533,-0.6863223092740371
Zielona Gora,0.6054413021902252,0.43506750751478435,1725452.1072957406,6791162.102031016,0.28010430168017847,-0.6372317963393446
Bydgoszcz,0.5952147579972544,0.42746981949881957,2004864.029186857,7005299.788313133,0.14400934433911788,-0.7701626630099971
Szczecin,0.6068179403923359,0.43166117735837145,1617472.2012262663,7061142.311739657,0.3792304184466789,-0.826230023806307
Gdansk,0.5937843641877587,0.42815530408872127,2074995.3083866208,7238632.960098687,0.13354040728683975,-0.9259057436183058
Olsztyn,0.5851904235670372,0.42219953835757695,2279823.1714462424,7132369.312295495,-0.000952356392497633,-0.8439682519353813
Katowice,0.589470367563207,0.4103121573233926,2117296.714888062,6491495.262170752,0.01009966625380182,-0.41480405239234575
Rzeszow,0.5912293758379089,0.4119761829931971,2449028.797452019,6458494.162864023,-0.18937052249354563,-0.3768900771434476
Krakow,0.5889099269958564,0.4086869410122814,2221937.036233741,6456673.275328225,-0.05604084757046196,-0.38620896194711296
Opole,0.592570449418504,0.4162364651028567,1996103.185261427,6565761.886425996,0.09117979043168795,-0.47104829054807773
Kielce,0.5867839115619333,0.41030967617696895,2299860.6797890305,6601929.60198324,-0.08271188779969424,-0.4815700041716937
Gdynia,0.5943813052912477,0.4283890468162774,2062750.1643993584,7269336.430500093,0.14479301091842994,-0.9473979258237808
Grudziadz,0.5923878573791724,0.42618543916760887,2087240.45237388,7072358.036243138,0.10440363996614016,-0.812028811847842
Inowroclaw,0.5939223491786468,0.4257308452398242,2031580.706977244,6942388.698952246,0.1199962058505602,-0.7260497744988879
Gliwice,0.5901154810909075,0.4114652739640433,2078334.8931104185,6503693.141553285,0.03462517359857581,-0.42492797692618023
Bytom,0.5896887318865631,0.41102006496854443,2105051.5709008025,6507111.76723892,0.019362044430716263,-0.42601526852056093
Warsaw,0.5832490095862914,0.41352603060140725,2337709.306658744,6845455.502518217,-0.07284835663442574,-0.6457600254997784
Elblag,0.5904848354910281,0.42665439848447984,2159898.6840146496,7206222.456153219,0.07932680281804144,-0.8998717149304127
Elk,0.5768584893019943,0.4158586271067099,2487990.6192296655,7138723.764149788,-0.12255315424320506,-0.8386187274962253
Koszalin,0.6011700744138876,0.42770586691994916,1801516.7153547846,7208125.260900677,0.29036941980827086,-0.9178330676490365
Setubal,0.9272465543568423,0.9181840535244092,-990743.4680601356,4654569.97589773,1.595852260432832,0.692439760648043
Evora,0.9017585084402335,0.8775576434316027,-880091.8942116209,4658839.8949732,1.5313329557105195,0.6946753142395186
Santarem,0.9368378672590897,0.9354593604169168,-966475.8190672,4754814.562731371,1.5948025698409412,0.6252568365670172
Porto,0.9640092501421439,0.9853964598290063,-959574.010638018,5034491.86907103,1.6276372518309696,0.43499252997796845
Vila Real,0.9469740138940125,0.9582054582871233,-861278.9002675572,5055803.792245206,1.5726338481074538,0.42504028918082293
Aveiro,0.9592145163699906,0.976008309034197,-963024.9148526104,4959532.588588966,1.6197785955120585,0.48591283450212996
Guarda,0.9256205059399761,0.921190514567884,-808402.1421407529,4944873.198639252,1.52689939979421,0.5030923596993713
Viseu,0.9430695108161016,0.9498144794160853,-880537.172174793,4961880.127634763,1.5715709806346425,0.4881487753397966
Braganca,0.9298944717335534,0.9322223854282381,-751963.1603085644,5132262.02403087,1.5184231058345934,0.37802122330839083
Viana Do Castelo,0.9718396011831046,0.9997160028829708,-984520.7085247894,5115579.752987804,1.653007157052583,0.37857542450210513
Braga,0.9632799522423817,0.9854637967043941,-937454.8278173959,5094551.935549667,1.6225502203641744,0.3950933203127538
Beja,0.8867748292159562,0.8528092013056007,-875305.15610751,4581403.7321533635,1.5183023748436049,0.7476665313828526
Castelo Branco,0.9181858119931795,0.9070114006088411,-833560.3470600322,4838515.205288517,1.52766643230204,0.5743998351513215
Portalegre,0.9054193478798189,0.8851466336402346,-826324.5801584698,4763297.125604976,1.5134879945526578,0.6259934257361444
